 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
 01   5.898   475  535  595 BV     69556  11689021  10941961  13.16%   2.429%
 02   6.666   595  605  650 VV     11746   2289457   1892076   2.28%   0.420%
 03   7.412   650  673  708 VV 2   10030   2185443   1799417   2.16%   0.399%
 04   7.971   708  724  815 VV      8933   3925087   3201201   3.85%   0.711%
 05  10.605   815  964 1118 VV   1285738  85018843  83126652 100.00%  18.450%
 06  12.459  1118 1133 1248 VV     22685   6023731   5030146   6.05%   1.116%
 07  14.072  1248 1280 1414 VV      9757   5034944   3871924   4.66%   0.859%
 08  15.685  1414 1427 1504 VV 6   12537   2731851   2116752   2.55%   0.470%
 09  18.230  1584 1659 1827 VV 2  202205  41387984  39797265  47.88%   8.833%
 10  20.370  1827 1854 1930 VV 2    4412   2688676   1899108   2.28%   0.422%
 11  21.522  1930 1959 2063 VV   1119198  74335475  73492827  88.41%  16.312%
 12  22.828  2063 2078 2197 VB      6484   2363996   1423804   1.71%   0.316%
 13  24.781  2220 2256 2286 BV      4938   1133559    722844   0.87%   0.160%
 14  25.384  2286 2311 2352 VV 2  149147  11381706  10948147  13.17%   2.430%
 15  26.196  2352 2385 2403 VV 2    6807   1686941   1314035   1.58%   0.292%
 16  26.668  2403 2428 2496 VV 3  103125   9226463   8590118  10.33%   1.907%
 17  27.754  2496 2527 2586 VV 8   46385   5157284   4554267   5.48%   1.011%
 18  28.950  2586 2636 2679 VV 2  146353  14426400  13761023  16.55%   3.054%
 19  29.641  2679 2699 2749 VV 5   19036   3153075   2646562   3.18%   0.587%
 20  30.365  2749 2765 2803 VV 5    4807   1037826    673182   0.81%   0.149%
 21  31.331  2803 2853 2872 PV 5    3308   1295955    787002   0.95%   0.175%
 22  32.066  2872 2920 3056 VV 3  191686  17800068  16570245  19.93%   3.678%
 23  33.756  3056 3074 3125 VV 3  112448   9587149   9060646  10.90%   2.011%
 24  34.853  3125 3174 3279 VB     69193   9280836   8163819   9.82%   1.812%
 25  36.729  3305 3345 3369 BV      6839   1615040   1134484   1.36%   0.252%
 26  37.124  3369 3381 3399 VV 7   18410   1503715   1266604   1.52%   0.281%
 27  37.508  3399 3416 3454 VV 4   30877   3522340   3081331   3.71%   0.684%
 28  38.188  3454 3478 3508 VV 2  107682   7835579   7447177   8.96%   1.653%
 29  38.671  3508 3522 3575 VV 2    5765   2324720   1809995   2.18%   0.402%
 30  39.428  3575 3591 3625 VV 3  201619  15291380  14896228  17.92%   3.306%
 31  40.207  3625 3662 3695 VV 3    7934   2206253   1639809   1.97%   0.364%
 32  40.898  3695 3725 3751 VV 4   45092   4600903   4166458   5.01%   0.925%
 33  41.326  3751 3764 3815 VV 4   10048   1858186   1328465   1.60%   0.295%
 34  42.478  3815 3869 3988 VV 8   21617   8828216   7601691   9.14%   1.687%
 35  44.739  3988 4075 4094 PV 8   15645   4316338   3496635   4.21%   0.776%
 36  45.199  4094 4117 4154 VV 4   27130   6336802   5758989   6.93%   1.278%
 37  46.286  4154 4216 4236 VV 5   40172   6997529   6327904   7.61%   1.404%
 38  46.747  4236 4258 4294 VV 5   23832   5137060   4644951   5.59%   1.031%
 39  47.317  4294 4310 4334 VV 2   40509   4251581   3901041   4.69%   0.866%
 40  47.701  4334 4345 4437 VV 2   16605   6660899   5633635   6.78%   1.250%
 41  48.952  4437 4459 4514 VV 5   36010   7078240   6347611   7.64%   1.409%
 42  50.192  4514 4572 4654 VV 6   37866  15001612  13585070  16.34%   3.015%
 43  51.234  4654 4667 4687 VV 5   18532   3082604   2716397   3.27%   0.603%
 44  51.618  4687 4702 4730 VV 3   59306   6122654   5682561   6.84%   1.261%
 45  53.066  4730 4834 4851 VV 7   23526   8744899   7543367   9.07%   1.674%
 46  53.396  4851 4864 4880 VV 7   13916   2361826   2038107   2.45%   0.452%
 47  53.747  4880 4896 4914 VV 7   14922   2667314   2310462   2.78%   0.513%
 48  54.196  4914 4937 4964 VV 7   16880   3855096   3237191   3.89%   0.719%
 49  54.723  4964 4985 5020 VV 7   18781   4784155   4157177   5.00%   0.923%
 50  55.491  5020 5055 5093 VV 4   20976   5109421   4302465   5.18%   0.955%
 51  56.139  5093 5114 5133 VV 4    9173   2123836   1709391   2.06%   0.379%
 52  56.830  5133 5177 5209 VV 9   23014   6856553   5979825   7.19%   1.327%
 53  57.389  5209 5228 5244 VV 9   23020   3528846   3159707   3.80%   0.701%
 54  57.784  5244 5264 5336 VV 10   25919   6518248   5520268   6.64%   1.225%
 55  59.353  5336 5407 5430 VV 10    6923   2621010   1737472   2.09%   0.386%
