 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1   5.857   488  531  588 BV 9    6147   1065598    427604   0.86%   0.225%
  2   6.680   588  606  625 PV 2    4383    623654    411819   0.83%   0.217%
  3   7.832   625  711  808 VV 6    4369   3003500   1980571   4.00%   1.044%
  4  10.487   890  953 1090 VV    585428  50663934  49492923 100.00%  26.096%
  5  12.341  1090 1122 1248 VV 3   70953  10382473   9320868  18.83%   4.915%
 
  6  13.932  1248 1267 1417 VV 2  169980  19293552  18222752  36.82%   9.608%
  7  15.688  1417 1427 1511 VV 2    7896   2138550   1535070   3.10%   0.809%
  8  16.719  1511 1521 1584 VV 2    3690   1367349    900710   1.82%   0.475%
  9  18.233  1584 1659 1764 VV 2   49830  11843300  10763843  21.75%   5.675%
 10  20.351  1837 1852 1933 VV 2    4645   1766465   1121600   2.27%   0.591%
 
 11  21.459  1933 1953 2093 VB 3  155086  16364576  15381490  31.08%   8.110%
 12  23.785  2117 2165 2180 BV 3    5902    824053    389790   0.79%   0.206%
 13  24.773  2180 2255 2290 PV 10   10791   2387900   1772827   3.58%   0.935%
 14  25.365  2290 2309 2350 VV 5   38909   4192491   3797466   7.67%   2.002%
 15  26.671  2410 2428 2493 VV 9   18416   2336183   1793992   3.62%   0.946%
 
 16  27.746  2493 2526 2573 VV 9   14802   2144577   1639961   3.31%   0.865%
 17  28.953  2573 2636 2683 VV 3   22365   3725445   3030296   6.12%   1.598%
 18  29.644  2683 2699 2749 VV 9    8146   1447742   1046584   2.11%   0.552%
 19  30.390  2749 2767 2818 PV 9    6250   1314294    904592   1.83%   0.477%
 20  32.047  2872 2918 3036 VV 10    9127   3052581   2103148   4.25%   1.109%
 
 21  33.770  3036 3075 3124 PV 5   53120   5163458   4630659   9.36%   2.442%
 22  34.867  3124 3175 3225 PV 5    9004   2191243   1551375   3.13%   0.818%
 23  38.191  3451 3478 3505 VV 2   66229   4683177   4340201   8.77%   2.288%
 24  38.850  3505 3538 3570 VV 2    8184   1917226   1485977   3.00%   0.784%
 25  39.442  3570 3592 3648 VV 6   22137   2433344   1941603   3.92%   1.024%
 
 26  40.199  3648 3661 3702 VV 6    6907    912650    562122   1.14%   0.296%
 27  42.383  3702 3860 3991 PV 6    6047   6747753   4910511   9.92%   2.589%
 28  44.665  4035 4068 4101 PV 6    6446   1436559   1003817   2.03%   0.529%
 29  45.334  4101 4129 4164 VV 5   11554   2094846   1619496   3.27%   0.854%
 30  45.872  4164 4178 4196 VV 5   12338   1282367   1056957   2.14%   0.557%
 
 31  46.289  4196 4216 4234 VV 5   12259   1400881   1146216   2.32%   0.604%
 32  46.771  4234 4260 4288 VV 5    4041   1811799   1446496   2.92%   0.763%
 33  47.331  4288 4311 4328 VV 5    8422   1166760    868697   1.76%   0.458%
 34  47.693  4328 4344 4404 VV 5    5351   2010913   1401648   2.83%   0.739%
 35  48.494  4404 4417 4474 VV 5    4391   1339425    804387   1.63%   0.424%
 
 36  49.503  4474 4509 4547 PV 5    4249   1896108   1327354   2.68%   0.700%
 37  50.173  4547 4570 4654 VV 5   18498   3471572   2622041   5.30%   1.383%
 38  51.347  4654 4677 4737 VV 5    8032   2098695   1435395   2.90%   0.757%
 39  52.565  4737 4788 4830 VV 5    6662   3094502   2372076   4.79%   1.251%
 40  53.903  4830 4910 4964 VV 5   14112   9035496   7856048  15.87%   4.142%
 
 41  54.715  4964 4984 5023 VV 6   21120   3800319   3194328   6.45%   1.684%
 42  55.439  5023 5050 5133 VV 6    6279   3912103   2830028   5.72%   1.492%
 43  56.975  5133 5190 5243 VV 6   22132   8519383   7529465  15.21%   3.970%
 44  57.798  5243 5265 5340 VV 6   12094   5185680   4107852   8.30%   2.166%
 45  59.378  5393 5409 5460 VBA6   11817   2239927   1572857   3.18%   0.829%
