 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1   5.821   342  528  622 BV      8371   4739703   2123244   3.12%   1.927%
  2  10.473   798  952 1254 BB    894371  72424829  68018768 100.00%  61.723%
  3  18.253  1491 1661 1734 BV 2   33297   6588047   4162182   6.12%   3.777%
  4  21.511  1874 1958 2060 BV 2    7851   3770873   1694461   2.49%   1.538%
  5  25.406  2288 2313 2334 PV 2    7616   1178515    677483   1.00%   0.615%
 
  6  28.994  2466 2640 2693 BV 4   13361   4630881   2029630   2.98%   1.842%
  7  34.908  3129 3179 3245 PV 4    3894   2076067    846550   1.24%   0.768%
  8  37.223  3245 3390 3462 PV 4    8004  10206613   7963389  11.71%   7.226%
  9  38.255  3462 3484 3582 VV 3   13495   4723619   3319082   4.88%   3.012%
 10  39.516  3582 3599 3718 VB 3    5546   2918398   1466606   2.16%   1.331%
 
 11  42.643  3765 3884 3988 BV 3    4682   4709845   2352971   3.46%   2.135%
 12  47.284  4204 4307 4387 PV 3   11125   6252721   4381373   6.44%   3.976%
 13  50.225  4387 4575 4634 VV 3    3644   4207715   1620838   2.38%   1.471%
 14  54.252  4890 4942 4967 VV 3    4009   1830143    980398   1.44%   0.890%
 15  55.481  5026 5054 5073 PV 4   16165   2195423   1699557   2.50%   1.542%
 
 16  56.369  5073 5135 5183 VV 2   22638   6065472   4853101   7.13%   4.404%
 17  57.774  5183 5263 5320 VV 2    2766   2917021   1333297   1.96%   1.210%
 18  58.761  5320 5353 5386 VV 2    2845   1407356    677250   1.00%   0.615%
