 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1  10.101   886  918  946 BV     34658   2977748   2934070  30.85%   6.289%
  2  10.529   946  957 1096 VB    125548   9729686   9510800 100.00%  20.386%
  3  12.384  1103 1126 1216 BB 4    5415    916063    798020   8.39%   1.711%
  4  13.975  1250 1271 1360 BB 4   12865   1298236   1210622  12.73%   2.595%
  5  18.244  1616 1660 1857 BB     46567   8616354   8377526  88.08%  17.957%
 
  6  21.460  1923 1953 2070 BB    120674   8771975   8661244  91.07%  18.565%
  7  25.377  2143 2310 2410 BB     25455   2522399   2308333  24.27%   4.948%
  8  28.944  2614 2635 2684 BV 3   19362   1959262   1894999  19.92%   4.062%
  9  32.039  2894 2917 2991 BB 2   12570   1210760   1134275  11.93%   2.431%
 10  33.740  3051 3072 3111 BV 6   16688   1355769   1307387  13.75%   2.802%
 
 11  34.837  3111 3172 3237 PB 6    6825    984446    870540   9.15%   1.866%
 12  38.184  3357 3477 3551 BV 3    6269    844757    654787   6.88%   1.404%
 13  39.391  3551 3587 3634 PB 6    8530    769909    706582   7.43%   1.515%
 14  50.135  4326 4566 4588 PV 7    2786   1079779    767862   8.07%   1.646%
 15  53.844  4588 4904 4965 PV 7    2615   2427803   1798003  18.90%   3.854%
 
 16  55.842  4965 5086 5142 VV 7    3954   2531786   2090850  21.98%   4.482%
 17  57.707  5142 5256 5318 VB 7    5853   2149892   1627543  17.11%   3.489%
