 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1   5.892   469  534  596 BV     25481   4989283   3079867   3.63%   0.993%
  2   6.715   596  609  653 VV      3591   1937018   1046351   1.23%   0.337%
  3   7.867   653  714  843 VV 7    8908   8306481   5137939   6.06%   1.657%
  4  10.018   890  910  936 VV 7    4302   1578509    829738   0.98%   0.268%
  5  10.511   936  955 1106 VV   1076387  87496817  84775202 100.00%  27.334%
 
  6  12.366  1106 1124 1253 VV 4  110560  24558597  22011782  25.96%   7.097%
  7  13.957  1253 1269 1313 VV 3   59992   8986223   7944384   9.37%   2.561%
  8  14.604  1313 1328 1370 VV 8   14887   4095639   3082709   3.64%   0.994%
  9  15.196  1370 1382 1413 VV 8    8966   2313380   1595255   1.88%   0.514%
 10  15.701  1413 1428 1510 VV 3   25613   5855490   4266383   5.03%   1.376%
 
 11  18.236  1586 1659 1831 VV 2  111223  31769854  27857483  32.86%   8.982%
 12  20.353  1831 1852 1868 VV 2    6977   1818042   1212949   1.43%   0.391%
 13  20.704  1868 1884 1930 VV 2   11033   2906227   1872101   2.21%   0.604%
 14  21.450  1930 1952 2094 VV 2  332311  33421385  30705998  36.22%   9.900%
 15  23.787  2094 2165 2217 VV 2   18366   5693556   3712469   4.38%   1.197%
 
 16  24.775  2217 2255 2287 VV 2    9685   3917597   2724576   3.21%   0.878%
 17  25.367  2287 2309 2357 VV 2   69987   7949809   6736497   7.95%   2.172%
 18  26.048  2357 2371 2414 VV 2    6404   2604951   1662224   1.96%   0.536%
 19  26.662  2414 2427 2501 VV 2   17905   4261842   2844406   3.36%   0.917%
 20  27.748  2501 2526 2583 VV 2   16348   4110487   2785730   3.29%   0.898%
 
 21  28.944  2583 2635 2684 VV 2   53747   9545705   7902499   9.32%   2.548%
 22  29.636  2684 2698 2748 VV 5   22052   4105017   3055366   3.60%   0.985%
 23  30.371  2748 2765 2814 VV 5   15340   2928186   1862530   2.20%   0.601%
 24  32.038  2898 2917 2984 PV 3   28899   5052421   3677378   4.34%   1.186%
 25  33.739  3051 3072 3125 VV 3  201077  17084259  15954049  18.82%   5.144%
 
 26  34.474  3125 3139 3155 VV 10   12018   1557556   1066342   1.26%   0.344%
 27  34.836  3155 3172 3195 VV 3   22393   3024377   2330094   2.75%   0.751%
 28  35.966  3195 3275 3363 VV 3   28521  16879239  14035348  16.56%   4.525%
 29  37.118  3363 3380 3398 VV 3    6252   1270759    714306   0.84%   0.230%
 30  38.172  3398 3476 3501 VV 2   44989   6350362   4682949   5.52%   1.510%
 
 31  38.644  3501 3519 3555 VV 2    5338   1937234   1010916   1.19%   0.326%
 32  39.423  3555 3590 3632 VV 6   36340   4609174   3365288   3.97%   1.085%
 33  41.902  3690 3816 3842 PV 6    6337   5555374   3001916   3.54%   0.968%
 34  42.451  3842 3866 4027 VV 6    5972   6043105   2887025   3.41%   0.931%
 35  45.073  4027 4105 4151 VV 6    6869   4095988   2104544   2.48%   0.679%
 
 36  45.830  4151 4174 4194 VV 6    8001   1520355    809469   0.95%   0.261%
 37  46.258  4194 4213 4240 PV 6   10382   1673065    910096   1.07%   0.293%
 38  46.719  4240 4255 4283 VV 6    6835   1807753   1098709   1.30%   0.354%
 39  47.278  4283 4306 4369 VV 6   13332   3182923   1741112   2.05%   0.561%
 40  49.242  4465 4485 4554 VV 6    3914   2578667   1097794   1.29%   0.354%
 
 41  50.153  4554 4568 4609 VV 6    6151   1770569    842138   0.99%   0.272%
 42  51.612  4679 4701 4727 PV 10   13260   2130646   1326950   1.57%   0.428%
 43  52.523  4761 4784 4827 VV 10    3403   2346257   1187434   1.40%   0.383%
 44  53.127  4827 4839 4958 VV 10    5997   4762316   2506272   2.96%   0.808%
 45  54.685  4958 4981 5021 VV 3   17270   3450597   2315585   2.73%   0.747%
 
 46  55.464  5021 5052 5088 VV 7   10026   2750922   1470563   1.73%   0.474%
 47  56.100  5088 5110 5155 VV 7    3637   2183266    954802   1.13%   0.308%
 48  57.318  5155 5221 5334 VV 7   18317  10340044   7079869   8.35%   2.283%
 49  59.359  5334 5407 5448 VBA7   17639   5361773   3275212   3.86%   1.056%
