 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1   5.942   388  539  592 BV      3151   1480151    667644   3.20%   0.817%
  2  10.572   921  961 1098 BV    224422  21593459  20834540 100.00%  25.484%
  3  12.416  1098 1129 1254 VV 3   15730   3599481   2829738  13.58%   3.461%
  4  17.177  1254 1563 1591 PV 3    3729   4956109   3453688  16.58%   4.224%
  5  18.286  1591 1664 1744 VV 5   12399   5770128   4921159  23.62%   6.019%
 
  6  19.613  1744 1785 1822 VV 5    4018   2182234   1733935   8.32%   2.121%
  7  20.886  1822 1901 1943 VV 5    3857   2692497   1996838   9.58%   2.442%
  8  21.533  1943 1960 2060 VB 5    4453   2224688   1491513   7.16%   1.824%
  9  23.508  2083 2140 2236 BV 5    3988   2158084   1253369   6.02%   1.533%
 10  25.406  2236 2313 2360 PV 5    5002   2223998   1543900   7.41%   1.888%
 
 11  28.983  2493 2639 2688 PV 5   13770   7149892   5959830  28.61%   7.290%
 12  29.707  2688 2705 2859 VB 5    8477   4733644   3385366  16.25%   4.141%
 13  33.822  3032 3080 3135 BV 5    8405   1779945   1088465   5.22%   1.331%
 14  34.897  3135 3178 3280 PV 5    4450   2582277   1710345   8.21%   2.092%
 15  36.806  3280 3352 3425 PV 5    3763   2613351   1780127   8.54%   2.177%
 
 16  38.244  3425 3483 3517 VV 3   16902   4549607   3940535  18.91%   4.820%
 17  38.902  3517 3543 3650 VV 3   10324   5785285   4648722  22.31%   5.686%
 18  42.687  3801 3888 3998 BV 3    5623   4322678   3070589  14.74%   3.756%
 19  44.289  3998 4034 4088 VV 3    4351   1891794   1296109   6.22%   1.585%
 20  45.343  4088 4130 4208 VV 3   10525   3588670   2815688  13.51%   3.444%
 
 21  47.350  4208 4313 4387 PV 2   16151   4735940   3462982  16.62%   4.236%
 22  48.349  4387 4404 4467 VV 2    2957   1205176    695894   3.34%   0.851%
 23  50.247  4467 4577 4657 PV 2    6038   4062122   2847541  13.67%   3.483%
 24  51.311  4657 4674 4747 VB 2    4055   1585641    915442   4.39%   1.120%
 25  54.987  4884 5009 5039 BV 2    4699   3239155   2034418   9.76%   2.488%
 
 26  55.535  5039 5059 5103 VV 4   11262   1886803   1378570   6.62%   1.686%
