 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1   5.910   506  536  593 BV      3595    298574    260376   1.44%   0.469%
  2  10.563   906  960 1113 BV    258252  18207325  18115763 100.00%  32.660%
  3  12.406  1113 1128 1253 VV 2   14787   2927764   2831889  15.63%   5.105%
  4  14.009  1253 1274 1312 VV 3    4265    479672    442380   2.44%   0.798%
  5  18.256  1610 1661 1847 BB 2   74695  10858584  10732837  59.25%  19.350%
 
  6  21.493  1857 1956 2083 BB    108252   8330787   7987780  44.09%  14.401%
  7  23.809  2143 2167 2213 BV 2    3922    418856    386875   2.14%   0.697%
  8  25.400  2300 2312 2350 PV 2   31516   2172119   2142538  11.83%   3.863%
  9  27.770  2470 2528 2570 BV 3    4125    465209    419653   2.32%   0.757%
 10  28.977  2570 2638 2754 PB 2   22748   4098068   4007664  22.12%   7.225%
 
 11  32.061  2884 2919 3027 BB 3   13961   1534996   1450011   8.00%   2.614%
 12  33.762  3047 3074 3131 BV 7   14378   1170184   1125468   6.21%   2.029%
 13  34.859  3131 3174 3281 PB 3   10099   1500939   1402415   7.74%   2.528%
 14  38.207  3454 3479 3554 BV 4    9916   1063005   1011520   5.58%   1.824%
 15  39.436  3554 3591 3628 PB 6    6566    533076    500755   2.76%   0.903%
 
 16  47.304  4285 4308 4391 PB 3    4316    578369    524084   2.89%   0.945%
 17  58.092  5135 5291 5375 BV 3    4161   2387339   2125822  11.73%   3.833%
