 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1   5.953   452  540  595 BV     23193   4277172   3142659   3.41%   0.962%
  2   6.787   595  616  659 VV 3    5629   1354828    820967   0.89%   0.251%
  3   7.555   659  686  700 VV 6    3899    989628    652624   0.71%   0.200%
  4   7.950   700  722  821 VV 2   14591   4230490   3200594   3.47%   0.979%
  5  10.616   888  965 1104 BV   1175283  94116845  92203979 100.00%  28.217%
 
  6  12.470  1104 1134 1268 VV 3  122639  29060056  27527061  29.85%   8.424%
  7  14.072  1268 1280 1314 VV 4   23425   4166258   3640497   3.95%   1.114%
  8  14.731  1314 1340 1418 VV 6   14262   5907336   4847184   5.26%   1.483%
  9  15.806  1418 1438 1481 VV 8   15345   3226823   2612483   2.83%   0.799%
 10  16.387  1481 1491 1517 VV 8    7326   1498390   1133720   1.23%   0.347%
 
 11  17.144  1517 1560 1606 VV 8    6977   2907959   2069918   2.24%   0.633%
 12  18.329  1606 1668 1847 VV 2  185233  34657246  32621837  35.38%   9.983%
 13  20.480  1847 1864 1933 VV 2   11415   4702887   3799063   4.12%   1.163%
 14  21.555  1933 1962 2112 VV    456709  41540939  39777282  43.14%  12.173%
 15  23.892  2112 2175 2216 VV 7   27182   4567283   3637049   3.94%   1.113%
 
 16  24.902  2216 2267 2300 VV 7    9870   3753443   2972420   3.22%   0.910%
 17  25.472  2300 2319 2362 VV 2   86023   8177499   7578941   8.22%   2.319%
 18  26.174  2362 2383 2426 VV 2    8036   2619489   2001770   2.17%   0.613%
 19  26.767  2426 2437 2500 VV 2   12909   2320249   1629561   1.77%   0.499%
 20  27.853  2500 2536 2589 VV 8   28598   4582577   3716420   4.03%   1.137%
 
 21  29.049  2589 2645 2691 VV 5   55357  11693166  10765999  11.68%   3.295%
 22  29.740  2691 2708 2758 VV 3   22334   4462563   3673937   3.98%   1.124%
 23  30.497  2758 2777 2811 VV 3    9574   1669451   1179090   1.28%   0.361%
 24  32.132  2886 2926 3056 VV     47082   7668302   6117133   6.63%   1.872%
 25  33.855  3056 3083 3139 VV 3   98029   9068991   8311408   9.01%   2.544%
 
 26  34.941  3139 3182 3285 VV 3   31740   6325481   4917630   5.33%   1.505%
 27  36.817  3285 3353 3415 VV 3    5116   3089457   1923871   2.09%   0.589%
 28  38.299  3455 3488 3518 VV 2   57750   6362721   5772777   6.26%   1.767%
 29  38.913  3518 3544 3585 VV 2    4426   1848469   1226993   1.33%   0.375%
 30  39.527  3585 3600 3638 VV 7   40060   3982991   3503609   3.80%   1.072%
 
 31  40.306  3638 3671 3692 PV 7    4565    916189    462640   0.50%   0.142%
 32  40.976  3692 3732 3805 VV 7    7118   2471784   1447357   1.57%   0.443%
 33  42.786  3848 3897 3975 VV 7    9312   5684655   4527632   4.91%   1.386%
 34  44.805  3975 4081 4108 VV 7    6100   3259913   1996357   2.17%   0.611%
 35  45.441  4108 4139 4171 VV 7    5756   1823763   1210517   1.31%   0.370%
 
 36  45.946  4171 4185 4208 VV 7    9750   1242119    882766   0.96%   0.270%
 37  46.374  4208 4224 4251 VV 7   13660   1619141   1202615   1.30%   0.368%
 38  46.933  4251 4275 4301 VV 7    7061   1906855   1378440   1.49%   0.422%
 39  47.405  4301 4318 4387 VV 5   24006   3974606   3113258   3.38%   0.953%
 40  48.415  4387 4410 4441 VV 9   10866   1650894   1127738   1.22%   0.345%
 
 41  49.808  4441 4537 4557 PV 9    5299   2731050   1639849   1.78%   0.502%
 42  50.269  4557 4579 4657 VV 9   10878   3078501   2082072   2.26%   0.637%
 43  51.728  4657 4712 4740 PV 9    6380   1945558   1071854   1.16%   0.328%
 44  53.242  4740 4850 4977 VV 9    7425   7497237   4985181   5.41%   1.526%
 45  54.789  4977 4991 5025 VV 5   24658   3158123   2583277   2.80%   0.791%
 
 46  55.568  5025 5062 5145 VV 8   12288   4214779   2788366   3.02%   0.853%
 47  57.445  5145 5233 5252 VV 8    8840   4740984   3396920   3.68%   1.040%
 48  57.982  5252 5282 5345 VV 8    8628   3197653   1965499   2.13%   0.602%
 49  58.827  5345 5359 5395 VV 4    7645   1400337    754503   0.82%   0.231%
 50  59.464  5395 5417 5443 PBA7   14640   1759659   1169514   1.27%   0.358%   
