 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1   5.921   472  537  598 BV     20644   3415110   2726793   3.60%   1.124%
  2   7.907   598  718  858 VV      6737   6500350   4886764   6.45%   2.014%
  3  10.562   858  960 1106 VV    669402  77309560  75798294 100.00%  31.237%
  4  12.416  1106 1129 1256 VV 3   64740  13862432  12925493  17.05%   5.327%
  5  14.018  1256 1275 1322 VV 3   44849   6557047   6112651   8.06%   2.519%
 
  6  14.665  1322 1334 1409 VV 5   11599   3945226   3289162   4.34%   1.355%
  7  15.752  1409 1433 1600 VV 5    9611   6817806   5510733   7.27%   2.271%
  8  18.286  1600 1664 1791 VV 3   71380  18033059  16738038  22.08%   6.898%
  9  19.866  1791 1808 1834 VV 3    7875   2285124   1955218   2.58%   0.806%
 10  20.393  1834 1856 1929 VV 3    9849   4672037   3940358   5.20%   1.624%
 
 11  21.501  1929 1957 2147 VV    161909  22951905  21401373  28.23%   8.820%
 12  23.827  2147 2169 2208 VV      8561   2221906   1784382   2.35%   0.735%
 13  24.836  2208 2261 2295 VV      7931   3114247   2517768   3.32%   1.038%
 14  25.418  2295 2314 2349 VV     30260   4010112   3650277   4.82%   1.504%
 15  26.087  2349 2375 2421 VV      6324   2535841   2001680   2.64%   0.825%
 
 16  26.723  2421 2433 2499 VV      7373   1979094   1421493   1.88%   0.586%
 17  27.788  2499 2530 2585 VV      8738   2436158   1864230   2.46%   0.768%
 18  28.995  2585 2640 2803 VV 7   28492  11983839  10570114  13.95%   4.356%
 19  32.078  2887 2921 3054 VB 8   12276   3898541   2753725   3.63%   1.135%
 20  34.909  3127 3179 3227 BV 7    8458   2334412   1665622   2.20%   0.686%
 
 21  38.233  3460 3482 3580 VV 2   42143   6568897   5748044   7.58%   2.369%
 22  39.462  3580 3594 3646 VV 10   13496   1882100   1385796   1.83%   0.571%
 23  42.721  3766 3891 4045 VV 10    7736   5998773   4305606   5.68%   1.774%
 24  44.718  4045 4073 4099 VV 10    3567   1216926    846781   1.12%   0.349%
 25  45.277  4099 4124 4157 VV 10    5073   1733979   1341935   1.77%   0.553%
 
 26  45.881  4157 4179 4199 VV 10    7210   1164475    858019   1.13%   0.354%
 27  46.309  4199 4218 4291 VV 10    9085   2676458   2046975   2.70%   0.844%
 28  47.351  4291 4313 4379 PV 3   16892   2986828   2401480   3.17%   0.990%
 29  49.765  4408 4533 4551 VV 3    3237   2519094   1505894   1.99%   0.621%
 30  50.204  4551 4573 4595 VV 3    6125   1229633    894893   1.18%   0.369%
 
 31  54.735  4738 4986 5004 PV 3   18687   8977306   6782688   8.95%   2.795%
 32  55.514  5004 5057 5085 VV 3   21096   7972430   7020966   9.26%   2.893%
 33  56.348  5085 5133 5158 VV 3   16885   8034057   7013916   9.25%   2.890%
 34  56.875  5158 5181 5212 VV 3   19744   5965840   5215959   6.88%   2.150%
 35  57.379  5212 5227 5389 VV 3   14867  12659641  10184434  13.44%   4.197%
 
 36  59.387  5389 5410 5446 VBA3   10467   2334392   1587547   2.09%   0.654%
