 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1   5.912   475  536  595 PV     13341   2798411   2138154   3.33%   0.943%
  2   6.735   595  611  660 VV     33458   4332343   3917100   6.10%   1.728%
  3   7.876   660  715  771 VV      4447   2264900   1554163   2.42%   0.686%
  4  10.531   935  957 1108 BV    795928  65250132  64191620 100.00%  28.320%
  5  12.374  1108 1125 1245 VV 3   76300  11260968  10379015  16.17%   4.579%
 
  6  13.954  1245 1269 1387 VV 2   88777  12304913  11379404  17.73%   5.020%
  7  15.699  1387 1428 1471 VV 3   10617   1686272   1189948   1.85%   0.525%
  8  16.708  1471 1520 1622 PB 8    7207   2273334   1291551   2.01%   0.570%
  9  18.244  1630 1660 1757 BV 3   48474  10203148   9306008  14.50%   4.106%
 10  20.362  1831 1853 1930 VV 3    4230   1566298    934608   1.46%   0.412%
 
 11  21.459  1930 1953 2130 VV 4   93088  12416749  11241815  17.51%   4.960%
 12  23.785  2130 2165 2209 VV 4    3928   1227281    743791   1.16%   0.328%
 13  24.751  2209 2253 2286 PV 9   12279   2123111   1680441   2.62%   0.741%
 14  25.365  2286 2309 2353 VV 5   24193   2937788   2538468   3.95%   1.120%
 15  26.660  2413 2427 2496 VV 5   15398   2034260   1523744   2.37%   0.672%
 
 16  27.746  2496 2526 2574 PV 5   16862   2242921   1796860   2.80%   0.793%
 17  28.931  2574 2634 2679 VV 2   25545   3956705   3308535   5.15%   1.460%
 18  29.633  2679 2698 2749 VV 5   12662   2253614   1791407   2.79%   0.790%
 19  32.036  2876 2917 2936 VV 5    6309   1264360    904245   1.41%   0.399%
 20  33.737  2979 3072 3119 VV 4   89095   8191262   7366560  11.48%   3.250%
 
 21  34.834  3119 3172 3265 VB 4    8675   2551327   1661135   2.59%   0.733%
 22  38.169  3275 3476 3498 BV     61768   6608153   5197671   8.10%   2.293%
 23  38.828  3498 3536 3575 VV      4855   1687854   1173686   1.83%   0.518%
 24  39.409  3575 3589 3641 VV 6   30344   3116483   2673911   4.17%   1.180%
 25  42.021  3685 3827 3991 PV 6    8630   9019592   7139505  11.12%   3.150%
 
 26  44.676  3991 4069 4094 VV 6    4336   2091123   1416054   2.21%   0.625%
 27  45.279  4094 4124 4161 VV 6    5197   1645288   1197857   1.87%   0.528%
 28  45.839  4161 4175 4194 VV 6   12258   1170537    945723   1.47%   0.417%
 29  46.256  4194 4213 4291 VV 6   12236   3176874   2502609   3.90%   1.104%
 30  47.298  4291 4308 4372 VV 6    7456   2105879   1536903   2.39%   0.678%
 
 31  49.350  4441 4495 4544 PV 6    5001   2392245   1653098   2.58%   0.729%
 32  50.162  4544 4569 4604 VV 6    7070   1561019   1112798   1.73%   0.491%
 33  51.303  4604 4673 4737 VV 6    3595   2740274   1649754   2.57%   0.728%
 34  52.488  4737 4781 4830 PV 6    4679   2151080   1409964   2.20%   0.622%
 35  53.662  4830 4888 4970 VV 6   21225  10782035   9641500  15.02%   4.254%
 
 36  54.693  4970 4982 5016 VV 6   13445   3007296   2517953   3.92%   1.111%
 37  55.494  5016 5055 5090 VV 6   11909   4969690   4207354   6.55%   1.856%
 38  56.185  5090 5118 5153 VV 2   24237   6418914   5726870   8.92%   2.527%
 39  56.997  5153 5192 5333 VV 2   79589  31781031  29737489  46.33%  13.119%
 40  58.753  5333 5352 5393 VV 2    8269   3451219   2732888   4.26%   1.206%
 
 41  59.334  5393 5405 5463 VBA2    9858   2493871   1654224   2.58%   0.730%
