 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1   5.898   505  535  595 BV     31564   4308721   2799115   3.41%   0.508%
  2   7.928   595  720  801 VV      3397   6435804   2873488   3.50%   0.522%
  3  10.562   881  960 1118 BV    988754  86166179  82017419 100.00%  14.898%
  4  12.493  1118 1136 1264 VV     11387   5824929   3123710   3.81%   0.567%
  5  14.040  1264 1277 1313 VV 4   21230   3272349   2402982   2.93%   0.436%
 
  6  14.665  1313 1334 1408 VV 7   15003   4090619   2371755   2.89%   0.431%
  7  15.762  1408 1434 1521 VB 7    7244   3409188   1373325   1.67%   0.249%
  8  18.308  1647 1666 1800 PV 3  108667  27206697  24417583  29.77%   4.435%
  9  19.910  1800 1812 1844 VV 5   13945   3099922   2226690   2.71%   0.404%
 10  20.425  1844 1859 1928 VV 3   32552   7172019   5534016   6.75%   1.005%
 
 11  21.534  1928 1960 2068 VV    635221  50951478  48207070  58.78%   8.756%
 12  22.894  2068 2084 2177 VB      7094   3469210   1333585   1.63%   0.242%
 13  25.012  2190 2277 2300 BV     10658   4254176   2082866   2.54%   0.378%
 14  25.451  2300 2317 2356 VV 2   78711   7707976   6589833   8.03%   1.197%
 15  26.120  2356 2378 2406 VV 10   12446   3457488   2452971   2.99%   0.446%
 
 16  26.767  2406 2437 2493 VV 5   28278   7954800   6160891   7.51%   1.119%
 17  27.853  2493 2536 2603 VV 5   18323   9111075   6832383   8.33%   1.241%
 18  29.006  2603 2641 2689 VV 3   82035  14971278  13215354  16.11%   2.400%
 19  29.686  2689 2703 2749 VV 8   28392   7932689   6542752   7.98%   1.188%
 20  30.629  2749 2789 2809 VV 3  119202  18987351  17656777  21.53%   3.207%
 
 21  31.419  2809 2861 2892 VV 2  145980  20375214  18531413  22.59%   3.366%
 22  32.549  2892 2964 2989 VV 3  135779  30427351  28340731  34.55%   5.148%
 23  32.955  2989 3001 3056 VV    177303  20514548  19026005  23.20%   3.456%
 24  33.756  3056 3074 3152 VV 5  147147  33765443  31445733  38.34%   5.712%
 25  34.930  3152 3181 3235 VV 4   62295  19521128  17471344  21.30%   3.173%
 
 26  35.764  3235 3257 3305 VV 6   34203   9021843   7427847   9.06%   1.349%
 27  36.412  3305 3316 3348 VV 6   24569   4748054   3811893   4.65%   0.692%
 28  36.927  3348 3363 3462 VV 6   14859   9765045   7079565   8.63%   1.286%
 29  38.244  3462 3483 3582 VV    942853  68242466  65591811  79.97%  11.914%
 30  39.495  3582 3597 3642 VV 4   64877   8318844   6954159   8.48%   1.263%
 
 31  40.252  3642 3666 3690 VV 3   22329   3443806   2412227   2.94%   0.438%
 32  40.921  3690 3727 3805 VV 3   15457   6844589   4501219   5.49%   0.818%
 33  42.413  3805 3863 3881 VV 8   18395   5515537   3958140   4.83%   0.719%
 34  42.808  3881 3899 4027 VV 9   52580  15520150  12272690  14.96%   2.229%
 35  44.706  4027 4072 4154 VV 6   45659  11003931   8373852  10.21%   1.521%
 
 36  45.902  4154 4181 4204 VV 3   90593   7986831   6955369   8.48%   1.263%
 37  46.330  4204 4220 4240 VV 3  118378   9714702   8955146  10.92%   1.627%
 38  46.769  4240 4260 4298 VV 4   75329  11285037  10039553  12.24%   1.824%
 39  47.373  4298 4315 4441 VV 5   53726  13789553  10762804  13.12%   1.955%
 40  48.942  4441 4458 4517 PV 5    7859   3244348   1640439   2.00%   0.298%
 
 41  49.775  4517 4534 4553 VV 5    7819   1699459    946282   1.15%   0.172%
 42  50.225  4553 4575 4591 VV 6   12595   2345169   1562343   1.90%   0.284%
 43  50.555  4591 4605 4660 VV 6    9165   3686150   2157888   2.63%   0.392%
 44  51.366  4660 4679 4730 VV 10   18257   4321596   2860080   3.49%   0.520%
 45  52.189  4730 4754 4773 PV 10    4323   1478019    628533   0.77%   0.114%
 
 46  52.881  4773 4817 4854 VV 10    9617   3859722   2205363   2.69%   0.401%
 47  53.429  4854 4867 4880 VV 10    9772   1540521    974170   1.19%   0.177%
 48  53.780  4880 4899 4917 VV 9   15393   2348095   1551434   1.89%   0.282%
 49  54.285  4917 4945 4967 VV 9   13924   3487160   2426254   2.96%   0.441%
 50  54.998  4967 5010 5040 VV 9   18403   7296515   5625409   6.86%   1.022%
 
 51  55.503  5040 5056 5093 VV 4   19806   4505322   3225825   3.93%   0.586%
 52  56.172  5093 5117 5136 VV 4    7952   2290688   1390335   1.70%   0.253%
 53  56.973  5136 5190 5250 VV 4   15614   9689911   7199219   8.78%   1.308%
 54  57.851  5250 5270 5340 VV 4    9315   4130467   2021386   2.46%   0.367%
