 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1  10.572   899  961 1110 BV    346738  24742180  23800999 100.00%  14.201%
  2  12.427  1110 1130 1240 VB 2   14073   2291748   1692797   7.11%   1.010%
  3  14.029  1253 1276 1416 BV 2   34513   5133194   4365708  18.34%   2.605%
  4  17.124  1523 1558 1593 BV 5    4044    737737    420782   1.77%   0.251%
  5  18.309  1639 1666 1837 VV 2   41618   9954065   9045181  38.00%   5.397%
 
  6  21.524  1917 1959 2060 VV    128806  11610278  10911605  45.85%   6.510%
  7  25.420  2240 2314 2352 BV 3   40930   4220505   3697982  15.54%   2.206%
  8  26.792  2420 2439 2470 VV 6   17013   2397239   2150166   9.03%   1.283%
  9  27.779  2470 2529 2584 VV 6    8799   2839996   2275206   9.56%   1.357%
 10  28.987  2584 2639 2677 VV 4   24305   4988137   4494173  18.88%   2.681%
 
 11  29.985  2677 2730 2757 VV 6   12431   4140854   3646648  15.32%   2.176%
 12  30.611  2757 2787 2817 VV 3   72175   8317660   7979616  33.53%   4.761%
 13  31.390  2817 2858 2890 VV 3  107348  11515418  11076866  46.54%   6.609%
 14  32.531  2890 2962 3054 VV 4   84883  23367052  22427615  94.23%  13.381%
 15  33.716  3054 3070 3103 VV 4   73790   9588426   9279925  38.99%   5.537%
 
 16  34.913  3103 3179 3237 VV 10   25551  10219643   9287551  39.02%   5.541%
 17  35.725  3237 3253 3301 VV 8   11965   2450610   2065539   8.68%   1.232%
 18  36.383  3301 3313 3457 VV 8    6827   2791292   1953891   8.21%   1.166%
 19  38.249  3457 3483 3504 PV 8    9283   1487225   1245083   5.23%   0.743%
 20  38.666  3504 3521 3574 VV 8    4566   1457235   1069933   4.50%   0.638%
 
 21  39.456  3574 3593 3631 VV 7   27318   2713041   2397754  10.07%   1.431%
 22  40.904  3631 3725 3748 VV 7    5431   2198079   1594612   6.70%   0.951%
 23  41.234  3748 3755 3844 VV 7    4119   1618675   1077011   4.53%   0.643%
 24  42.408  3844 3862 3881 VV 7    3948   1033506    835753   3.51%   0.499%
 25  42.781  3881 3896 4034 VV 7   16704   4593234   3742831  15.73%   2.233%
 
 26  44.691  4034 4070 4096 PV 7    7241   1361152   1043751   4.39%   0.623%
 27  45.876  4096 4178 4201 VV 6   20513   2503862   1925393   8.09%   1.149%
 28  46.304  4201 4217 4236 VV 4   25704   2193541   1981277   8.32%   1.182%
 29  46.743  4236 4257 4295 VV 4   15060   2654261   2316406   9.73%   1.382%
 30  47.335  4295 4311 4435 VV 9   12674   3163513   2379218  10.00%   1.420%
 
 31  51.637  4515 4703 4757 BV 5   16410   4098781   2530203  10.63%   1.510%
 32  54.249  4757 4941 4965 PV 5    5421   4146427   2831465  11.90%   1.689%
 33  55.489  4965 5054 5082 VV 4   25827   5044781   4151408  17.44%   2.477%
 34  57.069  5082 5198 5245 VV 4   10934   4982231   3669273  15.42%   2.189%
 35  57.827  5245 5267 5322 VV 4    2866   1791544   1148307   4.82%   0.685%
 
 36  58.693  5322 5346 5365 VV 4    3409    888385    522728   2.20%   0.312%
 37  59.330  5365 5404 5460 VBA4    1689   1415190    569496   2.39%   0.340%
