 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1   5.878   503  533  589 BV 2    5772    623339    374458   0.69%   0.200%
  2  10.531   919  957 1116 BV    855199  55137044  54558346 100.00%  29.211%
  3  13.977  1250 1271 1363 BB 2   14530   1821919   1469318   2.69%   0.787%
  4  18.246  1633 1660 1920 BV 2   80540  18852487  17985261  32.97%   9.630%
  5  21.483  1920 1955 2150 VB    472277  34620294  33813202  61.98%  18.104%
 
  6  25.368  2210 2309 2414 BV     71368   6985860   6313870  11.57%   3.381%
  7  26.685  2414 2429 2467 VV      3605    849443    661518   1.21%   0.354%
  8  28.935  2587 2634 2750 PV 4   34345   6796066   6256379  11.47%   3.350%
  9  30.361  2750 2764 2807 VV 6   30500   4022502   3802747   6.97%   2.036%
 10  31.327  2807 2852 2884 VV 4   25058   3297444   3008311   5.51%   1.611%
 
 11  32.216  2884 2933 2981 VV 3   91300  16289108  15920951  29.18%   8.524%
 12  32.863  2981 2992 3047 VV 2   26131   3123928   2847649   5.22%   1.525%
 13  33.785  3047 3076 3101 VV 2   29183   5602800   5400364   9.90%   2.891%
 14  34.839  3101 3172 3231 VV 5   27637   6150740   5613538  10.29%   3.006%
 15  35.673  3231 3248 3294 VV 5    5162   1260014   1004037   1.84%   0.538%
 
 16  37.099  3364 3378 3401 VV 7    4418    510704    384809   0.71%   0.206%
 17  38.175  3457 3476 3566 PV 4   13186   2245583   1863599   3.42%   0.998%
 18  39.404  3566 3588 3631 VV 6   18208   1745851   1516357   2.78%   0.812%
 19  40.852  3631 3720 3788 VB 3   10130   2286236   1718190   3.15%   0.920%
 20  42.696  3828 3888 3981 BV 3    8087   2780927   2254533   4.13%   1.207%
 
 21  44.638  3981 4065 4141 PV 3    3254   1535838    984818   1.81%   0.527%
 22  45.813  4141 4172 4198 VV 7    9398    973139    755550   1.38%   0.405%
 23  46.241  4198 4211 4286 VV 7   11298   2310792   1955623   3.58%   1.047%
 24  47.283  4286 4306 4365 VB 6    6921   1454179   1144886   2.10%   0.613%
 25  48.929  4418 4456 4483 BV 6    3562    851879    562558   1.03%   0.301%
 
 26  49.687  4483 4525 4545 VV 6    2941    787109    526956   0.97%   0.282%
 27  51.574  4545 4697 4719 VV 6    6381   2628947   1847030   3.39%   0.989%
 28  52.057  4719 4741 4768 VV 6    2834    709174    474098   0.87%   0.254%
 29  52.792  4768 4808 4824 PV 6    2288    831856    576595   1.06%   0.309%
 30  54.186  4824 4935 4962 VV 6    5173   3451682   2755948   5.05%   1.476%
 
 31  55.393  4962 5045 5069 VV 6    5933   3600897   2885170   5.29%   1.545%
 32  56.074  5069 5107 5155 VV 6    8141   2859065   2289522   4.20%   1.226%
 33  56.995  5155 5191 5218 VV 6    5290   1890737   1499115   2.75%   0.803%
 34  57.357  5218 5224 5305 VV 6    4210   1839253   1240088   2.27%   0.664%
 35  58.641  5305 5341 5365 VV 6    2034    917193    505015   0.93%   0.270%
