 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1  10.551   923  959 1173 BB    271428  21732429  21061358   5.69%   4.328%
  2  14.052  1246 1278 1410 BB 2    7474   2363512   1878164   0.51%   0.386%
  3  18.277  1630 1663 1843 BV     43164  10393935   9778563   2.64%   2.010%
  4  21.492  1930 1956 2000 VV 3  168759  12195599  11967716   3.23%   2.459%
  5  22.118  2000 2013 2110 VB 4    8752   1714442   1274996   0.34%   0.262%
 
  6  25.410  2292 2313 2357 VV 2   25767   2309264   2115469   0.57%   0.435%
  7  26.782  2420 2438 2470 VV 10    5093    950946    788493   0.21%   0.162%
  8  27.813  2470 2532 2587 PV 10    3901   1462423   1119108   0.30%   0.230%
  9  28.966  2587 2637 2684 VV     39655   5054423   4749332   1.28%   0.976%
 10  29.624  2684 2697 2744 VV      8506   2108250   1865944   0.50%   0.383%
 
 11  30.403  2744 2768 2814 VV 5   37850   5562844   5291428   1.43%   1.087%
 12  31.369  2814 2856 2887 VV 3   40964   5024651   4743765   1.28%   0.975%
 13  32.499  2887 2959 2980 VV 8   36887   8815028   8439818   2.28%   1.734%
 14  32.905  2980 2996 3051 VV 2   40748   4463734   4186121   1.13%   0.860%
 15  33.706  3051 3069 3122 VV 8   41372   7006888   6752095   1.82%   1.388%
 
 16  34.431  3122 3135 3148 VV 8    9057   1285983   1146471   0.31%   0.236%
 17  34.892  3148 3177 3234 VV 8   16510   4558819   4185085   1.13%   0.860%
 18  35.704  3234 3251 3369 VB 8    7345   3073039   2533251   0.68%   0.521%
 19  38.228  3401 3481 3573 BV   6046970 370899413 370301376 100.00%  76.100%
 20  39.446  3573 3592 3638 VV     14155   1899963   1645619   0.44%   0.338%
 
 21  40.203  3638 3661 3683 VV 9    5244    787798    611676   0.17%   0.126%
 22  40.883  3683 3723 3834 VV 9    3969   2103857   1553166   0.42%   0.319%
 23  42.749  3834 3893 4038 VV 8   12477   3832802   3105554   0.84%   0.638%
 24  44.648  4038 4066 4091 PV 8    9557   1075796    892558   0.24%   0.183%
 25  45.855  4158 4176 4195 PV 9   15126   1229027   1099840   0.30%   0.226%
 
 26  46.272  4195 4214 4235 VV 5   18852   1539627   1397508   0.38%   0.287%
 27  46.722  4235 4255 4287 VV 10   12706   1810977   1624440   0.44%   0.334%
 28  47.303  4287 4308 4375 VV 3   24919   2738022   2419026   0.65%   0.497%
 29  51.605  4478 4700 4728 PV 3    2596   2103071   1212620   0.33%   0.249%
 30  54.239  4728 4940 4962 PV 3    4101   3548557   2495709   0.67%   0.513%
 
 31  55.457  4962 5051 5159 VV 3    5970   3890459   2802409   0.76%   0.576%
 32  57.026  5159 5194 5243 VV 3    4592   1649104   1210675   0.33%   0.249%
 33  57.773  5243 5262 5295 VV 3    2247    640077    347174   0.09%   0.071%
