 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1   5.941   506  539  593 BV 3   15458   1457073   1432465   5.74%   1.010%
  2  10.638   943  967 1186 BB    410028  25076767  24955494 100.00%  17.593%
  3  18.276  1636 1663 1843 BB     81104  14309140  14202873  56.91%  10.013%
  4  21.535  1923 1960 2077 BB    360987  22446192  22343004  89.53%  15.751%
  5  25.398  2287 2312 2414 BV     74732   5419631   5349868  21.44%   3.771%
 
  6  26.693  2414 2430 2470 VV 4    8789    731202    709829   2.84%   0.500%
  7  27.867  2470 2537 2570 PV 6    3864    703714    661287   2.65%   0.466%
  8  28.964  2570 2637 2672 VV 2   51242   4799274   4753450  19.05%   3.351%
  9  29.678  2672 2702 2743 VV 6    3687    794822    743232   2.98%   0.524%
 10  30.391  2743 2767 2803 VV 5   34088   2771238   2741166  10.98%   1.932%
 
 11  32.059  2890 2919 3017 BB    101713   9594178   9537809  38.22%   6.724%
 12  33.782  3041 3076 3124 BV     13417   2037072   1997434   8.00%   1.408%
 13  34.847  3124 3173 3224 VV 3   35633   3191176   3136924  12.57%   2.211%
 14  37.162  3224 3384 3439 PV 7    5123   1192538   1061132   4.25%   0.748%
 15  38.183  3439 3477 3504 VV 3   34447   2554732   2517738  10.09%   1.775%
 
 16  39.423  3578 3590 3631 VV 5   20716   1822451   1792761   7.18%   1.264%
 17  40.191  3631 3660 3688 VV 5    5168    859685    810332   3.25%   0.571%
 18  40.663  3688 3703 3751 VV 4   59896   6526934   6478680  25.96%   4.567%
 19  41.321  3751 3763 3796 VV 6    5011    578117    535326   2.15%   0.377%
 20  41.969  3796 3822 3844 VV 3   41643   3172629   3146335  12.61%   2.218%
 
 21  42.649  3844 3884 3994 VB 3    7119   1773657   1662485   6.66%   1.172%
 22  44.625  4031 4064 4104 BV 3   24710   2331770   2282927   9.15%   1.609%
 23  46.424  4104 4228 4288 VV 8   20594   3425575   3240359  12.98%   2.284%
 24  47.269  4288 4305 4375 PV 7    5523    819219    749419   3.00%   0.528%
 25  48.191  4375 4389 4434 VV 3   43996   3505734   3457769  13.86%   2.438%
 
 26  48.937  4434 4457 4501 PV 7    6326    671235    614385   2.46%   0.433%
 27  49.717  4501 4528 4549 VV 7    3138    363043    318109   1.27%   0.224%
 28  50.463  4549 4596 4618 PV 7    5756    824627    763002   3.06%   0.538%
 29  51.286  4618 4671 4735 VB 7    8972   1595365   1480985   5.93%   1.044%
 30  52.778  4775 4807 4852 BV 8   36009   3668443   3576442  14.33%   2.521%
 
 31  53.481  4852 4871 4903 VV 5   13049   1478148   1380673   5.53%   0.973%
 32  54.699  4962 4982 5025 VV 3   79818   9234430   9127449  36.57%   6.435%
 33  55.357  5025 5042 5112 VV 3    9318   2063698   1893923   7.59%   1.335%
 34  57.387  5208 5227 5308 VV 3    3847   1145200    960374   3.85%   0.677%
 35  58.704  5308 5347 5395 PV     13523   1553219   1434516   5.75%   1.011%
