 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1   5.910   402  536  577 PV     20209   4660789   2585653   4.90%   0.818%
  2   7.907   577  718  848 VV 2   20341  10231408   6897939  13.08%   2.182%
  3   9.739   848  885  941 VV 2    6151   2929394   1791575   3.40%   0.567%
  4  10.562   941  960 1101 VV    545809  54802542  52744622 100.00%  16.685%
  5  12.416  1101 1129 1258 VV 3   85025  18449059  16481558  31.25%   5.214%
 
  6  14.018  1258 1275 1317 VV 3   52425   7098390   6295169  11.94%   1.991%
  7  14.699  1317 1337 1421 VV 6   17350   6812183   5317469  10.08%   1.682%
  8  15.763  1421 1434 1537 VV 2   24362   5935488   4305149   8.16%   1.362%
  9  18.308  1591 1666 1754 VV 2   84912  21723835  19604169  37.17%   6.201%
 10  19.362  1754 1762 1807 VV 8   20258   4188846   3349573   6.35%   1.060%
 
 11  19.932  1807 1814 1843 VV 8    8297   2186939   1665702   3.16%   0.527%
 12  20.777  1843 1891 1932 VV 8   15745   5873121   4609373   8.74%   1.458%
 13  21.523  1932 1959 2123 VV 4  322460  38273517  35627202  67.55%  11.270%
 14  23.487  2123 2138 2160 VV 7    7492   1824132   1327292   2.52%   0.420%
 15  23.871  2160 2173 2212 VV 7   11431   2703531   1987636   3.77%   0.629%
 
 16  24.859  2212 2263 2303 VV 2   68131  11693282  10499711  19.91%   3.321%
 17  25.451  2303 2317 2358 VV 2   49262   6546634   5667390  10.74%   1.793%
 18  26.110  2358 2377 2420 VV 2   10761   3581093   2674772   5.07%   0.846%
 19  26.746  2420 2435 2506 VV 2   22701   5173426   3954509   7.50%   1.251%
 20  27.843  2506 2535 2596 VV 2   24209   5378359   4108034   7.79%   1.299%
 
 21  29.039  2596 2644 2689 VV 4   49689  10022416   8726708  16.55%   2.761%
 22  29.719  2689 2706 2763 VV 4   43227   7719599   6578233  12.47%   2.081%
 23  30.465  2763 2774 2802 VV 4    9786   2085551   1521297   2.88%   0.481%
 24  31.201  2802 2841 2905 VV 4    9097   4742235   3285670   6.23%   1.039%
 25  32.122  2905 2925 3056 VV 7   23818   7800568   5723244  10.85%   1.810%
 
 26  33.845  3056 3082 3129 VV 4  144381  13404684  12392896  23.50%   3.920%
 27  34.591  3129 3150 3169 VV 4    9169   1700085   1158144   2.20%   0.366%
 28  34.964  3169 3184 3309 VV 7   18075   6346498   4322921   8.20%   1.367%
 29  36.730  3309 3345 3405 VV 7    7446   3471622   2165775   4.11%   0.685%
 30  38.288  3405 3487 3512 VV 2   92416  10704514   9225598  17.49%   2.918%
 
 31  38.947  3512 3547 3585 VV 6   26064   7418779   6214843  11.78%   1.966%
 32  39.528  3585 3600 3662 VV 5   41231   5815172   4683333   8.88%   1.481%
 33  40.296  3662 3670 3718 VV 5    5752   1723574    906803   1.72%   0.287%
 34  40.977  3718 3732 3805 VV 5    4817   2272396   1005008   1.91%   0.318%
 35  42.743  3805 3893 3991 PV 5   16751  11037331   8428421  15.98%   2.666%
 
 36  44.126  3991 4019 4068 VV 5    5651   3454133   2307144   4.37%   0.730%
 37  44.795  4068 4080 4104 VV 5    7438   1501874    925838   1.76%   0.293%
 38  45.431  4104 4138 4171 VV 5    9688   2759869   1791465   3.40%   0.567%
 39  45.958  4171 4186 4211 VV 5    5826   1310485    723288   1.37%   0.229%
 40  46.375  4211 4224 4291 VV 5    5242   2860960   1696666   3.22%   0.537%
 
 41  47.406  4291 4318 4377 PV 2   29091   4320947   3077267   5.83%   0.973%
 42  49.831  4377 4539 4561 VV 2    5966   5246677   2449022   4.64%   0.775%
 43  50.270  4561 4579 4624 PV 7   14895   3018731   2027467   3.84%   0.641%
 44  50.939  4624 4640 4658 VV 7    3304   1088102    531544   1.01%   0.168%
 45  51.378  4658 4680 4700 VV 7    4382   1431063    744739   1.41%   0.236%
 
 46  51.740  4700 4713 4744 VV 7    4435   1306619    624909   1.18%   0.198%
 47  53.254  4744 4851 4894 PV 7   13064   6771184   4299117   8.15%   1.360%
 48  53.924  4894 4912 4938 VV 7    6923   2085471   1320185   2.50%   0.418%
 49  54.812  4938 4993 5033 VV 3   29455   6527249   4882533   9.26%   1.544%
 50  55.569  5033 5062 5102 VV 7   27548   6153405   4940704   9.37%   1.563%
 
 51  56.239  5102 5123 5168 VV 7    8389   3249561   2098117   3.98%   0.664%
 52  56.985  5168 5191 5207 VV 7   12962   2441671   1770547   3.36%   0.560%
 53  57.511  5207 5239 5263 VV 7   24232   5873469   4782789   9.07%   1.513%
 54  57.950  5263 5279 5369 VV 7   19692   6441668   4102669   7.78%   1.298%
 55  59.486  5369 5419 5462 PBA6   24840   4843144   3195972   6.06%   1.011%
