 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1  10.487   933  953 1110 BV    293193  21076255  20715801  92.93%  18.505%
  2  13.955  1243 1269 1315 BB 2    8778   1068638    914394   4.10%   0.817%
  3  17.039  1516 1550 1630 BV 4    5746    785009    541642   2.43%   0.484%
  4  18.246  1630 1660 1833 PB 3   47005   9666696   9243529  41.47%   8.257%
  5  21.472  1880 1954 2083 BB 2  133599   9949074   9404677  42.19%   8.401%
 
  6  25.390  2237 2311 2384 BB     24899   2420512   2070539   9.29%   1.850%
  7  26.762  2417 2436 2470 BV 6    3687    511059    375206   1.68%   0.335%
  8  28.968  2597 2637 2740 PV 3   18641   4440978   4133331  18.54%   3.692%
  9  30.372  2740 2765 2810 VV 5   30494   3776938   3589776  16.10%   3.207%
 10  31.349  2810 2854 2887 VV 4   24939   2924646   2739685  12.29%   2.447%
 
 11  32.479  2887 2957 2981 VV 6   22937   4670061   4453193  19.98%   3.978%
 12  32.885  2981 2994 3051 VV 3   24073   2599909   2405576  10.79%   2.149%
 13  33.697  3051 3068 3099 VV 3   24787   3532487   3397974  15.24%   3.035%
 14  34.883  3099 3176 3229 VV 3   10578   4000402   3658165  16.41%   3.268%
 15  35.684  3229 3249 3297 VV 9    4029    857036    672224   3.02%   0.600%
 
 16  38.175  3328 3476 3570 VV 2  360721  22911654  22290914 100.00%  19.912%
 17  39.426  3570 3590 3624 VV 9   10378   1073339    939191   4.21%   0.839%
 18  42.949  3834 3911 4031 BB 9    7375   2383009   1906408   8.55%   1.703%
 19  44.639  4031 4065 4118 BV 9    5014    808824    621150   2.79%   0.555%
 20  45.857  4118 4176 4197 PV 6   10390   1547870   1362229   6.11%   1.217%
 
 21  46.263  4197 4213 4233 VV 5   11773   1003603    916312   4.11%   0.819%
 22  46.713  4233 4254 4291 VV 10    7413   1198703   1051474   4.72%   0.939%
 23  47.283  4291 4306 4370 VB 6   15151   1858775   1651904   7.41%   1.476%
 24  53.045  4691 4831 4885 BV 4   13814   3630608   3067628  13.76%   2.740%
 25  53.977  4885 4916 4968 VV 4    5760   2872732   2553646  11.46%   2.281%
 
 26  54.910  4968 5001 5032 VV 4    7301   2208902   1945538   8.73%   1.738%
 27  55.437  5032 5049 5112 VV 4    5115   1631573   1317011   5.91%   1.176%
 28  57.215  5112 5211 5252 VV 4    7904   2720779   2287750  10.26%   2.044%
 29  58.696  5295 5346 5459 VB 2    7674   2257968   1722907   7.73%   1.539%
