 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1   5.910   493  536  583 BV 3    9282    734457    709080   2.55%   0.688%
  2  10.574   886  961 1123 BV    391139  27960218  27854663 100.00%  27.007%
  3  18.256  1633 1661 1850 BB 2   95626  15808524  15690906  56.33%  15.213%
  4  21.504  1920 1957 2107 BB    353352  23374699  23270600  83.54%  22.562%
  5  25.378  2287 2310 2414 BV 3   72186   5185360   5117309  18.37%   4.962%
 
  6  28.945  2574 2635 2740 BB     52363   4752165   4665532  16.75%   4.524%
  7  32.039  2880 2917 3031 BB     95758   6633827   6583775  23.64%   6.383%
  8  33.740  3047 3072 3121 BV 2    8412    737482    695764   2.50%   0.675%
  9  34.838  3121 3172 3261 PB 2   31034   2904475   2830090  10.16%   2.744%
 10  37.099  3351 3378 3454 BV 7    3664    492586    441121   1.58%   0.428%
 
 11  38.174  3454 3476 3507 VV 2   14725   1045289   1018990   3.66%   0.988%
 12  39.403  3507 3588 3648 VV 4   18568   1821512   1756166   6.30%   1.703%
 13  40.863  3648 3721 3838 VB 2   17437   2176277   2082272   7.48%   2.019%
 14  42.640  3838 3883 3988 BB 7    5421   1137934   1055617   3.79%   1.023%
 15  45.154  3988 4112 4144 BV 7    5933   1969696   1899408   6.82%   1.842%
 
 16  47.283  4281 4306 4361 PB 6    3385    431919    394262   1.42%   0.382%
 17  48.918  4428 4455 4511 BV 10    6421    908561    831042   2.98%   0.806%
 18  51.584  4511 4698 4735 VV 10    4213   1300732   1140800   4.10%   1.106%
 19  57.752  5198 5260 5300 VV 4   32648   5221456   5101431  18.31%   4.946%
