 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1   5.923   445  537  585 BV     11935   2934925   1598708   1.94%   0.771%
  2   6.757   585  613  658 PV     10431   1843233   1118715   1.36%   0.540%
  3   7.909   658  718  828 VB 5    6715   3781563   2104571   2.55%   1.015%
  4  10.564   865  960 1118 BV   1021397  84861753  82381365 100.00%  39.738%
  5  12.429  1118 1130 1254 VV 3   53296  12058861  10470418  12.71%   5.051%
 
  6  14.031  1254 1276 1317 VV 3   50454   5573228   4927487   5.98%   2.377%
  7  14.667  1317 1334 1417 VV 3    7852   2997259   1816839   2.21%   0.876%
  8  15.776  1417 1435 1511 VV 3    7294   2301899   1305756   1.59%   0.630%
  9  18.299  1511 1665 1847 VV 2  103360  21123291  17780715  21.58%   8.577%
 10  21.525  1933 1959 2150 VV    242771  24428636  22255887  27.02%  10.736%
 
 11  23.851  2150 2171 2210 VV      8567   1602124    927186   1.13%   0.447%
 12  24.849  2210 2262 2296 VV      3848   1837048    944458   1.15%   0.456%
 13  25.442  2296 2316 2353 PV 3   44580   4310714   3735706   4.53%   1.802%
 14  26.210  2353 2386 2410 VV 3    3803   1430158    819370   0.99%   0.395%
 15  26.737  2410 2434 2503 VV 3   12592   2706240   1755526   2.13%   0.847%
 
 16  27.812  2503 2532 2582 VV 3   10300   2496383   1681508   2.04%   0.811%
 17  29.008  2582 2641 2686 VV 4   39938   5632542   4606950   5.59%   2.222%
 18  29.710  2686 2705 2736 VV 4    6161   1510091    956770   1.16%   0.462%
 19  30.445  2736 2772 2822 VV 4    4609   1481597    605103   0.73%   0.292%
 20  32.102  2822 2923 3009 VB 3   20797   4750294   2855756   3.47%   1.378%
 
 21  33.814  3032 3079 3119 BV 4   73226   6639584   5747472   6.98%   2.772%
 22  34.911  3119 3179 3212 VV 5   13844   2589393   1639661   1.99%   0.791%
 23  38.235  3404 3482 3582 PV 2   61632   7013351   5224575   6.34%   2.520%
 24  39.486  3582 3596 3655 VV 10   14512   2185536   1441488   1.75%   0.695%
 25  42.756  3655 3894 4011 PB 10    6055   7813251   4216652   5.12%   2.034%
 
 26  44.731  4011 4074 4108 BV 10    4280   1958182    944066   1.15%   0.455%
 27  45.334  4108 4129 4164 VV 10    4015   1439062    835571   1.01%   0.403%
 28  45.905  4164 4181 4204 VV 10    9224   1306817    898210   1.09%   0.433%
 29  46.333  4204 4220 4240 VV 10   10354   1281627    900076   1.09%   0.434%
 30  46.903  4240 4272 4291 PV 10    7661   1875445   1339392   1.63%   0.646%
 
 31  47.353  4291 4313 4441 VV 5   10704   4272574   2657294   3.23%   1.282%
 32  50.228  4551 4575 4660 PB 5    6093   2425101   1204214   1.46%   0.581%
 33  54.759  4684 4988 5050 BV 5   17102  12957701   8656723  10.51%   4.176%
 34  55.527  5050 5058 5107 VV 5   11907   2805150   1990000   2.42%   0.960%
 35  56.306  5107 5129 5170 VV 5    4409   2226178   1390553   1.69%   0.671%
 
 36  56.910  5170 5184 5203 VV 5    4924   1130254    704611   0.86%   0.340%
 37  57.392  5203 5228 5370 VV 5    5623   4446962   2111003   2.56%   1.018%
 38  59.422  5370 5413 5460 PBA5    5946   1905676    759341   0.92%   0.366%
