 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1   5.908   516  536  566 BV 2    3320    299647    193564   1.19%   0.194%
  2  10.550   936  959 1116 BB    217848  16664865  16277866 100.00%  16.350%
  3  18.265  1640 1662 1910 PB 2   47756  11592132  10899305  66.96%  10.948%
  4  21.491  1913 1956 2067 BV    176115  14109807  13697308  84.15%  13.758%
  5  25.398  2293 2312 2349 PV 3   29711   2391823   2264878  13.91%   2.275%
 
  6  26.012  2349 2368 2397 VV 9    3625    717230    589999   3.62%   0.593%
  7  27.779  2489 2529 2584 PV 7    9759   1427874   1200583   7.38%   1.206%
  8  28.964  2584 2637 2754 VV 3   31827   6482977   6023177  37.00%   6.050%
  9  30.578  2754 2784 2804 VV 4   17947   2270767   2126045  13.06%   2.136%
 10  31.346  2804 2854 2900 VV 4   22968   3314163   3021249  18.56%   3.035%
 
 11  32.059  2900 2919 3032 VV 4   24984   8335360   7936486  48.76%   7.972%
 12  33.727  3032 3071 3127 VV 9   30118   5586306   5285823  32.47%   5.309%
 13  34.868  3127 3175 3234 VV 5   17837   4399537   3998037  24.56%   4.016%
 14  37.140  3295 3382 3404 VV 5    4271   1464283   1142177   7.02%   1.147%
 15  37.656  3404 3429 3461 VV 5    4485    782608    627083   3.85%   0.630%
 
 16  38.205  3461 3479 3551 VV 4   16457   2645226   2401566  14.75%   2.412%
 17  39.423  3551 3590 3644 VV 4   65680   5427541   5149554  31.64%   5.173%
 18  42.737  3764 3892 4031 BV 4    8230   3591454   2831550  17.40%   2.844%
 19  44.701  4031 4071 4148 PV 4    7027   1448122   1160281   7.13%   1.165%
 20  45.832  4148 4174 4193 PV 9   10434    893417    790374   4.86%   0.794%
 
 21  46.260  4193 4213 4288 VV 9   12879   2511477   2267974  13.93%   2.278%
 22  47.291  4288 4307 4436 VV 8   13274   2907567   2534847  15.57%   2.546%
 23  49.705  4511 4527 4551 VV 10    6856    669816    564938   3.47%   0.567%
 24  51.593  4678 4699 4727 BV 8   10431    884871    747691   4.59%   0.751%
 25  54.260  4912 4942 5028 PV 8    3694   2495430   2163087  13.29%   2.173%
 
 26  55.434  5028 5049 5095 VV 9    6668   1203187    959227   5.89%   0.964%
 27  57.003  5095 5192 5242 VV 9    3491   1696458   1279534   7.86%   1.285%
 28  58.693  5325 5346 5458 VBA2    6332   1823532   1421819   8.73%   1.428%
