 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1   5.910   489  536  599 BV      3749    312698    284907   1.36%   0.373%
  2  10.541   899  958 1123 BV    265465  21068256  21006387 100.00%  27.478%
  3  14.008  1240 1274 1346 BB 2    8092    930881    896026   4.27%   1.172%
  4  18.266  1636 1662 1930 BV     66573  15310190  15205932  72.39%  19.890%
  5  21.482  1930 1955 2113 VB 3  208559  16245852  16112813  76.70%  21.076%
 
  6  25.389  2283 2311 2417 BV 2   55005   4173586   4103051  19.53%   5.367%
  7  26.684  2417 2429 2494 VV 6    6233    561664    515651   2.45%   0.674%
  8  28.966  2570 2637 2745 BV 3   33801   4819022   4713998  22.44%   6.166%
  9  32.050  2894 2918 3041 BV 2   48863   4157049   4058927  19.32%   5.309%
 10  33.751  3041 3073 3101 VV 10    6350    707457    685598   3.26%   0.897%
 
 11  34.497  3101 3141 3156 PV 3    8609    715698    686542   3.27%   0.898%
 12  34.848  3156 3173 3284 VB 2   20904   2008370   1929621   9.19%   2.524%
 13  38.206  3351 3479 3574 BV 2   11586   1892149   1783565   8.49%   2.333%
 14  39.424  3574 3590 3651 PB 8   13790   1214351   1188516   5.66%   1.555%
 15  40.873  3694 3722 3784 BV 4    6611    726352    684148   3.26%   0.895%
 
 16  47.304  4287 4308 4408 PB 4    5790    711052    656116   3.12%   0.858%
 17  51.606  4555 4700 4731 PV 8    7277   1126992   1030157   4.90%   1.348%
 18  55.469  4731 5052 5075 PV 6    3292   1039881    907448   4.32%   1.187%
