 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1   5.964   322  541  598 BV     66017   8828940   7399560   5.65%   1.390%
  2   6.743   598  612  665 VV 4    8093   1558370   1175778   0.90%   0.221%
  3   8.026   665  729  761 VV 4   11381   3817321   3264756   2.49%   0.613%
  4   9.200   761  836  901 VV 4    4337   3369332   2472030   1.89%   0.464%
  5  10.067   901  915  947 VV 9    5515   1052406    780757   0.60%   0.147%
 
  6  10.671   947  970 1134 PV   1395597 106400864 105275040  80.39%  19.775%
  7  12.602  1134 1146 1201 VB      6640   1938766   1449051   1.11%   0.272%
  8  14.675  1264 1335 1404 BV      9689   2799759   1855366   1.42%   0.349%
  9  15.773  1404 1435 1474 PV 3   18628   2170776   1728869   1.32%   0.325%
 10  17.002  1521 1547 1589 VV 3    4980   1373714    925596   0.71%   0.174%
 
 11  18.307  1640 1666 1937 VV 2  196383  50510813  48473243  37.02%   9.105%
 12  21.599  1937 1966 2067 VV   1909402 131897778 130947408 100.00%  24.597%
 13  22.883  2067 2083 2243 VV 4   15704   4883751   3520542   2.69%   0.661%
 14  24.868  2243 2264 2292 PV 4   10238   1979568   1693991   1.29%   0.318%
 15  25.450  2292 2317 2420 VV    248292  22167046  21293181  16.26%   4.000%
 
 16  26.734  2420 2434 2510 VV 3  120810  11497071  10802695   8.25%   2.029%
 17  27.831  2510 2534 2589 VV 2   71257   7328201   6797754   5.19%   1.277%
 18  29.027  2589 2643 2802 VV 3  127779  23670253  22173234  16.93%   4.165%
 19  30.947  2802 2818 2882 VV 3   10995   2628539   2062742   1.58%   0.387%
 20  32.132  2882 2926 3036 VV    380564  30049342  28996404  22.14%   5.447%
 
 21  33.822  3036 3080 3126 VV 4   99229  10003020   9336366   7.13%   1.754%
 22  34.919  3126 3180 3225 VV 2  123584  14299830  13561339  10.36%   2.547%
 23  36.817  3316 3353 3375 VV 2    6270   1775083   1386174   1.06%   0.260%
 24  37.190  3375 3387 3410 VV 2   19787   2115806   1856489   1.42%   0.349%
 25  37.706  3410 3434 3462 VV 2    5233   1351473    999490   0.76%   0.188%
 
 26  38.276  3462 3486 3533 VV    103410  10018680   9532496   7.28%   1.791%
 27  39.494  3533 3597 3658 VV 3  195744  18151417  17239054  13.16%   3.238%
 28  40.953  3658 3730 3805 VV 2   98075  10924806   9833979   7.51%   1.847%
 29  42.720  3805 3891 4035 PV 3   54727  13408281  11778810   9.00%   2.213%
 30  44.827  4035 4083 4110 VV 3   12717   3556886   2997884   2.29%   0.563%
 
 31  45.397  4110 4135 4164 VV 3    6273   1942355   1528199   1.17%   0.287%
 32  46.341  4164 4221 4238 PV 3    9617   2244091   1704779   1.30%   0.320%
 33  46.791  4238 4262 4294 VV 3    6780   1846870   1407640   1.07%   0.264%
 34  47.383  4294 4316 4377 VV 2   49186   4827139   4235349   3.23%   0.796%
 35  48.381  4377 4407 4442 VV 2    5538   1349470    916332   0.70%   0.172%
 
 36  49.007  4442 4464 4511 PV     81155   6711089   6205827   4.74%   1.166%
 37  49.808  4511 4537 4558 VV 4   20363   2401731   1995184   1.52%   0.375%
 38  50.609  4558 4610 4690 VV 2   22791   6174306   5151775   3.93%   0.968%
 39  51.684  4690 4708 4737 PV 3   93918   7726003   7371728   5.63%   1.385%
 40  52.880  4737 4817 4835 VV 3    4916   2644042   1901250   1.45%   0.357%
 
 41  53.791  4835 4900 5027 VV 3   10886   8371229   6808181   5.20%   1.279%
 42  55.546  5027 5060 5097 VV 2   22218   2737487   2064637   1.58%   0.388%
 43  56.852  5097 5179 5222 VV 2   36862   5720854   4670579   3.57%   0.877%
 44  57.510  5222 5239 5312 VV 9   11913   4208646   3325605   2.54%   0.625%
 45  58.783  5312 5355 5461 VBA9    6496   2795092   1465247   1.12%   0.275%
