 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1   5.935   428  538  591 PV     15111   3743499   2329385   2.84%   1.113%
  2   7.910   591  718  815 VV 10    6684   6478467   4549952   5.55%   2.175%
  3   9.227   815  838  897 VV 10    3188   1781134    985178   1.20%   0.471%
  4  10.587   897  962 1105 VV   1100366  83812685  81921763 100.00%  39.155%
  5  12.441  1105 1131 1254 VV 2   64337  14401801  12890970  15.74%   6.161%
 
  6  14.043  1254 1277 1317 VV 4   24771   3859828   3226745   3.94%   1.542%
  7  14.691  1317 1336 1421 VV 4    8158   2981425   1937212   2.36%   0.926%
  8  15.777  1421 1435 1541 VB 3   14783   3163377   1978513   2.42%   0.946%
  9  18.312  1594 1666 1840 BV 2  109857  21430859  19001064  23.19%   9.082%
 10  20.429  1840 1859 1887 VV 2    4925   1112956    681498   0.83%   0.326%
 
 11  21.548  1943 1961 2117 VV 3  178380  17693082  16093032  19.64%   7.692%
 12  23.863  2117 2172 2217 PV 10    8521   2397491   1438425   1.76%   0.688%
 13  24.851  2217 2262 2295 VV 10    5137   1906273   1144022   1.40%   0.547%
 14  25.454  2295 2317 2360 VV 2   44562   4259451   3648458   4.45%   1.744%
 15  26.749  2360 2435 2513 VV 2   17036   4657546   3234167   3.95%   1.546%
 
 16  27.835  2513 2534 2596 VV 2   13378   2782442   1955838   2.39%   0.935%
 17  29.031  2596 2643 2686 VV 3   40776   6299646   5448699   6.65%   2.604%
 18  29.755  2686 2709 2756 VV 8    7746   2370950   1652965   2.02%   0.790%
 19  30.458  2756 2773 2832 VV 8    4907   1628080    857244   1.05%   0.410%
 20  32.125  2832 2925 2984 VV 5   13045   4103638   2678436   3.27%   1.280%
 
 21  33.837  3055 3081 3130 VV 5  101215   9104599   8403955  10.26%   4.017%
 22  34.923  3130 3180 3222 VV 8   14263   3172629   2280954   2.78%   1.090%
 23  37.194  3375 3387 3408 VV 8    5539    671165    375214   0.46%   0.179%
 24  38.270  3408 3485 3510 VV 2   37890   4173097   3205999   3.91%   1.532%
 25  38.884  3510 3541 3585 VV 2    2947   1339586    620817   0.76%   0.297%
 
 26  39.509  3585 3598 3637 PV 8   18084   1975723   1508034   1.84%   0.721%
 27  45.390  4104 4134 4165 PV 8    5585   1784866   1201863   1.47%   0.574%
 28  45.950  4165 4185 4204 PV 8    6106   1066029    691514   0.84%   0.331%
 29  46.345  4204 4221 4239 VV 8    6591    965234    598807   0.73%   0.286%
 30  46.916  4239 4273 4298 VV 8    5372   1453712    896901   1.09%   0.429%
 
 31  47.376  4298 4315 4441 VB 4   10895   3416236   2029636   2.48%   0.970%
 32  49.538  4441 4512 4557 BV 4    4097   2774706   1620761   1.98%   0.775%
 33  50.240  4557 4576 4615 VV 4    7100   1727076   1141456   1.39%   0.546%
 34  51.359  4660 4678 4722 VV 4    2656   1447762    753404   0.92%   0.360%
 35  54.102  4722 4928 4970 VV 4    5344   7459430   4819311   5.88%   2.303%
 
 36  54.782  4970 4990 5030 VV 7   15770   2910170   2202329   2.69%   1.053%
 37  55.550  5030 5060 5107 VV 7    8978   2671138   1760423   2.15%   0.841%
 38  57.503  5107 5238 5260 VV 7    9657   6133442   4261899   5.20%   2.037%
 39  57.953  5260 5279 5366 VV 7   11576   3601738   2157543   2.63%   1.031%
 40  59.446  5366 5415 5461 PBA7    8955   2228736   1040894   1.27%   0.497%
