 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1   5.969   485  541  605 PV     20705   4944033   3537861   4.92%   1.124%
  2   7.988   605  725  785 VV      6219   6862348   4654252   6.48%   1.478%
  3   8.800   785  799  902 VV      5502   3541221   2017826   2.81%   0.641%
  4  10.633   902  966 1123 VV    690651  74743994  71870516 100.00%  22.824%
  5  12.553  1123 1141 1260 VV 5   17112   7323865   5485579   7.63%   1.742%
 
  6  14.122  1260 1284 1429 VV 5   41868   9507645   7288176  10.14%   2.315%
  7  15.844  1429 1441 1516 VV 5    7055   2436583   1309396   1.82%   0.416%
  8  17.194  1516 1564 1646 VV 5    7389   2937938   1231339   1.71%   0.391%
  9  18.379  1646 1672 1798 PV 3  129370  24148954  22237711  30.94%   7.062%
 10  19.937  1798 1814 1935 VB 3    4717   4318188   2291629   3.19%   0.728%
 
 11  21.605  1942 1966 2162 BV    422236  45005042  42129518  58.62%  13.379%
 12  25.511  2298 2322 2365 VV 2  108254   9816757   8942685  12.44%   2.840%
 13  26.213  2365 2386 2421 VV 2    5996   2272864   1470508   2.05%   0.467%
 14  26.816  2421 2441 2508 VV 3   80065   9023130   7838979  10.91%   2.489%
 15  27.924  2508 2542 2588 VV 3   18125   4157048   3063212   4.26%   0.973%
 
 16  29.098  2625 2649 2701 VV     67521  10461343   9379308  13.05%   2.979%
 17  29.812  2701 2714 2761 VV 9   14084   3697939   2804142   3.90%   0.891%
 18  30.525  2761 2779 2894 VV 3  294860  28206654  26369057  36.69%   8.374%
 19  32.182  2894 2930 3060 VV 3   71941  11983427   9706716  13.51%   3.083%
 20  33.948  3060 3091 3140 VV 3   38902   7518973   6437356   8.96%   2.044%
 
 21  34.639  3140 3154 3167 VV 5   17578   1725358   1365610   1.90%   0.434%
 22  34.990  3167 3186 3285 VV 4   42731   6307572   4625528   6.44%   1.469%
 23  36.812  3285 3352 3380 PV 4    3671   2220126    913779   1.27%   0.290%
 24  37.262  3380 3393 3412 VV 4    9172   1204770    778513   1.08%   0.247%
 25  37.668  3412 3430 3457 VV 4    6116   1529069    874462   1.22%   0.278%
 
 26  38.359  3457 3493 3548 VV 3   48972   7940717   6675573   9.29%   2.120%
 27  39.577  3548 3604 3660 VV 3   63704   9251690   7647302  10.64%   2.429%
 28  40.334  3660 3673 3703 VV 3    5091   1258665    637176   0.89%   0.202%
 29  41.091  3703 3742 3801 VV 5   14875   4992826   3640544   5.07%   1.156%
 30  42.813  3801 3899 4000 PV 10   17151   8664633   5943025   8.27%   1.887%
 
 31  44.799  4000 4080 4133 VV 10   22882   5088462   3250602   4.52%   1.032%
 32  45.545  4133 4148 4208 VV 10    6977   3167899   2055812   2.86%   0.653%
 33  46.423  4208 4228 4302 VV 10   12978   4170963   2825536   3.93%   0.897%
 34  47.455  4302 4322 4379 VV 2   25445   4274665   3114995   4.33%   0.989%
 35  49.078  4379 4470 4517 VV 2    9864   4964705   2897175   4.03%   0.920%
 
 36  49.857  4517 4541 4561 VV 2    8553   1621333    972166   1.35%   0.309%
 37  50.626  4561 4611 4659 PV 2   24061   5599711   4107519   5.72%   1.304%
 38  51.756  4659 4714 4748 VV 5   53084   6703128   5362708   7.46%   1.703%
 39  52.974  4748 4825 4866 VV 5    7051   4104520   2250413   3.13%   0.715%
 40  53.807  4866 4901 4925 VV 5    5237   2455013   1470366   2.05%   0.467%
 
 41  54.400  4925 4955 4977 VV 5    6278   2102377   1256302   1.75%   0.399%
 42  55.102  4977 5019 5045 VV 5   19227   4425525   3258353   4.53%   1.035%
 43  55.607  5045 5065 5109 VV 2   15595   2640883   1573058   2.19%   0.500%
 44  56.945  5109 5187 5258 VV 2   10524   6941496   4443916   6.18%   1.411%
 45  57.922  5258 5276 5320 VV 2    5287   2295689   1243032   1.73%   0.395%
 
 46  59.491  5320 5419 5447 VBA2    3809   3783965   1638730   2.28%   0.520%
