 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1   5.980   299  542  605 BV     20506   4501587   2407316   3.44%   0.992%
  2   6.814   605  618  662 VV      3796   1174874    752878   1.08%   0.310%
  3   7.977   662  724  871 VV 3   12838   6496477   4893861   6.99%   2.016%
  4  10.632   871  966 1110 VV    708687  71675404  69966938 100.00%  28.825%
  5  12.497  1110 1136 1268 VV 4   70404  19389182  18094857  25.86%   7.455%
 
  6  14.110  1268 1283 1324 VV 5   16252   3448097   2916116   4.17%   1.201%
  7  14.758  1324 1342 1424 VV 5   13508   4726943   3862758   5.52%   1.591%
  8  15.844  1424 1441 1544 VV 5   14595   5349053   4349948   6.22%   1.792%
  9  18.367  1604 1671 1807 VV 3   82055  21362195  19707194  28.17%   8.119%
 10  20.013  1807 1821 1844 VV 3    7510   1943496   1605972   2.30%   0.662%
 
 11  20.485  1844 1864 1930 VV 3   10199   4454600   3642023   5.21%   1.500%
 12  21.593  1930 1965 2155 VV    249154  28174346  26260254  37.53%  10.819%
 13  23.919  2155 2177 2253 VV     13773   3738481   3015142   4.31%   1.242%
 14  24.918  2253 2268 2303 VV      9099   2148282   1757405   2.51%   0.724%
 15  25.510  2303 2322 2365 VV 4   38977   4528331   4053976   5.79%   1.670%
 
 16  26.201  2365 2385 2426 VV 4    5924   2033356   1530688   2.19%   0.631%
 17  26.816  2426 2441 2483 VV 4   17236   2423530   1954991   2.79%   0.805%
 18  27.891  2483 2539 2576 VV 4   20912   3804547   3097649   4.43%   1.276%
 19  28.626  2576 2606 2633 VV 4   10184   1930917   1491071   2.13%   0.614%
 20  29.087  2633 2648 2699 VV 6   41530   7972788   7449492  10.65%   3.069%
 
 21  29.789  2699 2712 2758 VV 6   13812   3597822   3023921   4.32%   1.246%
 22  30.513  2758 2778 2836 VV 6   14134   2817241   2136304   3.05%   0.880%
 23  32.170  2885 2929 3066 VV 7   22133   6243991   4870422   6.96%   2.006%
 24  33.893  3066 3086 3127 VV 5  118086   9917627   9447314  13.50%   3.892%
 25  34.979  3127 3185 3269 VV 4   17692   4448429   3341700   4.78%   1.377%
 
 26  38.326  3409 3490 3585 PV 2   40274   7640599   6349128   9.07%   2.616%
 27  39.554  3585 3602 3652 VV 9   22199   2694152   2155712   3.08%   0.888%
 28  41.003  3708 3734 3818 PB 9    3561   1843948   1003990   1.43%   0.414%
 29  42.769  3838 3895 3941 BV 9    6739   2620107   1776212   2.54%   0.732%
 30  43.395  3941 3952 4021 VV 9    4035   1528307    837091   1.20%   0.345%
 
 31  44.843  4021 4084 4124 PV 9    3356   2024903   1217769   1.74%   0.502%
 32  45.567  4124 4150 4202 VV 9    4986   1751637   1121193   1.60%   0.462%
 33  47.004  4202 4281 4308 VV 9    4121   1971370   1081152   1.55%   0.445%
 34  47.443  4308 4321 4394 PV 4   18351   2965016   2247679   3.21%   0.926%
 35  48.475  4394 4415 4506 VV 4    5517   2888171   1932968   2.76%   0.796%
 
 36  50.318  4506 4583 4689 PV 4    7064   4432452   2889963   4.13%   1.191%
 37  51.777  4689 4716 4739 VV 4    2838   1052708    579241   0.83%   0.239%
 38  52.984  4739 4826 4895 VV 4    5523   3488756   2010308   2.87%   0.828%
 39  54.816  4895 4993 5052 VV 4   19209   9057522   7337312  10.49%   3.023%
 40  55.606  5052 5065 5092 VV 8   11430   1493693   1049774   1.50%   0.432%
 
 41  56.671  5092 5162 5218 VV 8    4230   3207239   1842142   2.63%   0.759%
 42  57.505  5218 5238 5258 VV 8    3903   1288388    818059   1.17%   0.337%
 43  58.086  5258 5291 5338 VV 8    3235   1802604    853186   1.22%   0.351%
