 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1  10.534   813  957 1036 PV    334218  29803378  29319829  47.33%  12.681%
  2  11.543  1036 1049 1113 VV 5    5439   1016766    785566   1.27%   0.340%
  3  14.012  1253 1274 1312 BV 3   10064    926739    796457   1.29%   0.344%
  4  17.096  1533 1555 1636 BV 4   10154   1215694    995741   1.61%   0.431%
  5  18.270  1636 1662 1843 PV    222592  38153237  37719797  60.89%  16.314%
 
  6  20.410  1843 1857 1930 VV 10    5216   1851078   1545643   2.49%   0.668%
  7  21.552  1930 1961 2113 VB    745677  62500223  61950251 100.00%  26.793%
  8  25.415  2293 2313 2417 PV    173749  13649986  13342000  21.54%   5.770%
  9  26.720  2417 2432 2487 VV      5515   1228117   1046213   1.69%   0.452%
 10  27.807  2487 2531 2574 VV      5926   1491467   1265796   2.04%   0.547%
 
 11  28.981  2574 2638 2754 VV 2   74398  11266393  10807947  17.45%   4.674%
 12  30.408  2754 2768 2817 VV 5   36541   3769969   3591932   5.80%   1.553%
 13  31.384  2817 2857 2887 VV 4   12941   1924433   1731184   2.79%   0.749%
 14  32.098  2887 2922 2984 VV    289422  21905346  21638319  34.93%   9.358%
 15  32.921  2984 2997 3034 VV 3   14285   1772325   1619830   2.61%   0.701%
 
 16  33.755  3034 3073 3124 VV 3   16485   3595895   3337263   5.39%   1.443%
 17  34.874  3124 3175 3301 VV 3   55585  10038870   9523678  15.37%   4.119%
 18  36.630  3301 3335 3371 VV 3    4913   1379634   1201442   1.94%   0.520%
 19  37.146  3371 3382 3457 VV 6    8341   1607891   1390070   2.24%   0.601%
 20  38.210  3457 3479 3574 VV 3   44802   5329798   5034924   8.13%   2.178%
 
 21  39.461  3574 3593 3623 VV 9   11054   1270575   1159342   1.87%   0.501%
 22  40.219  3623 3662 3693 VV 9    6475   1150942    977267   1.58%   0.423%
 23  40.899  3693 3724 3788 VV     35727   3543705   3318544   5.36%   1.435%
 24  42.479  3788 3868 3991 VB      7787   3458841   2931657   4.73%   1.268%
 25  44.652  4028 4066 4151 BV 10    6704   1622069   1317415   2.13%   0.570%
 
 26  46.287  4151 4215 4238 VV 5   11132   1862701   1645736   2.66%   0.712%
 27  46.737  4238 4256 4295 VV 8    5966   1263275   1131400   1.83%   0.489%
 28  47.330  4295 4310 4371 VV 7   10601   1907759   1715399   2.77%   0.742%
 29  48.318  4371 4400 4431 VV 4    6397    931290    789200   1.27%   0.341%
 30  48.943  4431 4457 4501 PV 8    5285    832262    676465   1.09%   0.293%
 
 31  50.205  4548 4572 4651 VV 8    3811   1210831    972542   1.57%   0.421%
 32  51.621  4651 4701 4726 VV 10    5947    916709    741668   1.20%   0.321%
 33  52.126  4726 4747 4852 PV 9    3419   1237965    935414   1.51%   0.405%
 34  54.244  4916 4940 4968 VV 10    3203    578661    433450   0.70%   0.187%
 35  54.946  4968 5004 5025 VV 10    3571    686012    535863   0.86%   0.232%
 
 36  55.484  5025 5053 5095 VV 2    9532   1025642    847104   1.37%   0.366%
 37  57.053  5095 5196 5241 PV 9    5046   1891640   1538952   2.48%   0.666%
 38  58.710  5318 5347 5459 BBA9    4044   1317925    905048   1.46%   0.391%
