 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1   5.997   442  544  595 BV     29750   4609522   2976800   3.80%   0.702%
  2   6.842   595  621  652 VV 7    3190   1186225    542340   0.69%   0.128%
  3   7.577   652  688  708 VV 7    5081   1606430    980972   1.25%   0.231%
  4   8.005   708  727  861 VB 3    9404   4990790   3259202   4.16%   0.769%
  5  10.671   898  970 1124 BV    847965  80904190  78292431 100.00%  18.473%
 
  6  12.569  1124 1143 1268 VV 5   17659   6535543   4747696   6.06%   1.120%
  7  14.138  1268 1286 1331 VV 4   20205   3749155   2969609   3.79%   0.701%
  8  14.775  1331 1344 1427 VV 4    8419   2992166   1809038   2.31%   0.427%
  9  15.861  1427 1443 1519 PV 4    7735   2276536   1286813   1.64%   0.304%
 10  17.221  1519 1567 1600 PV 4   11034   2192337   1248571   1.59%   0.295%
 
 11  18.406  1600 1675 1807 PV     88615  21921316  19597085  25.03%   4.624%
 12  19.997  1807 1820 1857 VV      6973   2294613   1613865   2.06%   0.381%
 13  20.535  1857 1869 1937 VV      8897   3459506   2453359   3.13%   0.579%
 14  21.621  1937 1968 2013 VV    415223  32202617  31259712  39.93%   7.376%
 15  22.257  2013 2026 2153 VV     26255   6912638   4860624   6.21%   1.147%
 
 16  25.099  2153 2285 2306 VV      7921   4116527   2282191   2.91%   0.538%
 17  25.527  2306 2324 2365 PV 4   68649   6169596   5473602   6.99%   1.291%
 18  26.218  2365 2387 2430 VV 7   13076   2957833   2143437   2.74%   0.506%
 19  26.833  2430 2443 2497 VV 3   59619   7183687   6301758   8.05%   1.487%
 20  27.941  2497 2544 2593 VV 3   17267   5707493   4472732   5.71%   1.055%
 
 21  29.104  2593 2650 2699 VV 8   54489  11961148  10558969  13.49%   2.491%
 22  29.784  2699 2712 2756 VV 7   24751   5546748   4668883   5.96%   1.102%
 23  30.541  2756 2781 2829 VV 4  244216  24423214  23352906  29.83%   5.510%
 24  31.507  2829 2869 2902 VV 5   70646  10869292   9820106  12.54%   2.317%
 25  32.648  2902 2973 2996 VV 4   72569  16741530  15392087  19.66%   3.632%
 
 26  33.043  2996 3009 3062 VV     84596   9583203   8596014  10.98%   2.028%
 27  33.877  3062 3085 3119 VV 7   86006  14475534  13626794  17.40%   3.215%
 28  34.996  3119 3187 3245 VV 9   42038  14930939  12890006  16.46%   3.041%
 29  35.852  3245 3265 3285 VV 9   13245   2816330   2216329   2.83%   0.523%
 30  36.521  3285 3326 3412 VV 9   23515   9456308   7581482   9.68%   1.789%
 
 31  38.353  3412 3493 3518 VV 3   75682  11089613   9610241  12.27%   2.268%
 32  38.825  3518 3536 3587 VV 3   16164   5791345   4684336   5.98%   1.105%
 33  39.582  3587 3605 3662 VV 7   55797   7006470   5847053   7.47%   1.380%
 34  40.350  3662 3675 3698 VV 3   29667   2940532   2424463   3.10%   0.572%
 35  40.855  3698 3721 3848 VV 3   24440   8320126   6234728   7.96%   1.471%
 
 36  42.523  3848 3873 3891 VV 3    9908   2843945   2240998   2.86%   0.529%
 37  42.918  3891 3909 4021 VV 8   36678  11504571   9550016  12.20%   2.253%
 38  44.805  4021 4081 4131 VV 8   33759   7021834   5372175   6.86%   1.268%
 39  45.518  4131 4146 4178 VV 7   17385   2818749   2124541   2.71%   0.501%
 40  46.012  4178 4191 4214 VV 4   62171   5345250   4773554   6.10%   1.126%
 
 41  46.440  4214 4230 4250 VV 4   78387   6813517   6227720   7.95%   1.469%
 42  46.890  4250 4271 4308 VV 4   44465   7954670   7116446   9.09%   1.679%
 43  47.482  4308 4325 4391 VV 7   36320   9208264   7909997  10.10%   1.866%
 44  48.382  4391 4407 4446 VV 7   11640   3554356   2703442   3.45%   0.638%
 45  49.029  4446 4466 4527 VV 7    8007   2716170   1527863   1.95%   0.360%
 
 46  49.863  4527 4542 4562 VV 7    9582   1617841   1093120   1.40%   0.258%
 47  50.642  4562 4613 4665 VV 7   27165   7567742   5985128   7.64%   1.412%
 48  51.783  4665 4717 4750 VV 6   44883   6586768   5247056   6.70%   1.238%
 49  52.595  4750 4791 4810 VV 6    9054   3382528   2409859   3.08%   0.569%
 50  53.001  4810 4828 4864 VV 6   16004   4520384   3597692   4.60%   0.849%
 
 51  53.912  4864 4911 4927 VV 6   22833   6958726   5862821   7.49%   1.383%
 52  54.383  4927 4954 4980 VV 6   25616   6953235   5877594   7.51%   1.387%
 53  55.097  4980 5019 5050 VV 6   35006   8520464   7202406   9.20%   1.699%
 54  55.634  5050 5068 5107 VV 2   21071   4085599   3123554   3.99%   0.737%
 55  57.072  5107 5199 5261 VV 2   23668  14725389  12023858  15.36%   2.837%
 
 56  57.993  5261 5283 5336 VV 2   11215   4349070   3104384   3.97%   0.732%
 57  58.893  5336 5365 5463 VBA10    8235   4767339   2670154   3.41%   0.630%
