 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1   2.259   109  203  322 BB 10   11945   3107071   1922822   3.08%   0.635%
  2   5.978   515  542  588 BV 4    6534   1230685    847883   1.36%   0.280%
  3   7.064   588  641  705 VV 4   48159  10052783   9421070  15.09%   3.110%
  4   8.030   705  729  818 VV 9    3979   1917202   1191373   1.91%   0.393%
  5  10.707   955  973 1131 VV    985172  63446474  62425519 100.00%  20.606%
 
  6  12.583  1131 1144 1254 VV 4    7231   2228776   1494217   2.39%   0.493%
  7  14.174  1254 1289 1328 VV 4    5499   1389108    982133   1.57%   0.324%
  8  15.491  1381 1409 1574 VB 2  246957  23411620  22339737  35.79%   7.374%
  9  18.366  1644 1671 1764 BV 2   88961  15801282  15126269  24.23%   4.993%
 10  19.540  1764 1778 1897 VB 2    5394   2714344   1769504   2.83%   0.584%
 
 11  21.646  1897 1970 2083 BV    659104  48928859  47791807  76.56%  15.775%
 12  23.106  2083 2103 2193 VV 10   10620   1951707   1252146   2.01%   0.413%
 13  24.587  2193 2238 2254 PV 10    6076   1534404   1168100   1.87%   0.386%
 14  24.916  2254 2268 2300 VV 10    4191    878635    602592   0.97%   0.199%
 15  25.508  2300 2322 2376 VV     94575   8280827   7819445  12.53%   2.581%
 
 16  26.287  2376 2393 2409 VV      4543    951106    740404   1.19%   0.244%
 17  26.803  2409 2440 2480 VV 3   79560   7201437   6726916  10.78%   2.220%
 18  27.352  2480 2490 2523 VV 9    6100   1308281   1024404   1.64%   0.338%
 19  27.944  2523 2544 2579 VV 6   18494   2884795   2532277   4.06%   0.836%
 20  28.504  2579 2595 2616 VV 3   19730   1881537   1658718   2.66%   0.548%
 
 21  29.074  2616 2647 2723 VV 3   53650  10081958   9411803  15.08%   3.107%
 22  30.962  2723 2819 2842 VV 4   36379   7886017   7109325  11.39%   2.347%
 23  31.389  2842 2858 2910 VV     38361   4866059   4388189   7.03%   1.448%
 24  32.190  2910 2931 2982 VV 3  108233  14901544  14415262  23.09%   4.758%
 25  33.090  2982 3013 3036 VV 3    6929   2291178   1917251   3.07%   0.633%
 
 26  33.880  3036 3085 3135 VV 7   24791   6228359   5595002   8.96%   1.847%
 27  34.966  3135 3184 3255 VV 5   38954   6841906   6084414   9.75%   2.008%
 28  37.237  3322 3391 3418 VV 5    7829   2237255   1681283   2.69%   0.555%
 29  37.753  3418 3438 3460 VV     29704   2489582   2225944   3.57%   0.735%
 30  38.324  3460 3490 3524 VV 2   30349   3992063   3586983   5.75%   1.184%
 
 31  38.927  3524 3545 3588 VV 8   18030   2397521   1986765   3.18%   0.656%
 32  39.553  3588 3602 3652 VV 7   47256   4848133   4450061   7.13%   1.469%
 33  40.343  3652 3674 3698 VV 8    6241   1399690   1119984   1.79%   0.370%
 34  41.001  3698 3734 3808 VV 3   28146   4178534   3489534   5.59%   1.152%
 35  42.076  3808 3832 3851 VV 6    6603   1039380    778556   1.25%   0.257%
 
 36  42.548  3851 3875 4013 VV 9   22082   7769661   6716591  10.76%   2.217%
 37  44.764  4013 4077 4151 PV 8   16942   4798211   4009952   6.42%   1.324%
 38  46.191  4151 4207 4234 VV 6   37906   7177194   6676486  10.70%   2.204%
 39  46.640  4234 4248 4294 VV 4   26977   4887645   4458581   7.14%   1.472%
 40  47.409  4294 4318 4374 VV 5   19388   4733248   4204012   6.73%   1.388%
 
 41  48.220  4374 4392 4437 VV 6    5987   1610184   1198056   1.92%   0.395%
 42  49.054  4437 4468 4507 VV 2   15172   2090600   1657784   2.66%   0.547%
 43  49.822  4507 4538 4556 VV 2    4809   1068924    759112   1.22%   0.251%
 44  50.294  4556 4581 4654 VV 5    4321   2359229   1745852   2.80%   0.576%
 45  51.731  4654 4712 4744 VV 4   23819   3092428   2519853   4.04%   0.832%
 
 46  52.927  4744 4821 4857 VV 10    9426   2487148   1794559   2.87%   0.592%
 47  54.321  4857 4948 5037 VV 10    7500   5562114   4437441   7.11%   1.465%
 48  55.572  5037 5062 5103 VV 4    9834   1813300   1344958   2.15%   0.444%
 49  56.954  5143 5188 5223 VV 4    9333   2787560   2279814   3.65%   0.753%
 50  57.470  5223 5235 5256 VV 10    6715    906036    666999   1.07%   0.220%
 
 51  57.909  5256 5275 5310 VV 10    4604   1229448    867137   1.39%   0.286%
 52  58.830  5310 5359 5410 PV 4    3196   1148612    535400   0.86%   0.177%
