 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1   5.965   452  541  602 BV     16594   4953041   2447388   4.24%   0.815%
  2   6.788   602  616  632 VV 3    4800   1008785    508887   0.88%   0.170%
  3   7.523   632  683  700 VV 3    3910   2186835   1035332   1.80%   0.345%
  4   7.951   700  722  781 VV     19243   4687574   3337181   5.79%   1.112%
  5   8.796   781  799  831 VV      4410   1672114    789648   1.37%   0.263%
 
  6  10.628   908  966 1118 VV    644336  61152651  57664553 100.00%  19.210%
  7  12.471  1118 1134 1261 VV 3  191398  35464881  32810443  56.90%  10.930%
  8  14.084  1261 1281 1331 VV 3  114355  15423816  14069048  24.40%   4.687%
  9  14.732  1331 1340 1421 VV 4   26274   8049218   6117333  10.61%   2.038%
 10  15.818  1421 1439 1527 VV 4   19408   6520097   4478486   7.77%   1.492%
 
 11  17.167  1527 1562 1604 VV 4    9373   3626728   2259072   3.92%   0.753%
 12  18.352  1604 1670 1844 VV 2   67530  22138761  17808782  30.88%   5.933%
 13  20.514  1844 1867 1940 VV 2    9783   5626080   3769958   6.54%   1.256%
 14  21.578  1940 1964 1999 VV 4  160896  16250729  15135913  26.25%   5.042%
 15  22.171  1999 2018 2155 VV 5   17885   9860467   6636366  11.51%   2.211%
 
 16  23.904  2155 2176 2217 VV 8   29017   4561337   3392131   5.88%   1.130%
 17  24.914  2217 2268 2300 VV 9   18861   5788477   4233578   7.34%   1.410%
 18  25.484  2300 2320 2359 VV 3   55018   6583444   5463669   9.47%   1.820%
 19  26.175  2359 2383 2416 VV 3    7780   3082285   1961897   3.40%   0.654%
 20  26.801  2416 2440 2503 VV 3   19578   4477500   2856077   4.95%   0.951%
 
 21  27.887  2503 2539 2596 VV 3   29813   5850775   4114540   7.14%   1.371%
 22  29.302  2596 2668 2696 VV 8   34531  10130627   8273334  14.35%   2.756%
 23  29.752  2696 2709 2769 VV 6   20040   5272718   3724077   6.46%   1.241%
 24  30.531  2769 2780 2828 VV 6    8988   2486334   1369836   2.38%   0.456%
 25  31.222  2828 2843 2892 VV 6    6397   2210324    987358   1.71%   0.329%
 
 26  32.166  2892 2929 3036 VB 8   16437   5589494   2952164   5.12%   0.983%
 27  33.878  3046 3085 3139 BV 2  193848  16699220  14929535  25.89%   4.974%
 28  34.975  3139 3185 3289 VB 5   16004   6034799   3179369   5.51%   1.059%
 29  36.862  3289 3357 3412 BV 5    4839   4698585   2296062   3.98%   0.765%
 30  38.310  3458 3489 3512 VV 2   79097   7842600   6844328  11.87%   2.280%
 
 31  38.936  3512 3546 3585 VV 2   21927   8464471   6763876  11.73%   2.253%
 32  39.550  3585 3602 3642 VV 4   48107   5548366   4452052   7.72%   1.483%
 33  40.263  3642 3667 3801 VV 4    6970   5722934   2616221   4.54%   0.872%
 34  42.831  3801 3901 3985 PV 4    8542   7678072   4314421   7.48%   1.437%
 35  44.839  3985 4084 4104 VV 4    9979   6271970   3947410   6.85%   1.315%
 
 36  45.453  4104 4140 4171 VV 4   10321   4334227   2926010   5.07%   0.975%
 37  45.980  4171 4188 4214 VV 4    9935   2101168   1274812   2.21%   0.425%
 38  47.000  4214 4281 4308 VV 4   15672   5314078   3488049   6.05%   1.162%
 39  47.450  4308 4322 4397 VV 3   15739   4920205   3118834   5.41%   1.039%
 40  48.635  4397 4430 4484 VV 3   10769   4078993   2345728   4.07%   0.781%
 
 41  49.842  4484 4540 4559 VV 3    6184   2863273   1385189   2.40%   0.461%
 42  50.292  4559 4581 4664 PV 3   13306   4692461   2649961   4.60%   0.883%
 43  51.499  4664 4691 4747 VV 3    4425   3043312   1432822   2.48%   0.477%
 44  53.276  4747 4853 4897 VV 3    9850   6932319   3975950   6.89%   1.325%
 45  53.880  4897 4908 4940 VV 3    4195   1838258    881263   1.53%   0.294%
 
 46  54.384  4940 4954 4972 VV 3    5245   1476193    813199   1.41%   0.271%
 47  54.823  4972 4994 5047 VV 4   30293   5672372   4094253   7.10%   1.364%
 48  55.591  5047 5064 5093 VV 7   13515   2955177   1966216   3.41%   0.655%
 49  56.612  5093 5157 5177 VV 7    8548   4643261   2850542   4.94%   0.950%
 50  57.478  5177 5236 5253 VV 7   12579   5511089   3801309   6.59%   1.266%
 
 51  58.005  5253 5284 5353 VV 7   12090   5415290   3206133   5.56%   1.068%
 52  59.497  5353 5420 5460 PBA6   20442   4735437   2422824   4.20%   0.807%
