 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1   6.000   452  544  595 BV     26900   6781422   3319295   2.80%   0.407%
  2   6.977   595  633  668 VV 2   24480   4586651   2768858   2.34%   0.339%
  3   7.580   668  688  895 VV    240084  37137161  31479964  26.58%   3.859%
  4  10.663   895  969 1128 VV   1380568 109217997 103407915  87.32%  12.676%
  5  12.770  1128 1161 1271 VV     11611   8243306   4444177   3.75%   0.545%
 
  6  14.163  1271 1288 1331 VV 7   16300   3911310   2374341   2.01%   0.291%
  7  14.789  1331 1345 1421 VV 2   45341   7929233   5635617   4.76%   0.691%
  8  15.875  1421 1444 1527 VV 7   14456   5193946   2386538   2.02%   0.293%
  9  17.213  1527 1566 1599 VV 7    5016   2807741   1010235   0.85%   0.124%
 10  18.398  1599 1674 1802 PV    362312  58288801  53163537  44.89%   6.517%
 
 11  20.022  1802 1822 1850 VV 3   31798   5899879   4555084   3.85%   0.558%
 12  20.549  1850 1870 1940 VV 3   71721  13722592  11150839   9.42%   1.367%
 13  21.657  1940 1971 2160 VV   1543652 124585277 118417803 100.00%  14.516%
 14  25.135  2249 2288 2310 VV     14157   4055706   2469980   2.09%   0.303%
 15  25.552  2310 2326 2366 VV    155373  14482650  12926878  10.92%   1.585%
 
 16  26.232  2366 2388 2426 VV     16141   5432199   3754982   3.17%   0.460%
 17  26.913  2426 2450 2501 VV 6   17288   6687598   4588148   3.87%   0.562%
 18  28.065  2501 2555 2596 VV 6   18526   8941000   6322420   5.34%   0.775%
 19  29.107  2596 2650 2686 VV 3  197368  23724019  21222733  17.92%   2.602%
 20  29.820  2686 2715 2759 VV 3   62480  13821051  11491880   9.70%   1.409%
 
 21  30.566  2759 2783 2829 VV 4  140172  21888198  19752613  16.68%   2.421%
 22  31.532  2829 2871 2902 VV 3  113239  17778314  15588559  13.16%   1.911%
 23  32.223  2902 2934 2995 VV 4  213027  40603998  37808599  31.93%   4.635%
 24  33.068  2995 3011 3066 VV    167675  20845044  18625283  15.73%   2.283%
 25  33.858  3066 3083 3116 VV 5  156063  21177264  19590139  16.54%   2.401%
 
 26  35.021  3116 3189 3246 VV 8  103402  34678182  30581767  25.83%   3.749%
 27  35.866  3246 3266 3315 VV 6   35472   9609269   7425343   6.27%   0.910%
 28  36.524  3315 3326 3385 VV 7   26180   8381033   6291434   5.31%   0.771%
 29  37.303  3385 3397 3470 VV 7   22723   8962176   6384374   5.39%   0.783%
 30  38.367  3470 3494 3519 VV 2  164895  17813132  16307769  13.77%   1.999%
 
 31  38.828  3519 3536 3588 VV 10   34171  11193949   8914037   7.53%   1.093%
 32  39.618  3588 3608 3645 VV 9   37179   8394133   6589063   5.56%   0.808%
 33  40.375  3645 3677 3702 VV 2   43494   8049321   6304602   5.32%   0.773%
 34  41.056  3702 3739 3806 VV 9   46415  15084319  11888436  10.04%   1.457%
 35  41.999  3806 3825 3848 VV 9   11759   4199720   2828009   2.39%   0.347%
 
 36  42.921  3848 3909 4025 VV 8   82370  35257553  29632539  25.02%   3.633%
 37  44.819  4025 4082 4109 VV 7   44946  13918006  11239837   9.49%   1.378%
 38  45.532  4109 4147 4174 VV 4   27406   7194620   5120941   4.32%   0.628%
 39  46.026  4174 4192 4214 VV 3  129742  11672206  10422016   8.80%   1.278%
 40  46.454  4214 4231 4251 VV 2  167562  14411227  13248180  11.19%   1.624%
 
 41  46.904  4251 4272 4306 VV 5  114221  17369261  15681952  13.24%   1.922%
 42  47.496  4306 4326 4391 VV 4   73691  18440585  15722033  13.28%   1.927%
 43  48.341  4391 4403 4451 VV 8   21735   6342981   4363296   3.68%   0.535%
 44  49.142  4451 4476 4524 VV 4   91499  19359850  17030583  14.38%   2.088%
 45  49.888  4524 4544 4565 VV 5   31087   6816453   5410609   4.57%   0.663%
 
 46  50.360  4565 4587 4740 VV 7   36153  22196656  16202013  13.68%   1.986%
 47  52.313  4740 4765 4787 VV 7    8972   3502662   2056567   1.74%   0.252%
 48  53.553  4787 4878 4895 VV 7   21525  11093783   7550156   6.38%   0.926%
 49  53.915  4895 4911 4927 VV 10   21521   3631519   2598044   2.19%   0.318%
 50  54.409  4927 4956 4978 VV 10   31321   7603769   5896841   4.98%   0.723%
 
 51  54.869  4978 4998 5050 VV 10   27574  10739856   8197824   6.92%   1.005%
 52  55.648  5050 5069 5110 VV 2   33381   6873207   4825184   4.07%   0.591%
 53  56.296  5110 5128 5150 VV 2   12285   2678063   1408909   1.19%   0.173%
 54  57.075  5150 5199 5262 VV 2   30834  13809351  10385414   8.77%   1.273%
 55  57.996  5262 5283 5317 VV 2   17865   5280016   3521815   2.97%   0.432%
 
 56  58.545  5317 5333 5400 VV 2    4557   4416062   1794131   1.52%   0.220%
 57  59.576  5400 5427 5463 VBA2    9559   3704489   1675502   1.41%   0.205%
