 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1   6.820   586  619  676 BB 3    3350    565667    306798   1.47%   0.295%
  2  20.143  1713 1833 2027 BV    181481  21766521  20803656 100.00%  20.023%
  3  25.334  2230 2306 2340 BV 4   22885   3193876   2809071  13.50%   2.704%
  4  26.267  2340 2391 2500 VV 3   62840  15472934  14846863  71.37%  14.290%
  5  27.704  2500 2522 2657 VB 7    4153   2291864   1571702   7.55%   1.513%
 
  6  29.855  2660 2718 2820 BB 9    2800   1082631    500884   2.41%   0.482%
  7  33.795  3016 3077 3281 PV 3  128456  17705114  16785350  80.68%  16.156%
  8  36.341  3281 3309 3337 VV 3   35800   4524131   4325244  20.79%   4.163%
  9  36.922  3337 3362 3519 VV 5   27444   8287161   7455764  35.84%   7.176%
 10  43.079  3894 3923 3948 PV 5   23681   2645858   2463097  11.84%   2.371%
 
 11  43.682  3948 3978 4004 VV 5    6866   1084426    877816   4.22%   0.845%
 12  44.187  4004 4024 4091 VV 4   13691   2728373   2415801  11.61%   2.325%
 13  45.230  4091 4119 4161 VV 4   16235   3668766   3423070  16.45%   3.295%
 14  45.932  4161 4183 4255 VV 7   16991   4855714   4420245  21.25%   4.254%
 15  47.117  4255 4291 4315 VV 4    7729   1778164   1534434   7.38%   1.477%
 
 16  47.644  4315 4339 4381 VV 2    5775   1848471   1582491   7.61%   1.523%
 17  48.259  4381 4395 4420 VV 7    3764    854450    689693   3.32%   0.664%
 18  48.796  4420 4444 4485 VV 7   10331   1857890   1609105   7.73%   1.549%
 19  49.949  4485 4549 4585 VV 7   11959   2412973   2053565   9.87%   1.977%
 20  52.615  4733 4792 4867 VV 7    8897   3143969   2648705  12.73%   2.549%
 
 21  53.603  4867 4882 4915 VV 7    3037    776055    588064   2.83%   0.566%
 22  54.130  4915 4930 4951 VV 8    4626    730477    578450   2.78%   0.557%
 23  54.591  4951 4972 4992 VV 8    7219    903740    754319   3.63%   0.726%
 24  55.249  4992 5032 5052 VV 8    4763   1354778   1110516   5.34%   1.069%
 25  55.754  5052 5078 5122 VV 8   13088   1968644   1700473   8.17%   1.637%
 
 26  58.673  5294 5344 5367 PV 7   16318   2194025   1927111   9.26%   1.855%
 27  59.189  5367 5391 5418 PV 7   20700   2678145   2470064  11.87%   2.377%
 28  59.727  5418 5440 5459 PBA8   14628   1803806   1645736   7.91%   1.584%
