 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1   5.931   508  538  596 BV     26321   3733234   2963325   5.30%   0.684%
  2   6.776   596  615  654 VV 8    4449   1350390    805086   1.44%   0.186%
  3   7.961   654  723  858 VV 8    4363   5265173   3322702   5.94%   0.767%
  4  10.594   948  963 1108 VV    710648  57432293  55923496 100.00%  12.917%
  5  12.481  1108 1135 1218 VV 3   22763   5709154   4590116   8.21%   1.060%
 
  6  13.535  1218 1231 1252 VV 3    4757    937562    581478   1.04%   0.134%
  7  14.050  1252 1278 1321 VV 2   59732   7450397   6769942  12.11%   1.564%
  8  14.698  1321 1337 1424 VV 2    9353   3776982   2618531   4.68%   0.605%
  9  15.795  1424 1437 1517 VV 2   11313   2819773   1908984   3.41%   0.441%
 10  18.329  1591 1668 1794 VV    161321  32998542  31009174  55.45%   7.163%
 
 11  19.942  1794 1815 1842 VV 7   14738   3296657   2712610   4.85%   0.627%
 12  20.458  1842 1862 1927 VV 7   21622   5686213   4700657   8.41%   1.086%
 13  21.555  1927 1962 2153 VV    685672  57565158  55125260  98.57%  12.733%
 14  25.055  2153 2281 2296 VV      9656   4547306   3012140   5.39%   0.696%
 15  25.472  2296 2319 2359 VV    133934  11784867  11121648  19.89%   2.569%
 
 16  26.174  2359 2383 2415 VV      8238   2468071   1888770   3.38%   0.436%
 17  26.778  2415 2438 2496 VV 5   55778   8098789   7250136  12.96%   1.675%
 18  27.875  2496 2538 2589 VV 5   16814   5195659   4231019   7.57%   0.977%
 19  29.049  2589 2645 2693 VV 4   87424  15079480  14017994  25.07%   3.238%
 20  29.740  2693 2708 2763 VV 6   25141   7222776   6298223  11.26%   1.455%
 
 21  30.673  2763 2793 2816 VV 3   77706  11139274  10477763  18.74%   2.420%
 22  31.452  2816 2864 2896 VV 3   99310  13452924  12498563  22.35%   2.887%
 23  32.143  2896 2927 2992 VV 3  102965  24754294  23581464  42.17%   5.447%
 24  32.999  2992 3005 3062 VV    122646  13663176  12827142  22.94%   2.963%
 25  33.800  3062 3078 3109 VV 5  101207  14757072  14175975  25.35%   3.274%
 
 26  34.952  3109 3183 3240 VV 6   82313  21435154  19745954  35.31%   4.561%
 27  35.797  3240 3260 3345 VV 5   21222   7561345   6315051  11.29%   1.459%
 28  36.872  3345 3358 3379 VV 5   10192   1972460   1574151   2.81%   0.364%
 29  37.245  3379 3392 3412 VV 5   15447   2167641   1776204   3.18%   0.410%
 30  37.629  3412 3427 3468 VV 2   18354   3245585   2578821   4.61%   0.596%
 
 31  38.309  3468 3489 3515 VV 2   81099   8548821   7996605  14.30%   1.847%
 32  38.770  3515 3531 3581 VV 2   14754   4592708   3738761   6.69%   0.864%
 33  39.549  3581 3602 3637 VV 5   47561   5643226   4994914   8.93%   1.154%
 34  40.306  3637 3671 3697 VV 5   16600   2894032   2284769   4.09%   0.528%
 35  40.986  3697 3733 3798 VV 6   30919   5803913   4701308   8.41%   1.086%
 
 36  42.841  3848 3902 4041 VV 9   38544  15494290  13404683  23.97%   3.096%
 37  44.783  4041 4079 4106 VV 9   18551   3662664   2979194   5.33%   0.688%
 38  45.474  4106 4142 4171 VV 9   15715   3476671   2731788   4.88%   0.631%
 39  46.385  4171 4225 4248 VV 4   80267  12218393  11374127  20.34%   2.627%
 40  46.835  4248 4266 4300 VV 6   47782   7711992   7117005  12.73%   1.644%
 
 41  47.438  4300 4321 4443 VV 5   43792  10955456   9336599  16.70%   2.157%
 42  49.051  4443 4468 4494 VV 6   20995   2970466   2382620   4.26%   0.550%
 43  49.841  4494 4540 4557 VV 6   11524   3138228   2365426   4.23%   0.546%
 44  50.313  4557 4583 4601 VV 7   13641   2749373   2246414   4.02%   0.519%
 45  50.664  4601 4615 4664 VV 5   10943   2925381   2188971   3.91%   0.506%
 
 46  51.739  4664 4713 4741 VV 6   26102   4379320   3510800   6.28%   0.811%
 47  52.979  4741 4826 4858 VV 6    9940   5126909   3863153   6.91%   0.892%
 48  54.339  4858 4950 4975 VV 6   12845   6283961   4897420   8.76%   1.131%
 49  55.601  4975 5065 5105 VV 5   19536   5966232   4511796   8.07%   1.042%
 50  56.984  5105 5191 5256 VV 5   13225   8065791   6437099  11.51%   1.487%
 
 51  57.949  5256 5279 5315 VV 5    8593   2484052   1778252   3.18%   0.411%
 52  58.860  5315 5362 5410 VV 5    6925   2381376   1283963   2.30%   0.297%
 53  59.507  5410 5421 5462 PBA5    3764   1008705    400616   0.72%   0.093%
