 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1   5.978   442  542  592 BV      9879   1979898    957691   2.51%   0.432%
  2   6.811   592  618  663 VV 3    6581   1675101   1136356   2.98%   0.513%
  3   7.942   663  721  828 VV 2   21815   5406487   4209354  11.03%   1.899%
  4   9.785   828  889  906 VV 2    6364   2004899   1423590   3.73%   0.642%
  5  10.147   906  922  951 VV 2    4299   1225278    869179   2.28%   0.392%
 
  6  10.630   951  966 1108 VV    450163  39468003  38152445 100.00%  17.216%
  7  12.473  1108 1134 1264 VV 2  141914  24010533  22755249  59.64%  10.268%
  8  14.097  1264 1282 1321 VV 9   20220   3529017   3023127   7.92%   1.364%
  9  14.755  1321 1342 1424 VV 9   11588   4332518   3420519   8.97%   1.543%
 10  15.830  1424 1440 1478 VV 5   14170   2352623   1898998   4.98%   0.857%
 
 11  16.434  1478 1495 1600 VB 5    4759   2674177   1606552   4.21%   0.725%
 12  18.343  1604 1669 1759 BV 2   52364  11508911  10200827  26.74%   4.603%
 13  19.539  1759 1778 1837 VV 2    5463   2254796   1548113   4.06%   0.699%
 14  20.581  1837 1873 1930 VV 2    4722   2159640   1342296   3.52%   0.606%
 15  21.569  1930 1963 2087 VV 7  113162  18319393  16987911  44.53%   7.666%
 
 16  23.895  2155 2175 2250 VV 6   23222   3600824   2811805   7.37%   1.269%
 17  24.904  2250 2267 2306 VV 3   29757   5585342   5098227  13.36%   2.300%
 18  25.486  2306 2320 2360 VV 3   43257   4913874   4355124  11.42%   1.965%
 19  26.802  2423 2440 2497 VV 4   33319   4514357   3911594  10.25%   1.765%
 20  27.878  2497 2538 2592 VV 4   18909   4039408   3261278   8.55%   1.472%
 
 21  29.074  2592 2647 2696 PV 3   26018   6223425   5408158  14.18%   2.440%
 22  29.754  2696 2709 2763 VV 2   19605   3044810   2477850   6.49%   1.118%
 23  30.511  2763 2778 2813 VV 2    7623   1272811    856172   2.24%   0.386%
 24  32.365  2886 2947 2996 VV 2    9634   3689755   2815118   7.38%   1.270%
 25  33.890  3059 3086 3128 VV 3   77687   9129063   8576800  22.48%   3.870%
 
 26  34.966  3128 3184 3222 VV 3   18386   3918874   3084486   8.08%   1.392%
 27  37.006  3312 3370 3419 PV 3    7307   3092290   2219803   5.82%   1.002%
 28  38.301  3419 3488 3515 VV    220420  16465813  15623600  40.95%   7.050%
 29  38.981  3515 3550 3585 VV      8224   3082911   2486221   6.52%   1.122%
 30  39.563  3585 3603 3662 VV 10   27747   4592247   3906464  10.24%   1.763%
 
 31  40.331  3662 3673 3708 VV 10    6904   1230656    812649   2.13%   0.367%
 32  41.340  3708 3765 3818 PV 10    6061   2177828   1266483   3.32%   0.571%
 33  42.854  3818 3903 3936 VV 10   10351   4042118   3079451   8.07%   1.390%
 34  43.370  3936 3950 4041 VV 10    5920   2916872   1899406   4.98%   0.857%
 35  44.786  4041 4079 4104 PV 10    8909   1928486   1386771   3.63%   0.626%
 
 36  45.499  4104 4144 4171 VV 10    8326   2662331   2050193   5.37%   0.925%
 37  45.982  4171 4188 4206 VV 8   21928   2171736   1853269   4.86%   0.836%
 38  46.398  4206 4226 4304 VV 7   26665   5818499   4918385  12.89%   2.219%
 39  47.430  4304 4320 4384 VV 9   19504   4935601   4223486  11.07%   1.906%
 40  48.450  4384 4413 4486 VV 3   34392   4990382   4026726  10.55%   1.817%
 
 41  50.294  4557 4581 4621 VV 3    7433   1877422   1327898   3.48%   0.599%
 42  51.775  4621 4716 4750 VV 3    6788   3327359   2062549   5.41%   0.931%
 43  52.971  4750 4825 4890 VV 3    8340   4691023   3389560   8.88%   1.529%
 44  53.936  4890 4913 4973 VV 3    4942   3038721   2254698   5.91%   1.017%
 45  54.836  4973 4995 5105 VV 3    9446   4844419   3534094   9.26%   1.595%
 
 46  56.646  5105 5160 5227 PV 3    5214   3737219   2580061   6.76%   1.164%
 47  57.579  5227 5245 5270 VV 3    8267   2095776   1637133   4.29%   0.739%
 48  58.029  5270 5286 5340 VV 3    8984   2375153   1651829   4.33%   0.745%
 49  58.874  5340 5363 5401 VV      7440   1360986    798423   2.09%   0.360%
 50  59.521  5401 5422 5458 VBA     3478    970825    436234   1.14%   0.197%
