 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1   5.955   432  540  585 PV 10    3275   1499551    941648   6.42%   1.859%
  2  10.597   936  963 1114 PV    136492  15336356  14677107 100.00%  28.971%
  3  12.451  1114 1132 1251 VB 4    6733   2069795   1542157  10.51%   3.044%
  4  18.299  1620 1665 1800 BV 3   18433   3807244   2984001  20.33%   5.890%
  5  25.420  2236 2314 2340 BV 3    3566   1107255    676793   4.61%   1.336%
 
  6  28.997  2583 2640 2693 BV 3    7977   2074946   1552933  10.58%   3.065%
  7  33.857  3019 3083 3162 PB 3    5934   2030228   1451260   9.89%   2.865%
  8  38.257  3402 3484 3534 VV 5    7488   2431100   1873765  12.77%   3.699%
  9  39.519  3574 3599 3642 VV 5    8642   1384762   1109127   7.56%   2.189%
 10  42.766  3718 3895 4050 BV 5   17214  13912256  12657582  86.24%  24.984%
 
 11  45.334  4050 4129 4170 VV 5    5342   2447149   1856265  12.65%   3.664%
 12  47.375  4248 4315 4350 BV 9    6181   1361627    929841   6.34%   1.835%
 13  50.249  4350 4577 4615 VV 9    4312   2814249   1574445  10.73%   3.108%
 14  53.223  4727 4848 4924 BV 9    3987   3455436   2488645  16.96%   4.912%
 15  54.781  4924 4990 5025 VV 9    7804   2364513   1807518  12.32%   3.568%
 
 16  55.538  5025 5059 5107 VV 9    5982   1560553   1118209   7.62%   2.207%
 17  57.952  5263 5279 5343 VV 9    3210   1321574    834240   5.68%   1.647%
 18  59.488  5343 5419 5462 PBA9    2201   1220382    586496   4.00%   1.158%
