 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1   5.945   485  539  595 BV     68623  10218150   9544919   4.18%   1.076%
  2   6.713   595  609  652 VV 4   10240   2252940   1861127   0.81%   0.210%
  3   7.448   652  676  695 VV     12145   2180617   1863673   0.82%   0.210%
  4   8.030   695  729  821 VV 9    9785   6246950   5207179   2.28%   0.587%
  5   9.160   821  832  897 VV 2   28403   4733488   4151965   1.82%   0.468%
 
  6  10.191   897  926  948 VV 2    9429   2199604   1806770   0.79%   0.204%
  7  10.652   948  968 1128 VV   3343573 208992557 207611557  90.85%  23.396%
  8  12.506  1128 1137 1258 VV 7   15302   6172386   4865830   2.13%   0.548%
  9  14.097  1258 1282 1317 VV 7   10868   2526461   2072303   0.91%   0.234%
 10  15.754  1412 1433 1492 VV 6    7360   2173876   1550592   0.68%   0.175%
 
 11  18.278  1492 1663 1934 VV 2  371262  86495174  83230156  36.42%   9.379%
 12  21.602  1934 1966 2203 VV   2828647 231045934 228515924 100.00%  25.751%
 13  24.828  2203 2260 2293 VV      4284   2254568   1455347   0.64%   0.164%
 14  25.420  2293 2314 2409 VV 2  431569  34914564  33978524  14.87%   3.829%
 15  26.704  2409 2431 2493 VV 3   74073   7530650   6748577   2.95%   0.760%
 
 16  27.790  2493 2530 2577 VV 3   20355   3054636   2336147   1.02%   0.263%
 17  28.997  2577 2640 2751 VV 3  187947  27439814  25970027  11.36%   2.927%
 18  30.413  2751 2769 2816 VV 3    8485   2233403   1616487   0.71%   0.182%
 19  32.124  2879 2925 3052 VV 2  674801  51292732  49803307  21.79%   5.612%
 20  33.803  3052 3078 3124 VV 5   59547   6318154   5657562   2.48%   0.638%
 
 21  34.889  3124 3177 3290 VV 2  141184  20616715  19065654   8.34%   2.148%
 22  36.601  3290 3333 3364 PV 2    7356   1845869   1170520   0.51%   0.132%
 23  37.171  3364 3385 3406 VV 5   32351   3084097   2702079   1.18%   0.304%
 24  37.566  3406 3421 3465 VV 5    5447   1895387   1284793   0.56%   0.145%
 25  38.247  3465 3483 3560 VV 2  133297  14338564  13398818   5.86%   1.510%
 
 26  39.464  3560 3594 3627 VV 4   77042   8162879   7454064   3.26%   0.840%
 27  40.935  3627 3728 3808 VV    126547  18661442  16622068   7.27%   1.873%
 28  42.701  3808 3889 3906 VV 3   56989  11387788  10301514   4.51%   1.161%
 29  43.019  3906 3918 4000 VV 4   36844   7769767   6433725   2.82%   0.725%
 30  45.269  4000 4123 4164 VV 3   56948  17728949  15895556   6.96%   1.791%
 
 31  45.905  4164 4181 4204 VV 7   22069   2888500   2437268   1.07%   0.275%
 32  46.322  4204 4219 4238 VV 10   26481   2728336   2359411   1.03%   0.266%
 33  46.772  4238 4260 4298 VV 10   15488   3841197   3169064   1.39%   0.357%
 34  47.364  4298 4314 4374 VV 2   54761   7637474   6826457   2.99%   0.769%
 35  48.231  4374 4393 4444 VV 2    7708   3461737   2662138   1.16%   0.300%
 
 36  48.999  4444 4463 4491 VV 2   67202   7580543   7015838   3.07%   0.791%
 37  50.316  4491 4583 4650 VV 3   50360  26047273  23776185  10.40%   2.679%
 38  51.303  4650 4673 4694 VV 2   35120   7280122   6604952   2.89%   0.744%
 39  51.654  4694 4705 4744 VV 3   55155   6553612   5806578   2.54%   0.654%
 40  52.894  4744 4818 4837 VV 3   14824   6497054   5315842   2.33%   0.599%
 
 41  53.443  4837 4868 4919 VV 7   21517   8020129   6907277   3.02%   0.778%
 42  54.332  4919 4949 4973 VV 7   13410   5140513   4344250   1.90%   0.490%
 43  54.990  4973 5009 5036 VV 7   28211   9406470   8476938   3.71%   0.955%
 44  55.528  5036 5058 5103 VV 3   37064   8234542   7087655   3.10%   0.799%
 45  56.844  5103 5178 5203 VV 2   37616  10011147   8630647   3.78%   0.973%
 
 46  57.459  5203 5234 5248 VV 2   17346   4322986   3627664   1.59%   0.409%
 47  57.854  5248 5270 5426 VV 2   29446  10733453   8174054   3.58%   0.921%
