 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1   5.919   455  537  582 BV     11916   2096490   1435911   1.96%   0.598%
  2   6.753   582  613  658 VV 3    4962   1256947    838558   1.14%   0.349%
  3   7.862   658  714  821 VB 3    4208   2829304   1941789   2.65%   0.808%
  4  10.550   885  959 1111 BV   1057995  74596387  73320691 100.00%  30.522%
  5  12.415  1111 1129 1251 VV 4   49175   8271336   7398524  10.09%   3.080%
 
  6  14.006  1251 1274 1317 VV 3   73944   7964660   7583412  10.34%   3.157%
  7  14.653  1317 1333 1411 VV 3    9428   2886525   2224793   3.03%   0.926%
  8  15.750  1411 1433 1514 VV 4   12958   2439342   1858285   2.53%   0.774%
  9  16.760  1514 1525 1591 VV 4    5343   1363397    872068   1.19%   0.363%
 10  18.296  1591 1665 1830 PV     67761  16553960  15213324  20.75%   6.333%
 
 11  20.413  1830 1858 1930 VV      5124   2812050   2160151   2.95%   0.899%
 12  21.511  1930 1958 2140 VB 3  144981  16703409  15390329  20.99%   6.407%
 13  24.824  2223 2260 2293 VV 8   15704   2585273   2152526   2.94%   0.896%
 14  25.417  2293 2314 2360 VV 5   29671   3618132   3162087   4.31%   1.316%
 15  26.722  2360 2433 2510 VV 5   12969   3801164   2790646   3.81%   1.162%
 
 16  27.809  2510 2532 2596 VV 5   12009   2246118   1708427   2.33%   0.711%
 17  29.005  2596 2641 2693 PV 3   25873   5354499   4819828   6.57%   2.006%
 18  29.718  2693 2706 2749 VV 4   14727   2852003   2437157   3.32%   1.015%
 19  30.420  2749 2770 2892 VB 4    6720   2638715   1687013   2.30%   0.702%
 20  32.099  2899 2923 3029 BB 9    8539   2362871   1535304   2.09%   0.639%
 
 21  33.810  3032 3079 3135 BV 4   82531   7655470   6981998   9.52%   2.907%
 22  34.918  3135 3180 3299 VV 4    7968   2914727   1849347   2.52%   0.770%
 23  38.254  3460 3484 3513 VV 2   49536   5089966   4760194   6.49%   1.982%
 24  38.912  3513 3544 3582 VV 2    6815   2613548   2096438   2.86%   0.873%
 25  39.494  3582 3597 3639 VV 2   19031   2716833   2312016   3.15%   0.962%
 
 26  42.752  3778 3894 4035 PV 2    9217   7305904   5720010   7.80%   2.381%
 27  44.760  4035 4077 4108 VV 2    3366   1504925   1023914   1.40%   0.426%
 28  45.386  4108 4134 4164 VV 2    6783   1719914   1311855   1.79%   0.546%
 29  45.934  4164 4184 4208 VV 2    7744   1306590   1034064   1.41%   0.430%
 30  46.329  4208 4220 4248 VV 2    8138   1048513    765866   1.04%   0.319%
 
 31  46.878  4248 4270 4294 PV 2    5756   1336749   1014228   1.38%   0.422%
 32  47.394  4294 4317 4385 VV 3   13081   2982627   2365680   3.23%   0.985%
 33  48.579  4385 4425 4497 VV 3    4842   2295308   1490520   2.03%   0.620%
 34  49.950  4497 4550 4744 VV    240598  40176736  38422943  52.40%  15.995%
 35  52.616  4744 4793 4837 VV      6652   3704407   2961390   4.04%   1.233%
 
 36  53.209  4837 4847 4970 VV      7300   4622782   3434236   4.68%   1.430%
 37  54.778  4970 4990 5033 VV 9   11464   2355756   1839196   2.51%   0.766%
 38  55.546  5033 5060 5113 VV 9   11878   2435001   1816121   2.48%   0.756%
 39  57.510  5113 5239 5256 VV 9   14134   5182516   4060964   5.54%   1.691%
 40  57.927  5256 5277 5339 VV 9   14065   3574586   2814663   3.84%   1.172%
 
 41  59.441  5339 5415 5460 VBA9    6788   2524554   1612270   2.20%   0.671%
