 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1   5.932   448  538  595 BV     20272   3872674   2592712   4.07%   0.741%
  2   6.744   595  612  655 VV      6114   1479272    918859   1.44%   0.263%
  3   7.907   655  718  815 VV 2   22862   6478722   5074246   7.96%   1.450%
  4   9.707   815  882  936 VV 2    5281   3061511   1971062   3.09%   0.563%
  5  10.606   936  964 1114 VV 2  437586  65376858  63736739 100.00%  18.215%
 
  6  12.417  1114 1129 1261 VV 2  168917  37955837  36342134  57.02%  10.386%
  7  14.008  1261 1274 1317 VV 2   22821   5559342   4854251   7.62%   1.387%
  8  14.666  1317 1334 1421 VV     59226  10952405   9707848  15.23%   2.774%
  9  15.752  1421 1433 1474 VV 7   14913   3136758   2546128   3.99%   0.728%
 10  16.345  1474 1487 1511 VV 7    7839   1739810   1370897   2.15%   0.392%
 
 11  16.772  1511 1526 1607 VV 10    9658   4515643   3522297   5.53%   1.007%
 12  17.859  1607 1625 1650 VV 2   60490   6414875   5992379   9.40%   1.713%
 13  18.298  1650 1665 1840 VV     81634  23024964  20827512  32.68%   5.952%
 14  20.755  1840 1889 1940 VV     10730   4478266   3458756   5.43%   0.988%
 15  21.512  1940 1958 2113 VV 3  211247  23109844  21493665  33.72%   6.143%
 
 16  23.389  2113 2129 2157 VV 3  100624  10579399  10158143  15.94%   2.903%
 17  23.827  2157 2169 2213 VV 6   34748   5151948   4505548   7.07%   1.288%
 18  24.826  2213 2260 2303 VV 9   40271   8372486   7451583  11.69%   2.130%
 19  25.429  2303 2315 2353 VV 3   37194   4463060   3936733   6.18%   1.125%
 20  26.713  2416 2432 2506 VV 3   20540   3314107   2502103   3.93%   0.715%
 
 21  27.799  2506 2531 2576 VV 3   16477   3288808   2620308   4.11%   0.749%
 22  29.017  2576 2642 2682 VV 4   36150   8232742   7187687  11.28%   2.054%
 23  29.687  2682 2703 2753 VV 4   53886   6120059   5408747   8.49%   1.546%
 24  30.444  2753 2772 2796 VV 4    9300   1413974   1009203   1.58%   0.288%
 25  31.157  2796 2837 2882 VV 4    6601   2179163   1351069   2.12%   0.386%
 
 26  32.100  2882 2923 3056 VV 7   15312   4969251   3349368   5.26%   0.957%
 27  33.812  3056 3079 3116 VV 3   63702   5865848   5265683   8.26%   1.505%
 28  34.909  3116 3179 3292 VV 10   15158   5144835   3414568   5.36%   0.976%
 29  36.698  3292 3342 3405 PV 10    8235   3381711   2279702   3.58%   0.652%
 30  38.234  3405 3482 3505 VV 2  110746   9390531   8376595  13.14%   2.394%
 
 31  38.903  3505 3543 3582 VV 3   25903   5002043   4267381   6.70%   1.220%
 32  39.474  3582 3595 3652 VV 5   45634   5193552   4445364   6.97%   1.270%
 33  40.253  3652 3666 3692 VV 5    4604   1296721    861088   1.35%   0.246%
 34  42.655  3805 3885 3998 VV 2   18171  10497967   8508225  13.35%   2.432%
 35  44.740  4041 4075 4100 PV 2    5829   1789261   1193780   1.87%   0.341%
 
 36  45.366  4100 4132 4158 VV 2    8938   2136550   1546943   2.43%   0.442%
 37  45.903  4158 4181 4208 VV 2    9479   1471650    941772   1.48%   0.269%
 38  46.331  4208 4220 4291 VV 2    8180   3000031   2111750   3.31%   0.604%
 39  47.362  4291 4314 4376 PV 5   18861   3152534   2248549   3.53%   0.643%
 40  48.525  4376 4420 4481 VV 5    4834   2202020   1046373   1.64%   0.299%
 
 41  49.743  4481 4531 4554 PV 5    5873   2614615   1731417   2.72%   0.495%
 42  50.215  4554 4574 4597 VV 5   25105   2810977   2315945   3.63%   0.662%
 43  51.674  4597 4707 4733 VV 5    7074   4403582   2717602   4.26%   0.777%
 44  53.210  4733 4847 4890 VV 5   22440   9428519   7444876  11.68%   2.128%
 45  53.781  4890 4899 4930 VV 5   11112   3285414   2658881   4.17%   0.760%
 
 46  54.384  4930 4954 4973 VV 5   19670   5157464   4479069   7.03%   1.280%
 47  54.758  4973 4988 5027 VV 3   57246   9928673   8981925  14.09%   2.567%
 48  55.493  5027 5055 5097 VV 3   18761   7644101   6380875  10.01%   1.824%
 49  56.140  5097 5114 5137 VV 3   11013   2711805   2076576   3.26%   0.593%
 50  57.029  5137 5195 5250 VV 3   51465  20161321  18403192  28.87%   5.259%
 
 51  57.896  5250 5274 5350 VV 3   24332   9706251   7774488  12.20%   2.222%
 52  59.410  5350 5412 5446 VV 4   35337   6073828   4546162   7.13%   1.299%
