 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1   5.945   402  539  598 BV     13070   2298300   1311592   2.67%   0.845%
  2   6.790   598  616  662 VV 3    4309   1009709    713863   1.46%   0.460%
  3   7.865   662  714  775 VB 8    4635   2203057   1601658   3.27%   1.031%
  4  10.575   818  961 1114 BV    629934  50471983  49042476 100.00%  31.581%
  5  12.429  1114 1130 1254 VV 4   35892   7515202   6759863  13.78%   4.353%
 
  6  14.020  1254 1275 1417 VV 4   39120   6530764   5657805  11.54%   3.643%
  7  15.765  1417 1434 1517 VV 3   15446   2509565   2006567   4.09%   1.292%
  8  16.774  1517 1526 1571 VV 3    3713    946308    646197   1.32%   0.416%
  9  18.299  1571 1665 1747 VV 2   58823  11210631  10293189  20.99%   6.628%
 10  19.342  1747 1760 1820 VV 2    5275   1554875   1123559   2.29%   0.724%
 
 11  20.406  1820 1857 1880 VV 2    4554   1026783    707584   1.44%   0.456%
 12  20.768  1880 1890 1933 VV 2    4057    775009    467953   0.95%   0.301%
 13  21.514  1933 1958 1997 PV 5   59172   6875325   6534831  13.32%   4.208%
 14  22.151  1997 2016 2063 VV 5    5192   1384130    959189   1.96%   0.618%
 15  24.828  2236 2260 2296 PV 6   13331   2089259   1789216   3.65%   1.152%
 
 16  25.431  2296 2315 2363 VV 2   19013   2391035   2019513   4.12%   1.300%
 17  26.737  2412 2434 2500 VV 2   12791   2125025   1657841   3.38%   1.068%
 18  27.812  2500 2532 2566 VV 2   18821   2229501   1851385   3.78%   1.192%
 19  28.997  2566 2640 2689 VV 3   30505   4672305   4002888   8.16%   2.578%
 20  29.699  2689 2704 2869 VV 4   32144   6086004   4980742  10.16%   3.207%
 
 21  32.102  2869 2923 2946 PV 10    7736   1687608   1276522   2.60%   0.822%
 22  33.814  3012 3079 3155 VV 4   99749   9626272   8807518  17.96%   5.672%
 23  34.911  3155 3179 3233 VV 4    5714   1527949   1083361   2.21%   0.698%
 24  38.236  3462 3482 3505 VV 2   42650   3084499   2838250   5.79%   1.828%
 25  38.894  3505 3542 3571 VV 2    4916   1504488   1112393   2.27%   0.716%
 
 26  39.486  3571 3596 3692 VV 7   62879   6563365   5858184  11.95%   3.772%
 27  43.041  3805 3920 3998 BV 7    4208   2905371   1855228   3.78%   1.195%
 28  44.786  3998 4079 4104 PV 7    5958   1736644   1152029   2.35%   0.742%
 29  45.389  4104 4134 4163 PV 8   13121   1800890   1458612   2.97%   0.939%
 30  45.916  4163 4182 4208 VV 8    4244    760933    502712   1.03%   0.324%
 
 31  46.322  4208 4219 4238 VV 8    3711    525851    328749   0.67%   0.212%
 32  46.903  4238 4272 4293 VV 8    3528   1012702    681558   1.39%   0.439%
 33  47.375  4293 4315 4417 PB 5   10935   2304421   1557090   3.17%   1.003%
 34  49.767  4427 4533 4554 BV 5    6940   1958375   1135077   2.31%   0.731%
 35  50.228  4554 4575 4611 VV 5    7769   1055390    679586   1.39%   0.438%
 
 36  51.676  4654 4707 4737 PV 5   38341   4119927   3562911   7.26%   2.294%
 37  52.554  4737 4787 4804 VV 5    3498   1296126    858738   1.75%   0.553%
 38  53.223  4804 4848 4940 VV 5    6760   3992482   2987633   6.09%   1.924%
 39  54.759  4940 4988 5027 VV 6   16706   3282204   2660772   5.43%   1.713%
 40  55.527  5027 5058 5100 VV 3   18914   2483405   1933357   3.94%   1.245%
 
 41  56.493  5100 5146 5170 VV 3    6041   1812690   1313937   2.68%   0.846%
 42  57.360  5170 5225 5246 VV 3    6500   3048317   2439742   4.97%   1.571%
 43  57.930  5246 5277 5340 VV 3    6928   2805664   2098757   4.28%   1.351%
 44  58.786  5340 5355 5373 VV 2   12211   1337055   1077851   2.20%   0.694%
 45  59.422  5373 5413 5463 PBA5   14169   2612665   1905032   3.88%   1.227%
