 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1  10.575   948  961 1071 PV    158235  14951481  14409787 100.00%  32.267%
  2  12.429  1111 1130 1248 VB      4356   1746507   1177168   8.17%   2.636%
  3  18.310  1557 1666 1748 VV 3   14820   4198866   3290281  22.83%   7.368%
  4  29.030  2573 2643 2689 VV 8   10387   3116325   2597851  18.03%   5.817%
  5  29.721  2689 2706 2813 VB 8    3908   2132716   1499530  10.41%   3.358%
 
  6  33.879  2942 3085 3165 BV 8    7473   2385473   1268058   8.80%   2.839%
  7  38.301  3275 3488 3588 BV 4    9444   4627958   3142043  21.80%   7.036%
  8  39.574  3588 3604 3654 VV 4    5850   1240988    936420   6.50%   2.097%
  9  42.734  3758 3892 4008 BV 2   12443   6131857   4968570  34.48%  11.126%
 10  45.389  4051 4134 4241 VB 2    3772   2612708   1674657  11.62%   3.750%
 
 11  47.408  4278 4318 4407 BB 7    7648   1898187   1217070   8.45%   2.725%
 12  52.455  4747 4778 4806 PV 7    2979    968913    644432   4.47%   1.443%
 13  53.793  4806 4900 4933 VV 7    5345   3199933   2492338  17.30%   5.581%
 14  54.408  4933 4956 5027 VV 7    5092   2736967   2139618  14.85%   4.791%
 15  55.560  5027 5061 5107 VV 7    4391   1343807    826196   5.73%   1.850%
 
 16  57.129  5107 5204 5270 VV 7    4714   3035794   2080453  14.44%   4.659%
 17  57.919  5270 5276 5306 VV 7    2678    560749    293536   2.04%   0.657%
