 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1   5.934   478  538  602 BV     16908   3278924   2028382   4.14%   0.664%
  2   6.756   602  613  858 VB 10    4324   5589265   2964083   6.05%   0.971%
  3  10.575   943  961 1116 VV    496649  50752929  48970675 100.00%  16.042%
  4  12.451  1116 1132 1252 VV 2   23411   5851125   4345582   8.87%   1.424%
  5  14.031  1252 1276 1315 VV 4   40350   5214411   4493877   9.18%   1.472%
 
  6  14.689  1315 1336 1408 VV 4   10572   3165094   2111883   4.31%   0.692%
  7  15.764  1408 1434 1504 VV 5   12487   3208615   2141506   4.37%   0.702%
  8  16.763  1504 1525 1589 VV 5    5575   2026062   1022278   2.09%   0.335%
  9  18.321  1649 1667 1795 VV 3   43737  12887269  11193112  22.86%   3.667%
 10  20.428  1795 1859 1925 VV 2   30994   8516711   6944040  14.18%   2.275%
 
 11  21.536  1925 1960 2148 VV 5   62799  14962522  12308183  25.13%   4.032%
 12  25.025  2215 2278 2297 VV 7   13142   3141783   2224182   4.54%   0.729%
 13  25.442  2297 2316 2350 VV 2   24773   3373952   2738082   5.59%   0.897%
 14  26.144  2350 2380 2415 VV 2    7715   2708182   1953373   3.99%   0.640%
 15  26.747  2415 2435 2495 VV 4   59073   8573007   7572245  15.46%   2.480%
 
 16  27.834  2495 2534 2594 VV 4   16694   6150349   4938799  10.09%   1.618%
 17  28.997  2594 2640 2673 VV 6   36739   7402949   6442132  13.16%   2.110%
 18  30.610  2673 2787 2814 VV 3   67326  19787825  17889193  36.53%   5.860%
 19  31.422  2814 2861 2914 VV 3  108333  15483036  14140381  28.88%   4.632%
 20  32.958  2914 3001 3054 VV 3   94590  25729091  23865163  48.73%   7.818%
 
 21  33.770  3054 3075 3235 VV 7   89647  27007276  24675469  50.39%   8.083%
 22  35.744  3235 3255 3307 VV 7   12602   4562554   3608342   7.37%   1.182%
 23  36.414  3307 3316 3340 VV 6   13499   2295049   1855827   3.79%   0.608%
 24  38.268  3460 3485 3577 VV 4   36246  11164016   9656229  19.72%   3.163%
 25  39.497  3577 3597 3653 VV 4   37260   6532975   5481553  11.19%   1.796%
 
 26  40.265  3653 3667 3690 VV 4   28406   2920873   2466524   5.04%   0.808%
 27  40.890  3690 3724 3793 VV 4    6269   3777558   2513412   5.13%   0.823%
 28  42.843  3840 3902 4038 VV 4   13253   9491945   7101722  14.50%   2.326%
 29  44.731  4038 4074 4099 VV 10   16159   3036740   2302298   4.70%   0.754%
 30  45.411  4099 4136 4159 VV 5   18451   3333285   2583155   5.27%   0.846%
 
 31  45.916  4159 4182 4201 VV 4   32403   3705227   3172748   6.48%   1.039%
 32  46.332  4201 4220 4241 VV 5   41240   4161198   3647311   7.45%   1.195%
 33  46.793  4241 4262 4293 VV 5   28621   5187777   4545803   9.28%   1.489%
 34  47.605  4293 4336 4379 VV 7   20152   8693056   7579603  15.48%   2.483%
 35  48.384  4379 4407 4479 VV 2   61662   9501906   8128278  16.60%   2.663%
 
 36  49.306  4479 4491 4516 VV 2    6555   1482258    997524   2.04%   0.327%
 37  49.778  4516 4534 4552 VV 2    8491   1610679   1155099   2.36%   0.378%
 38  50.228  4552 4575 4766 VV 7   25919  11984018   9281121  18.95%   3.040%
 39  52.916  4766 4820 4919 VV 7   14586   8723693   6757017  13.80%   2.213%
 40  54.276  4919 4944 4971 VV 7   10845   2942290   2242538   4.58%   0.735%
 
 41  54.989  4971 5009 5099 VV 9   23200   7894216   6096018  12.45%   1.997%
 42  56.547  5099 5151 5170 VV 9    9961   3529510   2631060   5.37%   0.862%
 43  56.997  5170 5192 5258 VV 9   16523   5365483   4183593   8.54%   1.370%
 44  57.919  5258 5276 5306 VV 9    6118   1722443   1089400   2.22%   0.357%
 45  59.433  5337 5414 5444 VBA9    5073   2570802   1235497   2.52%   0.405%
