 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1   5.949   502  539  595 BV     11312   2663807   1318353   2.56%   0.376%
  2   6.772   595  614  663 VV 2   10650   2592931   1626798   3.16%   0.464%
  3   7.891   663  716  818 VV 2   30013   8725088   6434948  12.48%   1.834%
  4   9.197   818  835  851 VV 2    4522   1099860    605325   1.17%   0.173%
  5   9.723   851  883  901 VV 2    9564   2347592   1589272   3.08%   0.453%
 
  6  10.085   901  916  945 VV 8    7733   1823715   1154625   2.24%   0.329%
  7  10.601   945  963 1111 VV    468427  54038002  51555891 100.00%  14.693%
  8  12.433  1111 1130 1261 VV 2  218893  41586977  39268592  76.17%  11.191%
  9  14.046  1261 1277 1324 VV 2   59039   9858643   8757865  16.99%   2.496%
 10  14.716  1324 1338 1377 VV 7   20872   5368655   4406262   8.55%   1.256%
 
 11  15.286  1377 1390 1424 VV 7   12155   3341531   2542477   4.93%   0.725%
 12  15.791  1424 1436 1514 VV 7   13413   5926471   4453790   8.64%   1.269%
 13  17.919  1591 1630 1650 VV 2   23465   5362073   4380290   8.50%   1.248%
 14  18.304  1650 1665 1754 VV 2   86635  20753861  18988978  36.83%   5.412%
 15  19.379  1754 1763 1837 VV 2   18466   7053697   5482143  10.63%   1.562%
 
 16  20.794  1837 1892 1927 VV 2   15733   7103393   5555791  10.78%   1.583%
 17  21.540  1927 1960 2120 VV 2  235937  31974763  28774639  55.81%   8.201%
 18  23.449  2120 2134 2153 VV     39089   5224222   4642327   9.00%   1.323%
 19  23.855  2153 2171 2220 VV 6   49579   8301754   7109337  13.79%   2.026%
 20  24.492  2220 2229 2243 VV 6   11491   1854979   1444107   2.80%   0.412%
 
 21  24.887  2243 2265 2300 VV 9   22967   6246510   5278058  10.24%   1.504%
 22  25.457  2300 2317 2366 VV     69939   9297816   8098924  15.71%   2.308%
 23  26.763  2416 2436 2506 VV 4   50730   9551707   7987985  15.49%   2.277%
 24  27.838  2506 2534 2593 VV 4   21356   5960104   4528140   8.78%   1.290%
 25  29.045  2593 2644 2689 VV 3   41259  10011985   8427648  16.35%   2.402%
 
 26  29.714  2689 2705 2763 VV 6   17202   5330993   4018384   7.79%   1.145%
 27  30.482  2763 2775 2829 VV 6   10990   3485929   2329110   4.52%   0.664%
 28  32.128  2904 2925 3056 VV 5   20022   7350183   4863232   9.43%   1.386%
 29  33.851  3056 3082 3135 VV 5   39027   6634398   5411393  10.50%   1.542%
 30  34.937  3135 3181 3295 VV 4   23110   7427499   4864701   9.44%   1.386%
 
 31  37.186  3295 3386 3411 VV 4    8983   5499624   3685064   7.15%   1.050%
 32  38.284  3411 3486 3515 VV 3   52351   9250202   7562461  14.67%   2.155%
 33  38.942  3515 3546 3582 VV 3   15617   5533098   4286178   8.31%   1.222%
 34  39.523  3582 3599 3715 VV 9   45583  10856651   8497446  16.48%   2.422%
 35  40.950  3715 3729 3801 VV 9    5709   2773471   1394664   2.71%   0.397%
 
 36  42.771  3801 3895 3931 PV 9   11177   6047148   4034162   7.82%   1.150%
 37  43.353  3931 3948 4040 VV 9    8498   4793894   2891641   5.61%   0.824%
 38  45.404  4040 4135 4168 VV 9   15507   8191673   6131573  11.89%   1.747%
 39  45.942  4168 4184 4208 VV 8   24007   3178388   2516290   4.88%   0.717%
 40  46.359  4208 4222 4248 VV 7   28766   3541747   2848479   5.53%   0.812%
 
 41  46.820  4248 4264 4304 VV 7   15125   4876775   3916258   7.60%   1.116%
 42  47.401  4304 4317 4382 VV 4   25078   6472671   5115222   9.92%   1.458%
 43  48.279  4382 4397 4444 VV 4    7503   2689568   1636361   3.17%   0.466%
 44  49.354  4444 4495 4527 VV 4    5829   4044977   2667661   5.17%   0.760%
 45  50.265  4527 4578 4658 VV 10   15763   7881841   5632776  10.93%   1.605%
 
 46  51.713  4658 4710 4750 VV 10    6745   4079441   2520962   4.89%   0.718%
 47  52.646  4750 4795 4832 VV 10    9381   4930432   3497717   6.78%   0.997%
 48  53.238  4832 4849 4920 VV 10   11789   5632651   4069356   7.89%   1.160%
 49  54.796  4920 4991 5043 VV 10   19047   9560134   7310633  14.18%   2.083%
 50  55.553  5043 5060 5103 VV 6   16673   4501193   3335052   6.47%   0.950%
 
 51  56.980  5103 5190 5214 VV 6    9462   6319524   4375747   8.49%   1.247%
 52  57.430  5214 5231 5248 VV 6    7546   1934682   1338212   2.60%   0.381%
 53  57.912  5248 5275 5400 VV 6   11250   7340804   4635514   8.99%   1.321%
 54  59.449  5400 5415 5462 VBA6    5398   2098986   1084432   2.10%   0.309%
