 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1  10.530   695  957 1121 VV    607471  61611427  53451014  58.09%   7.385%
  2  18.276  1121 1663 1728 VV 4   26338  38606949  25868652  28.11%   3.574%
  3  19.362  1728 1762 1784 VV 7   23334   6661038   5420407   5.89%   0.749%
  4  21.513  1784 1958 1983 VV 9   55030  57481919  52403077  56.95%   7.240%
  5  24.332  1983 2215 2296 VV 6   57137 103892779  92011948 100.00%  12.713%
 
  6  25.419  2296 2314 2461 VV 6   12075  12075900   8112303   8.82%   1.121%
  7  28.996  2461 2640 2834 VV 6   18666  34430936  25882978  28.13%   3.576%
  8  32.748  2834 2982 3048 VV 6   29651  34253710  29078127  31.60%   4.018%
  9  34.602  3048 3151 3284 VV 6   40707  50923115  44048765  47.87%   6.086%
 10  36.852  3284 3356 3462 VV 3  122981  81341331  76502063  83.14%  10.570%
 
 11  38.179  3462 3477 3571 VV 3   19011   8598164   5498609   5.98%   0.760%
 12  42.019  3660 3827 3898 VV 5   83195  50928710  45051496  48.96%   6.225%
 13  43.149  3898 3930 3970 VV 5   33660  14690492  12444591  13.52%   1.719%
 14  44.027  3970 4010 4124 VV 5   32479  23866212  19523095  21.22%   2.697%
 15  45.596  4124 4153 4182 VV 5   16917   7123748   5534846   6.02%   0.765%
 
 16  46.386  4182 4225 4246 VV 5   21133   8885291   7067773   7.68%   0.977%
 17  47.001  4246 4281 4348 VV 2  221889  43386747  40430004  43.94%   5.586%
 18  48.120  4348 4383 4432 VV 2   32290  18408970  15627895  16.98%   2.159%
 19  49.634  4432 4521 4541 VV 9   76968  31338859  27735553  30.14%   3.832%
 20  50.128  4541 4566 4641 VV 6   87733  29861627  26254686  28.53%   3.628%
 
 21  51.115  4641 4656 4731 VV 3   25589  10481839   7897554   8.58%   1.091%
 22  52.157  4731 4751 4812 VV 4   16068   7354671   5135229   5.58%   0.710%
 23  53.079  4812 4835 4843 VV 4   14094   3221917   2348828   2.55%   0.325%
 24  54.429  4843 4958 5029 VV 4   86119  52739179  47477029  51.60%   6.560%
 25  55.438  5029 5050 5105 VV 2  152306  18173464  15426167  16.77%   2.131%
 
 26  57.216  5105 5212 5281 VV 2   43913  24688921  19930177  21.66%   2.754%
 27  58.477  5281 5327 5391 VV 2   18628   9091646   6006785   6.53%   0.830%
 28  59.388  5391 5410 5446 PBA2    8208   2984705   1594121   1.73%   0.220%
