 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1   5.944   339  539  594 BV     19557   3893222   2566832   3.57%   0.922%
  2   6.745   594  612  658 VV 2    5125   1111472    745867   1.04%   0.268%
  3   7.908   658  718  811 VV 5    8316   3741751   2811475   3.91%   1.010%
  4  10.596   811  963 1105 VV    733682  73420696  71859771 100.00%  25.823%
  5  12.429  1105 1130 1261 VV 3  150234  34141566  33011404  45.94%  11.863%
 
  6  14.020  1261 1275 1321 VV 4   46318   6940849   6421864   8.94%   2.308%
  7  14.678  1321 1335 1407 VV 5   20188   5643973   4925218   6.85%   1.770%
  8  15.764  1407 1434 1471 VV 10   14055   3212617   2720109   3.79%   0.977%
  9  16.357  1471 1488 1507 VV 10    7019   1562043   1268873   1.77%   0.456%
 10  16.774  1507 1526 1614 VV 10    8389   4368369   3585033   4.99%   1.288%
 
 11  17.882  1614 1627 1647 VV 2   29396   3516460   3270726   4.55%   1.175%
 12  18.299  1647 1665 1833 VV 3   92720  21403576  20043734  27.89%   7.203%
 13  20.449  1833 1861 1880 VV 3    8209   2414810   2043599   2.84%   0.734%
 14  20.778  1880 1891 1926 VV 3    9028   2048287   1686018   2.35%   0.606%
 15  21.525  1926 1959 2117 VV 3  173433  22782174  21339508  29.70%   7.668%
 
 16  23.412  2117 2131 2160 VV     48363   5211267   4905405   6.83%   1.763%
 17  23.851  2160 2171 2209 VV 4   31167   4086193   3690687   5.14%   1.326%
 18  24.838  2209 2261 2300 VV 8   27217   6469456   5754515   8.01%   2.068%
 19  25.442  2300 2316 2353 VV 4   41737   4757619   4298403   5.98%   1.545%
 20  26.736  2416 2434 2488 VV 4   13065   2266364   1724787   2.40%   0.620%
 
 21  27.812  2488 2532 2586 VV 4   15590   3126563   2468215   3.43%   0.887%
 22  29.018  2586 2642 2689 VV 4   38807   8081684   7347189  10.22%   2.640%
 23  29.699  2689 2704 2759 VV 3   30490   4793848   4154717   5.78%   1.493%
 24  30.445  2759 2772 2806 VV 3   12099   1770418   1428293   1.99%   0.513%
 25  31.180  2806 2839 2886 VV 3    4566   1660142   1104076   1.54%   0.397%
 
 26  32.102  2886 2923 2992 PV 5   14396   2934982   2145932   2.99%   0.771%
 27  34.910  3062 3179 3295 BV 6    8199  -2150099  -3779402  -5.26%  -1.358%
 28  36.710  3295 3343 3375 PV 6    6015   1918592   1369575   1.91%   0.492%
 29  37.193  3375 3387 3415 VV 6    4974   1022971    735232   1.02%   0.264%
 30  37.686  3415 3432 3448 VV 6    3917    904666    659023   0.92%   0.237%
 
 31  38.257  3448 3484 3515 VV     58635   8363221   7871617  10.95%   2.829%
 32  38.915  3515 3544 3582 VV 7   20197   5567143   4829731   6.72%   1.736%
 33  39.497  3582 3597 3648 VV 3   39946   4543135   4014578   5.59%   1.443%
 34  42.722  3704 3891 4011 VV 3    8347   7708370   5591494   7.78%   2.009%
 35  44.730  4011 4074 4099 PV 3    6612   2214802   1625468   2.26%   0.584%
 
 36  45.345  4099 4130 4171 VV 9   10441   2775565   2218618   3.09%   0.797%
 37  45.915  4171 4182 4208 VV 9    5348    921685    638031   0.89%   0.229%
 38  46.343  4208 4221 4298 VV 9    4718   2029146   1383035   1.92%   0.497%
 39  47.386  4298 4316 4379 PV 2   22780   3316642   2682510   3.73%   0.964%
 40  48.538  4379 4421 4444 VV 2    3748   1327204    802752   1.12%   0.288%
 
 41  49.777  4444 4534 4552 VV 2    6576   2822651   1995464   2.78%   0.717%
 42  50.238  4552 4576 4653 VV 9   12799   3323898   2530499   3.52%   0.909%
 43  51.709  4653 4710 4737 VV 9    6256   2230893   1493223   2.08%   0.537%
 44  53.223  4737 4848 4903 VV 9   12807   6821793   5359468   7.46%   1.926%
 45  54.770  4903 4989 5028 VV 3   25290   7486263   6237279   8.68%   2.241%
 
 46  55.549  5028 5060 5103 VV 5   14637   3763152   3009227   4.19%   1.081%
 47  56.525  5103 5149 5170 VV 5    5833   2477832   1907956   2.66%   0.686%
 48  56.953  5170 5188 5212 VV 5    9549   2111956   1700848   2.37%   0.611%
 49  57.436  5212 5232 5346 VV 5    9717   5633639   4280889   5.96%   1.538%
 50  59.433  5346 5414 5461 VBA5   15305   2845006   1797727   2.50%   0.646%
