 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1   5.921   458  537  578 PV 10    3240   3084145    589223   1.52%   0.564%
  2  10.551   811  959 1081 BV    572035  44428393  38671979 100.00%  37.025%
  3  18.298  1357 1665 1814 BV     19017  14418805   4401715  11.38%   4.214%
  4  21.545  1814 1961 2003 VV      5782   6201460   1958361   5.06%   1.875%
  5  24.299  2003 2212 2306 VV      2246   8899453   1992735   5.15%   1.908%
 
  6  25.462  2306 2318 2350 PV      4897   1669549    674468   1.74%   0.646%
  7  27.953  2350 2545 2586 VV      2540   8044490   2690056   6.96%   2.576%
  8  29.017  2586 2642 2743 VV      8149   6196973   2551092   6.60%   2.442%
  9  30.904  2743 2814 3007 VB      2449   7754227   1571829   4.06%   1.505%
 10  33.878  3046 3085 3135 BV      4035   2924656    765564   1.98%   0.733%
 
 11  38.278  3409 3486 3505 PV      5885   3549592   1223194   3.16%   1.171%
 12  38.662  3505 3521 3558 VV      4264   2610251   1296910   3.35%   1.242%
 13  39.550  3558 3602 3648 VV      9850   4828091   2665448   6.89%   2.552%
 14  41.898  3761 3816 3952 VB      4137   7742192   3053432   7.90%   2.923%
 15  45.958  4074 4186 4208 PV      4660   4745892   1548020   4.00%   1.482%
 
 16  47.319  4208 4310 4339 VV      7742   7538000   4262760  11.02%   4.081%
 17  49.776  4519 4534 4559 VV      4063   1832874    842226   2.18%   0.806%
 18  50.237  4559 4576 4687 VV      6378   5265089   2075300   5.37%   1.987%
 19  51.707  4687 4710 4771 VV      5452   3091718   1045223   2.70%   1.001%
 20  54.297  4890 4946 5092 VV 5   19672  21693426  16804813  43.45%  16.089%
 
 21  56.327  5092 5131 5171 VV 6   15347   5708670   3785570   9.79%   3.624%
 22  57.138  5171 5205 5369 VV 6   11967  12085707   7158016  18.51%   6.853%
 23  59.245  5369 5397 5444 PBA8   14968   4600380   2819813   7.29%   2.700%
