 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1   5.954   448  540  602 BV     59613   7825609   7108794   9.66%   2.115%
  2   6.744   602  612  658 VV     11211   1571295   1286933   1.75%   0.383%
  3   7.435   658  675  695 VV 2    5143    729770    557284   0.76%   0.166%
  4   7.830   695  711  801 VB 2    3779   1796653   1258992   1.71%   0.375%
  5  10.650   948  968 1128 PV   1133502  74352205  73556417 100.00%  21.884%
 
  6  12.559  1128 1142 1260 VV 6    8517   3225978   2489333   3.38%   0.741%
  7  14.117  1260 1284 1404 PV 6    5439   2491509   1797881   2.44%   0.535%
  8  15.774  1404 1435 1569 PB 3   65436   7472106   6686605   9.09%   1.989%
  9  18.308  1614 1666 1940 BV 2  134171  28549673  26785067  36.41%   7.969%
 10  21.578  1940 1964 2097 VV    843739  54783740  54018117  73.44%  16.071%
 
 11  24.859  2230 2263 2296 BV      3872   1226893    885533   1.20%   0.263%
 12  25.451  2296 2317 2363 VV 3  118404   8981194   8635932  11.74%   2.569%
 13  26.241  2363 2389 2413 VV 3    4208   1477609   1201962   1.63%   0.358%
 14  26.746  2413 2435 2503 VV 6   45744   5033405   4555960   6.19%   1.355%
 15  27.843  2503 2535 2596 VV 5   35391   4164365   3683484   5.01%   1.096%
 
 16  29.028  2596 2643 2682 VV 2   90774   9338439   8871516  12.06%   2.639%
 17  29.730  2682 2707 2753 VV 3   16593   2922787   2511523   3.41%   0.747%
 18  30.465  2753 2774 2822 VV 8   12072   2527003   2122267   2.89%   0.631%
 19  31.431  2822 2862 2889 VV 5   17467   2376389   2032859   2.76%   0.605%
 20  32.133  2889 2926 2946 VV 2  113636   9300395   8985421  12.22%   2.673%
 
 21  32.572  2946 2966 2992 VV 4   20532   3496338   3156898   4.29%   0.939%
 22  32.978  2992 3003 3059 VV 5   25301   3896415   3483179   4.74%   1.036%
 23  33.834  3059 3081 3132 VV 5  177114  16268643  15831347  21.52%   4.710%
 24  34.931  3132 3181 3238 VV 2   56594   8756725   8068762  10.97%   2.401%
 25  35.776  3238 3258 3300 VV 2    7884   2149115   1778442   2.42%   0.529%
 
 26  36.818  3300 3353 3379 VV 2   26726   4234484   3719280   5.06%   1.107%
 27  37.202  3379 3388 3405 VV 2   14021   1258078   1100065   1.50%   0.327%
 28  37.597  3405 3424 3465 VV 7   17193   2735835   2360576   3.21%   0.702%
 29  38.277  3465 3486 3508 VV 3   67721   5247715   4994124   6.79%   1.486%
 30  38.771  3508 3531 3558 VV 3    7205   2265565   1961122   2.67%   0.583%
 
 31  39.517  3558 3599 3653 VV 4  118274  13942891  13316584  18.10%   3.962%
 32  40.285  3653 3669 3697 VV 4   10014   2144513   1840428   2.50%   0.548%
 33  40.965  3697 3731 3841 VV 4   28181   6272402   5318510   7.23%   1.582%
 34  43.050  3841 3921 4032 VV 8   18040   9156444   8097695  11.01%   2.409%
 35  44.806  4032 4081 4104 VV 8   12793   2850773   2440642   3.32%   0.726%
 
 36  45.453  4104 4140 4171 PV 8    7941   2068907   1710019   2.32%   0.509%
 37  45.947  4171 4185 4208 VV 7   18380   2165928   1958291   2.66%   0.583%
 38  46.364  4208 4223 4244 VV 6   23412   2347620   2108405   2.87%   0.627%
 39  46.814  4244 4264 4301 VV 6   15578   2875654   2519429   3.43%   0.750%
 40  47.395  4301 4317 4443 VV 3   24351   5048511   4153512   5.65%   1.236%
 
 41  49.030  4443 4466 4497 VV 3   18088   2297732   1982999   2.70%   0.590%
 42  49.820  4497 4538 4557 VV 3   11053   1670942   1295557   1.76%   0.385%
 43  50.632  4557 4612 4664 VV 10    7265   2890063   2217066   3.01%   0.660%
 44  51.718  4664 4711 4774 VV 5   30304   4516589   3828276   5.20%   1.139%
 45  52.947  4774 4823 4860 VV 5    8704   2576859   2011710   2.73%   0.598%
 
 46  54.812  4860 4993 5050 VV 6   30405   8245888   6986801   9.50%   2.079%
 47  55.580  5050 5063 5097 VV 5    9916   1470294   1153564   1.57%   0.343%
 48  56.480  5097 5145 5200 PV 5    7691   4019133   3376681   4.59%   1.005%
 49  57.566  5200 5244 5316 VV 5   18850   5226256   4324873   5.88%   1.287%
