 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1   5.944   408  539  594 BV     20390   2819990   1883598   3.66%   0.811%
  2   6.767   594  614  634 VV 7    3491    618612    424753   0.83%   0.183%
  3   7.930   634  720  825 VV 2    7517   3585582   2667596   5.19%   1.149%
  4  10.618   905  965 1114 PV 2  418362  52413340  51403997 100.00%  22.132%
  5  12.450  1114 1132 1255 VV 3  154896  29693693  28952408  56.32%  12.465%
 
  6  14.041  1255 1277 1318 VV 3   28451   4375840   3975558   7.73%   1.712%
  7  14.710  1318 1338 1424 VV 6   16438   3687045   2946108   5.73%   1.268%
  8  15.786  1424 1436 1517 VB 3   19371   2668958   2142843   4.17%   0.923%
  9  17.903  1554 1629 1650 BV 2   36875   4275702   3650288   7.10%   1.572%
 10  18.320  1650 1667 1794 VV 2   69156  13293970  12311917  23.95%   5.301%
 
 11  20.778  1794 1891 1927 VV 2    7856   2700571   1885190   3.67%   0.812%
 12  21.546  1927 1961 2000 PV 2  119750  10875098  10464664  20.36%   4.505%
 13  22.149  2000 2016 2075 VV 6   12566   2336056   1792543   3.49%   0.772%
 14  23.433  2075 2133 2160 VV 2   70717   7856038   7374132  14.35%   3.175%
 15  23.861  2160 2172 2213 VV 4   25476   3433998   3079210   5.99%   1.326%
 
 16  24.871  2213 2264 2300 VV 8   24264   5073352   4576610   8.90%   1.970%
 17  25.452  2300 2317 2353 VV 3   29479   2867776   2548889   4.96%   1.097%
 18  26.747  2423 2435 2495 VV 10   18392   2106527   1699482   3.31%   0.732%
 19  27.833  2495 2534 2581 PV 10   27145   3437114   2996143   5.83%   1.290%
 20  29.029  2581 2643 2693 VV 3   35982   5547648   4943316   9.62%   2.128%
 
 21  29.720  2693 2706 2749 VV 4   20275   2655206   2294211   4.46%   0.988%
 22  30.466  2749 2774 2829 VV 4    7716   1729950   1313610   2.56%   0.566%
 23  31.190  2829 2840 2878 VV 4    5056   1023022    750394   1.46%   0.323%
 24  32.112  2878 2924 3026 PB 9   11077   2866077   2131823   4.15%   0.918%
 25  33.835  3029 3081 3129 BV 3  159354  12574542  12062502  23.47%   5.193%
 
 26  34.921  3129 3180 3289 VB 3   10603   2918699   2061188   4.01%   0.887%
 27  36.709  3289 3343 3402 BV 3    6035   2160067   1520164   2.96%   0.654%
 28  37.598  3402 3424 3458 VV 3    3416    975893    627956   1.22%   0.270%
 29  38.256  3458 3484 3508 VV 2   33579   2755620   2472375   4.81%   1.064%
 30  38.915  3508 3544 3582 VV 5   18413   3135949   2715821   5.28%   1.169%
 
 31  39.496  3582 3597 3644 VV 5   58060   5141487   4804712   9.35%   2.069%
 32  40.264  3644 3667 3712 VV 5    3622    993221    610630   1.19%   0.263%
 33  43.029  3828 3919 3998 BB 5    4555   3338414   2267950   4.41%   0.976%
 34  44.774  4028 4078 4101 BV 5    7150   1705618   1253879   2.44%   0.540%
 35  45.410  4101 4136 4158 PV 5    7263   1445906   1104607   2.15%   0.476%
 
 36  45.937  4158 4184 4202 PV 10   13395   1928180   1661904   3.23%   0.716%
 37  46.332  4202 4220 4294 VV 10   19092   4492204   3797020   7.39%   1.635%
 38  47.385  4294 4316 4381 VV 8   15106   3563808   3014155   5.86%   1.298%
 39  48.252  4381 4395 4444 VV 8    4564   1501114   1039279   2.02%   0.447%
 40  48.932  4444 4457 4481 VV 8    2903    687738    416647   0.81%   0.179%
 
 41  49.766  4481 4533 4554 VV 8    5882   1630054   1085980   2.11%   0.468%
 42  50.227  4554 4575 4612 VV 8    8656   1387099    956662   1.86%   0.412%
 43  51.697  4612 4709 4734 PV 8    6343   3291463   2372708   4.62%   1.022%
 44  52.849  4734 4814 4831 VV 8    9486   4165212   3344845   6.51%   1.440%
 45  53.233  4831 4849 4973 VV 8   12933   7996192   6612902  12.86%   2.847%
 
 46  54.769  4973 4989 5041 VV 8   16297   3476328   2863451   5.57%   1.233%
 47  56.525  5041 5149 5170 VV 8   15851   6323407   5033972   9.79%   2.167%
 48  57.490  5170 5237 5313 VV 8   15259  10078634   8526463  16.59%   3.671%
 49  58.533  5313 5332 5380 VV 8    4410   1760571   1047979   2.04%   0.451%
 50  59.432  5380 5414 5462 PBA8   10712   1584334    779762   1.52%   0.336%
