 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1  10.604   831  964 1101 BV    143674  15532440  14340534  56.53%   8.884%
  2  18.307  1208 1666 1694 BV 3   18493  12906309  10608799  41.82%   6.572%
  3  19.371  1694 1763 1800 VV 3   19547  10533909   9612883  37.89%   5.955%
  4  19.964  1800 1817 1854 VV 3   15148   5376311   4888811  19.27%   3.029%
  5  21.138  1854 1924 2029 VV 9   25354  23047033  21427455  84.46%  13.275%
 
  6  22.707  2029 2067 2240 VV 9   19901  13466224  11577344  45.64%   7.172%
  7  25.439  2296 2316 2420 BB 9    4119   1295378    499910   1.97%   0.310%
  8  28.489  2450 2594 2616 BV 9    4013   1905773   1016792   4.01%   0.630%
  9  29.004  2616 2641 2696 VV 9    8096   2643260   2149884   8.47%   1.332%
 10  29.740  2696 2708 2852 VB 9    5211   2554626   1603148   6.32%   0.993%
 
 11  33.854  2859 3083 3152 BV 9    9286   3271589   1720223   6.78%   1.066%
 12  35.884  3152 3268 3352 PV 4   20220  10538523   9475315  37.35%   5.870%
 13  36.948  3352 3365 3442 VV 4    7643   3071796   2463266   9.71%   1.526%
 14  38.879  3442 3541 3627 VV 4   61697  26466027  25368882 100.00%  15.717%
 15  40.382  3627 3678 3727 VV 4   14946   5297809   4726437  18.63%   2.928%
 
 16  42.654  3727 3885 3971 VV 5   11065   8127003   6831544  26.93%   4.232%
 17  44.288  3971 4034 4104 VV 5   13909   4917495   4169409  16.44%   2.583%
 18  45.342  4104 4130 4251 VB 5    8102   2836757   2040820   8.04%   1.264%
 19  47.372  4261 4315 4376 BV 2    9763   2351138   1665714   6.57%   1.032%
 20  49.774  4437 4534 4597 VV 2    7109   3958338   3092200  12.19%   1.916%
 
 21  50.740  4597 4622 4654 VV 2    3975   1416178   1046985   4.13%   0.649%
 22  52.836  4733 4813 4849 PV 2   10222   4011972   3354555  13.22%   2.078%
 23  53.604  4849 4883 4917 VV 2    9372   3059540   2614658  10.31%   1.620%
 24  54.383  4917 4954 4973 VV 2    7140   2371314   1995059   7.86%   1.236%
 25  54.789  4973 4991 5039 VV 2    6657   2813880   2322993   9.16%   1.439%
 
 26  55.535  5039 5059 5095 VV 2    9464   2308890   1922204   7.58%   1.191%
 27  56.522  5095 5149 5217 VV 2    5332   3955644   3118262  12.29%   1.932%
 28  57.532  5217 5241 5306 VV 2   12083   3415106   2779736  10.96%   1.722%
 29  59.704  5379 5439 5466 PBA2   14977   3517020   2981771  11.75%   1.847%
