 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1   5.890   435  534  591 BV     23272   5385146   2673223   5.45%   0.499%
  2   7.920   691  719  818 VV 2    6004   4514332   2270372   4.63%   0.424%
  3  10.564   818  960 1118 VV    522862  54241726  49005914 100.00%   9.156%
  4  12.451  1118 1132 1264 VV 3   33098   9136537   6427120  13.11%   1.201%
  5  14.031  1264 1276 1324 VV 2   60867   7546838   6433567  13.13%   1.202%
 
  6  14.690  1324 1336 1414 VV 9   12206   4374194   2653419   5.41%   0.496%
  7  15.776  1414 1435 1497 VV 6   15246   3678801   2180057   4.45%   0.407%
  8  16.785  1497 1527 1571 VV 6    4476   2426932   1065297   2.17%   0.199%
  9  18.321  1650 1667 1800 VV 3   84996  21171681  18417088  37.58%   3.441%
 10  19.923  1800 1813 1840 VV 4   19227   3201311   2400955   4.90%   0.449%
 
 11  20.439  1840 1860 1940 VV 3   48022   9627959   7655257  15.62%   1.430%
 12  21.536  1940 1960 2150 VV 2  236781  28642243  24572140  50.14%   4.591%
 13  25.036  2150 2279 2300 VV 2    9553   5699711   2918781   5.96%   0.545%
 14  25.464  2300 2318 2346 VV 3   47123   5013925   4122362   8.41%   0.770%
 15  26.133  2346 2379 2415 VV 5   17371   4737341   3444153   7.03%   0.644%
 
 16  26.781  2415 2438 2491 VV 6   28569   6478242   4959943  10.12%   0.927%
 17  27.845  2491 2535 2603 VV 6   19251   8276792   6110399  12.47%   1.142%
 18  29.019  2603 2642 2676 VV 5   59365  10776837   9334530  19.05%   1.744%
 19  29.721  2676 2706 2753 VV 6   36540   9908329   8257188  16.85%   1.543%
 20  30.654  2753 2791 2813 VV 3  146862  20121533  18764587  38.29%   3.506%
 
 21  31.433  2813 2862 2912 VV 3  197966  26440211  24328428  49.64%   4.546%
 22  32.574  2912 2966 2989 VV 3  190992  29060137  27403114  55.92%   5.120%
 23  32.980  2989 3003 3059 VV 2  229576  24903870  23299897  47.55%   4.353%
 24  33.781  3059 3076 3107 VV 2  202048  26648321  25532055  52.10%   4.770%
 25  34.461  3107 3138 3154 VV 7   42572  11141257   9948236  20.30%   1.859%
 
 26  34.955  3154 3183 3242 VV 9   59526  19917150  17847318  36.42%   3.335%
 27  35.789  3242 3259 3279 VV 5   38556   6691791   5833561  11.90%   1.090%
 28  36.436  3279 3318 3409 VV 2   37364  16882463  13943556  28.45%   2.605%
 29  37.588  3409 3423 3465 VV 2   22261   5825333   4554799   9.29%   0.851%
 30  38.290  3465 3487 3510 VV 2   74878  10412550   9441797  19.27%   1.764%
 
 31  38.773  3510 3531 3582 VV 2   34958  12105998  10333479  21.09%   1.931%
 32  39.541  3582 3601 3640 VV 5   56775  11321661   9968567  20.34%   1.863%
 33  40.287  3640 3669 3692 VV 3   39383   6492310   5290258  10.80%   0.988%
 34  40.792  3692 3715 3755 VV 3   21040   6773195   5419904  11.06%   1.013%
 35  41.308  3755 3762 3848 VV 3   18225   7473054   5318664  10.85%   0.994%
 
 36  42.449  3848 3866 3888 VV 6   25690   5223292   4378618   8.93%   0.818%
 37  42.877  3888 3905 4038 VV 7   47182  18536634  15030075  30.67%   2.808%
 38  44.753  4038 4076 4101 VV 3   48000   7578940   6288768  12.83%   1.175%
 39  45.444  4101 4139 4160 VV 2   44113   7513166   6236186  12.73%   1.165%
 40  45.949  4160 4185 4208 VV 4  136583  12743125  11727814  23.93%   2.191%
 
 41  46.377  4208 4224 4244 VV 3  162407  14281172  13404693  27.35%   2.505%
 42  46.827  4244 4265 4301 VV 4  105676  18180391  16929394  34.55%   3.163%
 43  47.430  4301 4320 4337 VV 5   53134   7471483   6634923  13.54%   1.240%
 44  47.781  4337 4352 4384 VV 4   50361   9013817   7918077  16.16%   1.479%
 45  48.275  4384 4397 4441 VV 8   22225   6168490   4884014   9.97%   0.913%
 
 46  48.944  4441 4458 4481 VV 7   23818   3800019   2900039   5.92%   0.542%
 47  49.339  4481 4494 4551 VV 7   14792   5379269   3885991   7.93%   0.726%
 48  50.261  4551 4578 4614 VV 4   46419   7476571   6110579  12.47%   1.142%
 49  50.831  4614 4630 4658 VV 4   12239   3830392   2809640   5.73%   0.525%
 50  51.720  4658 4711 4740 VV 4   16353   6340384   4473699   9.13%   0.836%
 
 51  52.949  4740 4823 4888 VV 4   21830  13549845  10269257  20.96%   1.919%
 52  53.827  4888 4903 4924 VV 9   21237   3623029   2788547   5.69%   0.521%
 53  54.309  4924 4947 4977 VV 9   22194   4756972   3566548   7.28%   0.666%
 54  54.803  4977 4992 5040 VV 9   47745   7798641   6428609  13.12%   1.201%
 55  55.560  5040 5061 5107 VV 8   14481   3803036   2393492   4.88%   0.447%
 
 56  56.241  5107 5123 5140 VV 8    7975   1886705   1211481   2.47%   0.226%
 57  56.625  5140 5158 5173 VV 8   17023   2460909   1727577   3.53%   0.323%
 58  57.118  5173 5203 5253 VV 8   28728   9524527   7785148  15.89%   1.455%
 59  57.941  5253 5278 5340 VV 8   15346   4791271   2899896   5.92%   0.542%
 60  58.830  5340 5359 5403 PV 8    4422   1655896    394089   0.80%   0.074%
