 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1   5.942   458  539  594 BV 8    5425   2959284    670092   1.32%   0.441%
  2  10.572   815  961 1118 BV    656670  55927097  50609373 100.00%  33.296%
  3  12.591  1118 1145 1169 VV      2917   1635321    702152   1.39%   0.462%
  4  14.072  1169 1280 1350 VB      3678   5275937   2013444   3.98%   1.325%
  5  18.319  1471 1667 1777 VV 4   23829  11721026   6167353  12.19%   4.058%
 
  6  19.899  1777 1811 1928 VV 4    3216   4701852   1837532   3.63%   1.209%
  7  21.555  1928 1962 2090 VB 4    8439   4684610   1748661   3.46%   1.150%
  8  25.461  2293 2318 2350 PV 4    5311   1639862    582235   1.15%   0.383%
  9  29.027  2572 2643 2699 VV 4   10453   4962755   2508964   4.96%   1.651%
 10  29.751  2699 2709 2766 VV 4    4014   2243441    932252   1.84%   0.613%
 
 11  33.921  2999 3089 3139 PV 4    8977   4431493   1731118   3.42%   1.139%
 12  34.919  3139 3180 3222 VB 4    2702   2324104    670459   1.32%   0.441%
 13  38.266  3462 3485 3562 VV     63794   7198985   5177128  10.23%   3.406%
 14  39.253  3562 3575 3651 PB      7095   3469877   1778806   3.51%   1.170%
 15  41.382  3708 3769 3798 BV 9    8637   5024201   3312363   6.54%   2.179%
 
 16  42.380  3798 3860 3995 VV 9   11576  14414887  10223625  20.20%   6.726%
 17  44.322  3995 4037 4058 VV 9    7425   4098095   2795221   5.52%   1.839%
 18  44.717  4058 4073 4108 VV 9   11947   3678819   2641898   5.22%   1.738%
 19  45.891  4108 4180 4208 VV 9    7992   6479156   4328936   8.55%   2.848%
 20  46.363  4208 4223 4251 VV 9    7930   2825660   1914358   3.78%   1.259%
 
 21  47.350  4251 4313 4341 VV 4   13165   6431224   4543523   8.98%   2.989%
 22  48.327  4341 4402 4457 VV 4    6481   6196031   3891277   7.69%   2.560%
 23  49.095  4457 4472 4601 VV 4    6904   8521134   5598303  11.06%   3.683%
 24  54.449  4700 4960 5100 VV 3   28761  31536095  23869663  47.16%  15.704%
 25  57.247  5100 5215 5280 VV 3   10413  11075029   7405443  14.63%   4.872%
 
 26  58.487  5280 5328 5446 VB 3    7198   7687510   4342628   8.58%   2.857%
