 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1  20.101  1733 1829 2037 BB     95515  12395075  12334325 100.00%  48.461%
  2  26.236  2344 2388 2490 BV 3   21910   4494495   4404779  35.71%  17.306%
  3  29.813  2687 2714 2770 BV 5    9183    990261    961521   7.80%   3.778%
  4  33.764  3047 3074 3167 BV 4   12474   1880815   1835793  14.88%   7.213%
  5  36.299  3277 3305 3330 BV 2    8030    949633    935221   7.58%   3.674%
 
  6  36.870  3330 3357 3464 VB 3    8873   1662473   1589683  12.89%   6.246%
  7  44.486  4004 4051 4084 PV 5    3368    612816    589020   4.78%   2.314%
  8  45.177  4084 4114 4164 VV 8    4244    724182    683574   5.54%   2.686%
  9  45.868  4164 4177 4208 VV 8    2994    381546    356210   2.89%   1.400%
 10  49.918  4418 4546 4648 BB 3    5937   1097730   1038560   8.42%   4.080%
 
 11  58.664  5215 5343 5368 BV 9    4241    861443    723288   5.86%   2.842%
