 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1   5.953   375  540  602 BV     50043   9889191   4974293   6.46%   0.828%
  2   6.787   602  616  658 VV 7    5819   2606636   1327233   1.72%   0.221%
  3   7.939   658  721  818 VV 9    5901   7391143   3816395   4.96%   0.635%
  4   9.201   818  836  901 VV 9    3908   2776697    934955   1.21%   0.156%
  5  10.111   901  919  940 VV 8    4271   1481033    606089   0.79%   0.101%
 
  6  10.605   940  964 1121 VV    969428  81052435  76991912 100.00%  12.812%
  7  12.536  1121 1140 1218 VV      6840   4929202   2643901   3.43%   0.440%
  8  13.480  1218 1226 1254 VV      4326   1414763    587094   0.76%   0.098%
  9  14.072  1254 1280 1321 VV 8   12840   3562432   2039627   2.65%   0.339%
 10  14.698  1321 1337 1416 VV 4   14959   4480028   2272138   2.95%   0.378%
 
 11  15.795  1416 1437 1514 VV 4   10390   3892534   1656171   2.15%   0.276%
 12  16.793  1514 1528 1600 PV 3   14265   3732810   1763024   2.29%   0.293%
 13  18.318  1647 1667 1800 VV 2  157255  33270161  29769879  38.67%   4.954%
 14  19.920  1800 1813 1844 VV 4   20530   4353811   3255546   4.23%   0.542%
 15  20.447  1844 1861 1937 VV 3   46990  10805598   8451491  10.98%   1.406%
 
 16  21.544  1937 1961 2006 VV 2  527578  43397397  41666912  54.12%   6.934%
 17  22.268  2006 2027 2140 VV 4   26053  10963258   7408123   9.62%   1.233%
 18  25.033  2243 2279 2300 VV 4   15457   4194234   2865679   3.72%   0.477%
 19  25.461  2300 2318 2356 VV 2   65477   7665524   6295327   8.18%   1.048%
 20  26.109  2356 2377 2420 VV 2    9911   4704696   3126632   4.06%   0.520%
 
 21  26.756  2420 2436 2496 VV 7   59384  10474624   8573260  11.14%   1.427%
 22  27.831  2496 2534 2596 VV 7   32938   9870101   7416201   9.63%   1.234%
 23  29.016  2596 2642 2689 VV 4   85405  17646723  15298876  19.87%   2.546%
 24  30.048  2689 2736 2756 VV 4   33627  10399654   8514687  11.06%   1.417%
 25  30.651  2756 2791 2813 VV 3  140990  18424531  16914870  21.97%   2.815%
 
 26  31.419  2813 2861 2896 VV 4  219110  27612356  25377981  32.96%   4.223%
 27  32.560  2896 2965 2989 VV 2  183043  34393009  31829814  41.34%   5.297%
 28  32.966  2989 3002 3059 VV 2  202224  23504308  21606657  28.06%   3.596%
 29  33.778  3059 3076 3105 VV 4  169051  24054379  22746811  29.54%   3.785%
 30  34.941  3105 3182 3239 VV 10   58550  29028971  25175608  32.70%   4.190%
 
 31  35.764  3239 3257 3279 VV 6   28329   6016879   4902697   6.37%   0.816%
 32  36.433  3279 3318 3405 VV 5   27233  16198817  12829749  16.66%   2.135%
 33  37.596  3405 3424 3460 VV 2   27670   6617172   5144620   6.68%   0.856%
 34  38.277  3460 3486 3512 VV 2  111275  13376452  11990199  15.57%   1.995%
 35  38.792  3512 3533 3577 VV 2   22827   9646040   7717002  10.02%   1.284%
 
 36  39.505  3577 3598 3639 VV 4  149781  15598487  13908234  18.06%   2.314%
 37  40.273  3639 3668 3689 VV 3   22185   4724755   3392379   4.41%   0.565%
 38  40.943  3689 3729 3751 VV 3   18019   5853208   4257102   5.53%   0.708%
 39  41.283  3751 3760 3788 VV 3   14716   3461241   2452768   3.19%   0.408%
 40  41.908  3788 3817 3845 VV 3   10719   4309877   2831018   3.68%   0.471%
 
 41  42.841  3845 3902 4040 VV 9   28962  22106709  17161872  22.29%   2.856%
 42  44.750  4040 4076 4122 VV 9   30075   9601656   7460036   9.69%   1.241%
 43  45.430  4122 4138 4160 VV 3   23965   3978492   2978779   3.87%   0.496%
 44  46.352  4160 4222 4244 VV 6   75397  15325354  13091964  17.00%   2.179%
 45  46.802  4244 4263 4296 VV 5   41556   9574746   8238372  10.70%   1.371%
 
 46  47.405  4296 4318 4341 VV 3   53789   7712711   6505773   8.45%   1.083%
 47  47.789  4341 4353 4444 VV 3   20159  11867726   8872912  11.52%   1.477%
 48  48.952  4444 4459 4511 VV 3   10942   5870352   4076682   5.29%   0.678%
 49  49.786  4511 4535 4556 VV 3   18223   4382385   3155305   4.10%   0.525%
 50  50.247  4556 4577 4594 VV 6   22480   3924306   2934235   3.81%   0.488%
 
 51  50.752  4594 4623 4664 VV 6   10987   5847602   3922751   5.10%   0.653%
 52  51.695  4664 4709 4739 VV 3   82296  11710865   9647601  12.53%   1.605%
 53  52.211  4739 4756 4802 VV 3    8684   4871601   3186846   4.14%   0.530%
 54  52.924  4802 4821 4854 VV 3   14172   4863399   3508771   4.56%   0.584%
 55  55.053  4854 5015 5043 VV 3   40782  36829958  31598516  41.04%   5.258%
 
 56  55.535  5043 5059 5170 VV 7   44348  17038729  12638576  16.42%   2.103%
 57  56.940  5170 5187 5214 VV 7   10584   3249772   2085128   2.71%   0.347%
 58  57.445  5214 5233 5306 VV 7    8426   5428688   2926005   3.80%   0.487%
 59  58.794  5306 5356 5383 PV 7    3925   2993939   1065595   1.38%   0.177%
 60  59.452  5383 5416 5462 VBA7    4825   2568967    529464   0.69%   0.088%
