 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1  10.574   932  961  997 BV    361366  24344712  22327254  46.40%  10.504%
  2  18.298  1650 1665 1682 PV 3   21857   2400873   1565711   3.25%   0.737%
  3  19.648  1743 1788 1817 VV 4   58497  11054511   8609323  17.89%   4.050%
  4  19.988  1817 1819 1832 VV 4   16394   1812162   1197186   2.49%   0.563%
  5  20.185  1832 1837 1839 VV 6   10040    812896    475985   0.99%   0.224%
 
  6  20.240  1839 1842 1865 VV 6    9872   1978179    919308   1.91%   0.432%
  7  32.068  2889 2920 2934 BV 6   30696   4406664   3186702   6.62%   1.499%
  8  32.265  2934 2938 2948 VV 6   12418   1171291    671585   1.40%   0.316%
  9  36.325  3272 3308 3331 BV 3  114489  16564220  14596835  30.33%   6.867%
 10  36.610  3331 3334 3353 VB 3   39507   4675723   3045753   6.33%   1.433%
 
 11  42.008  3766 3826 3844 PV 4   91680  20972629  18927029  39.33%   8.904%
 12  42.272  3844 3850 3880 VV 6   65913  12402559  10605556  22.04%   4.989%
 13  42.612  3880 3881 3906 VV 5   26752   2846148   1790241   3.72%   0.842%
 14  43.994  3972 4007 4031 BV 5   17452   3734133   2149390   4.47%   1.011%
 15  47.034  4248 4284 4325 PV 3  248500  50104589  48118878 100.00%  22.637%
 
 16  49.667  4467 4524 4553 VV 3   51334  12234206   9877105  20.53%   4.647%
 17  50.194  4553 4572 4587 VV     97016  12408122  11322212  23.53%   5.326%
 18  50.468  4587 4597 4618 VV 2   59610   8762071   7534345  15.66%   3.544%
 19  51.159  4648 4660 4695 PB     27944   4130484   2828506   5.88%   1.331%
 20  54.341  4908 4950 4965 VV 10   33876   8095134   6431051  13.36%   3.025%
 
 21  54.648  4965 4978 5008 VV 9   32611   6275671   4818054  10.01%   2.267%
 22  55.504  5021 5056 5087 BV 2  259344  22170846  20313620  42.22%   9.556%
 23  57.238  5200 5214 5227 BV     32407   3030847   2274590   4.73%   1.070%
 24  57.775  5247 5263 5296 VV 2   65735   8569534   7090560  14.74%   3.336%
 25  58.543  5312 5333 5346 BV 2   24384   2788830   1889265   3.93%   0.889%
