 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1   5.865   478  532  567 BV     15148   2112093   1633742   1.76%   0.354%
  2   7.829   567  711  814 VV 5   20048   8963973   7542484   8.13%   1.633%
  3   9.146   814  831  848 VV 9    5600    923494    710894   0.77%   0.154%
  4   9.661   848  878  895 VV 9    6802   1440461   1124362   1.21%   0.243%
  5  10.045   895  913  933 VV 7    4896   1259790   1023771   1.10%   0.222%
 
  6  10.561   933  960 1104 VV 2  550313  93736046  92721533 100.00%  20.074%
  7  12.360  1104 1124 1254 VV 3  412750  82942521  81824732  88.25%  17.715%
  8  13.984  1254 1272 1317 VV 8   36192   9372044   8623192   9.30%   1.867%
  9  14.676  1317 1335 1421 VV 7   30741  12611328  11513887  12.42%   2.493%
 10  15.740  1421 1432 1469 VV 4   24826   5210049   4757976   5.13%   1.030%
 
 11  16.343  1469 1487 1507 VV 4   13737   3219792   2877166   3.10%   0.623%
 12  16.782  1507 1527 1597 VV 4   14663   7587140   6808961   7.34%   1.474%
 13  17.846  1597 1624 1647 VV 3   65388   9425943   8987583   9.69%   1.946%
 14  18.263  1647 1662 1840 VV 3  166501  38195786  35969681  38.79%   7.787%
 15  20.754  1840 1889 1937 VV 7   22495   8577381   7743954   8.35%   1.677%
 
 16  21.511  1937 1958 2068 VV 2  475417  44545871  43396572  46.80%   9.395%
 17  23.387  2068 2129 2153 VV    132440  18952851  18214314  19.64%   3.943%
 18  23.815  2153 2168 2210 VV 4  184450  19617979  18841939  20.32%   4.079%
 19  24.858  2210 2263 2300 VV 9   35529  11949400  11131744  12.01%   2.410%
 20  25.417  2300 2314 2350 VV 2  110054   9713721   9239429   9.96%   2.000%
 
 21  26.097  2350 2376 2411 VV 2    8420   2814192   2366277   2.55%   0.512%
 22  26.723  2411 2433 2493 VV 10   29902   4843028   4276479   4.61%   0.926%
 23  27.809  2493 2532 2569 VV 9   23387   4154044   3653352   3.94%   0.791%
 24  29.005  2569 2641 2689 VV 3   64138   9602779   8820416   9.51%   1.910%
 25  29.685  2689 2703 2759 VV 4   23586   3800637   3305989   3.57%   0.716%
 
 26  30.464  2759 2774 2806 VV 4   14122   1946154   1631203   1.76%   0.353%
 27  31.166  2806 2838 2876 VV 4    5560   1991420   1496737   1.61%   0.324%
 28  32.099  2876 2923 2986 VV 2   42861   5973216   5288167   5.70%   1.145%
 29  32.922  2986 2998 3059 VV 2    7432   1853360   1361330   1.47%   0.295%
 30  33.822  3059 3080 3132 VV 4   44977   5009527   4535751   4.89%   0.982%
 
 31  34.886  3132 3177 3277 VV 5   38936   7415995   6463143   6.97%   1.399%
 32  36.960  3277 3366 3404 VV 5   14754   3838975   3013499   3.25%   0.652%
 33  38.243  3448 3483 3505 VV 3   55064   4323448   3965244   4.28%   0.858%
 34  38.913  3505 3544 3582 VV 7   12275   2886700   2373717   2.56%   0.514%
 35  39.483  3582 3596 3638 VV 7   43757   4212814   3811127   4.11%   0.825%
 
 36  40.932  3702 3728 3831 PV 7    5725   2113333   1312567   1.42%   0.284%
 37  43.356  3831 3949 4031 VV 10   11030   5317448   4015005   4.33%   0.869%
 38  44.728  4031 4074 4101 VV 10    4738   1514179   1040832   1.12%   0.225%
 39  45.375  4101 4133 4168 VV 10    6697   1682445   1240691   1.34%   0.269%
 40  45.935  4168 4184 4208 PV 10    6748   1298175   1051338   1.13%   0.228%
 
 41  46.330  4208 4220 4248 VV 10    7120   1125046    845106   0.91%   0.183%
 42  46.791  4248 4262 4301 VV 10    5175   1393738   1027200   1.11%   0.222%
 43  47.361  4301 4314 4384 VV 5   17453   2731236   2173071   2.34%   0.470%
 44  50.236  4551 4576 4657 VV 5    7853   2829284   2070606   2.23%   0.448%
 45  51.399  4657 4682 4747 VV 5    6719   2531778   1867408   2.01%   0.404%
 
 46  53.231  4747 4849 4930 VV 5    6762   5330682   3982459   4.30%   0.862%
 47  54.789  4930 4991 5027 VV 5    9609   3043616   2271011   2.45%   0.492%
 48  55.535  5027 5059 5100 VV 5    7825   1963360   1423501   1.54%   0.308%
 49  56.523  5100 5149 5167 VV 5    4155   1544651   1067338   1.15%   0.231%
 50  57.488  5167 5237 5252 VV 5    8184   2627134   1977005   2.13%   0.428%
 
 51  57.916  5252 5276 5346 VV 6   18534   4236612   3481412   3.75%   0.754%
