 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1   5.974   388  542  602 BV      9485   1894375   1095996   2.24%   0.577%
  2   6.874   602  624  668 PV 4   12258   1801405   1575739   3.22%   0.829%
  3   7.949   668  722  787 VV 6    6156   2485773   2079051   4.24%   1.094%
  4   9.255   818  841  906 VV 3    6919   1341470   1059413   2.16%   0.558%
  5  10.637   906  967 1108 VV    526292  49776406  48982446 100.00%  25.779%
 
  6  12.481  1108 1135 1268 VV 4  220979  37019180  36339696  74.19%  19.125%
  7  14.094  1268 1282 1331 VV 7   24902   4495160   4123565   8.42%   2.170%
  8  14.752  1331 1342 1427 VV 7    8638   3601716   3040561   6.21%   1.600%
  9  18.362  1519 1671 1847 VV 2   77895  21499505  19994447  40.82%  10.523%
 10  20.479  1847 1864 1940 VV 2    5044   2849022   2310899   4.72%   1.216%
 
 11  21.577  1940 1964 2127 VV 2  110131  12481043  11675674  23.84%   6.145%
 12  23.519  2127 2141 2155 VV     10699   1336123   1208405   2.47%   0.636%
 13  23.892  2155 2175 2250 VV 5   53258   7027982   6526463  13.32%   3.435%
 14  25.494  2299 2321 2426 VB 2   44603   4789237   4155281   8.48%   2.187%
 15  29.070  2603 2647 2759 PV 4   31674   7176125   6510333  13.29%   3.426%
 
 16  30.508  2759 2778 2815 VV 4    5255   1233569    981248   2.00%   0.516%
 17  32.143  2815 2927 2992 VV 10   12102   3054947   2284088   4.66%   1.202%
 18  33.887  3049 3086 3135 BV 10    8927   1763845   1382170   2.82%   0.727%
 19  34.940  3135 3182 3295 VB 6   14263   3130631   2438941   4.98%   1.284%
 20  37.201  3299 3388 3410 BV 6    4680   1561207   1161865   2.37%   0.611%
 
 21  38.276  3410 3486 3520 PV 2  106867   8653376   8208637  16.76%   4.320%
 22  38.945  3520 3547 3645 VV 2    8701   5246210   4553134   9.30%   2.396%
 23  42.742  3805 3893 4002 VV 2    6827   4671027   3762904   7.68%   1.980%
 24  45.463  4104 4141 4169 VV 2    3431   1250607    992832   2.03%   0.523%
 25  47.405  4296 4318 4383 VV 2   14629   2362411   2023213   4.13%   1.065%
 
 26  49.007  4383 4464 4485 VV 2    4051   1708949   1291101   2.64%   0.680%
 27  49.599  4485 4518 4557 VV 2    4125   1494781   1193621   2.44%   0.628%
 28  50.268  4557 4579 4650 VV 2    4651   1836594   1452784   2.97%   0.765%
 29  51.355  4650 4678 4747 PV 2    3217   1490169   1059279   2.16%   0.557%
 30  53.242  4747 4850 4926 VV 2    3887   3051026   2287998   4.67%   1.204%
 
 31  54.811  4926 4993 5038 VV 2    4451   1976779   1452277   2.96%   0.764%
 32  55.568  5038 5062 5167 VV 7    7442   2005583   1401803   2.86%   0.738%
 33  58.004  5167 5284 5319 VV 7    3541   2121318   1401272   2.86%   0.737%
