 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1   5.923   402  537  588 BV      8972   1460075    636102   1.44%   0.281%
  2   7.843   588  712  851 PV 5   13007   5915629   4777222  10.81%   2.112%
  3  10.542   905  958 1104 VV    457838  45096883  44195248 100.00%  19.536%
  4  12.364  1104 1124 1250 VV 2  221870  37397705  36597372  82.81%  16.177%
  5  13.977  1250 1271 1317 VV 10   16405   4320819   3857008   8.73%   1.705%
 
  6  14.635  1317 1331 1404 VV 10   14939   4519770   3987094   9.02%   1.762%
  7  15.732  1404 1431 1504 VV 10   10853   4069794   3499720   7.92%   1.547%
  8  16.709  1504 1520 1597 VV 8    9305   3274965   2748696   6.22%   1.215%
  9  18.234  1597 1659 1744 VV 3   69839  16348626  15598840  35.30%   6.895%
 10  19.276  1744 1754 1784 VV 10   11249   2478318   2168211   4.91%   0.958%
 
 11  19.858  1784 1807 1837 VV 5   19217   4111189   3718051   8.41%   1.644%
 12  20.373  1837 1854 1927 VV 4   32344   8483888   7869914  17.81%   3.479%
 13  21.449  1927 1952 2110 VV 3  112982  18620903  17464491  39.52%   7.720%
 14  23.358  2110 2126 2147 VV 3   20934   3062556   2814648   6.37%   1.244%
 15  23.753  2147 2162 2203 VV 4   47313   6180303   5797258  13.12%   2.563%
 
 16  24.762  2203 2254 2288 VV 4   12451   4478260   3895402   8.81%   1.722%
 17  25.366  2288 2309 2343 VV 4   34106   4679790   4376631   9.90%   1.935%
 18  25.936  2343 2361 2446 VV 2   22614   7583932   6919701  15.66%   3.059%
 19  26.978  2446 2456 2499 VV 6    9522   1609807   1294801   2.93%   0.572%
 20  27.889  2499 2539 2586 PV 7   21865   4050065   3614402   8.18%   1.598%
 
 21  28.932  2586 2634 2676 VV 2   28157   5423665   4897649  11.08%   2.165%
 22  29.579  2676 2693 2743 VV 2   11340   2802571   2332778   5.28%   1.031%
 23  30.347  2743 2763 2862 VB 2    5724   1994010   1302255   2.95%   0.576%
 24  32.004  2872 2914 2976 BV 10    8365   2177089   1591682   3.60%   0.704%
 25  33.737  3046 3072 3122 PV 7   20094   3216519   2839432   6.42%   1.255%
 
 26  34.813  3122 3170 3289 VV 7   14702   4481966   3537049   8.00%   1.564%
 27  36.875  3289 3358 3425 PV 7    5522   2741581   2072214   4.69%   0.916%
 28  38.170  3425 3476 3522 VV 2   38759   6254063   5757057  13.03%   2.545%
 29  38.806  3522 3534 3575 VV 2    7897   2241706   1862718   4.21%   0.823%
 30  39.399  3575 3588 3695 VV 2   11234   3608881   2969142   6.72%   1.312%
 
 31  42.449  3818 3866 3925 BV 2    3550   1716115   1122241   2.54%   0.496%
 32  43.250  3925 3939 3986 VV 2    4688   1115582    776528   1.76%   0.343%
 33  45.082  3986 4106 4161 PV 2    5684   3409190   2502328   5.66%   1.106%
 34  45.806  4161 4172 4198 VV 2    6781    898435    689842   1.56%   0.305%
 35  46.256  4198 4213 4238 VV 2    6619    980145    747565   1.69%   0.330%
 
 36  46.794  4238 4262 4291 VV 2    5423   1408846   1119818   2.53%   0.495%
 37  47.288  4291 4307 4377 VV 3   16702   3017805   2526875   5.72%   1.117%
 38  48.275  4377 4397 4434 VV 3    9215   1542472   1231615   2.79%   0.544%
 39  49.208  4465 4482 4517 VV 3    4428    924607    632290   1.43%   0.279%
 40  50.129  4517 4566 4647 VV 3    9157   2931003   2161056   4.89%   0.955%
 
 41  53.114  4647 4838 4924 VV 3    6453   5490602   3868733   8.75%   1.710%
 42  54.683  4924 4981 5027 VV 3    8536   2859718   2191716   4.96%   0.969%
 43  55.429  5027 5049 5090 VV 3    9009   1534171   1109195   2.51%   0.490%
 44  56.800  5160 5174 5200 PV 3    3961    776877    553017   1.25%   0.244%
