 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1   6.721   575  610  655 PV 3    8074   2697687   1025121   3.46%   0.856%
  2   7.445   655  676  701 VV 6    4409   1544656    576573   1.94%   0.481%
  3   8.038   701  730  820 VV 6    4790   3845792   1301757   4.39%   1.087%
  4  10.572   868  961 1071 VV    346386  33961719  29644226 100.00%  24.751%
  5  11.911  1071 1083 1101 VV      4352   1231301    585278   1.97%   0.489%
 
  6  14.040  1101 1277 1364 VV      4313   9523866   3811140  12.86%   3.182%
  7  17.529  1364 1595 1647 VV      3718  10537284   4451980  15.02%   3.717%
  8  18.308  1647 1666 1746 VV 2   18445   6566004   4345190  14.66%   3.628%
  9  21.555  1856 1962 2008 VV 2    6368   7116504   3701460  12.49%   3.090%
 10  25.461  2293 2318 2499 VV 2    5292  10236356   5547668  18.71%   4.632%
 
 11  29.027  2499 2643 2689 VV 2   10321  10269659   5976100  20.16%   4.990%
 12  29.730  2689 2707 2774 VV 2    6184   4659916   2675589   9.03%   2.234%
 13  33.855  3024 3083 3132 VV 2    8434   5939988   3413564  11.52%   2.850%
 14  38.277  3460 3486 3572 VV 10    6967   4530303   1924290   6.49%   1.607%
 15  39.539  3572 3601 3660 VV 10    8144   3205216   1205931   4.07%   1.007%
 
 16  42.249  3746 3848 3936 PV 8    9636  11228180   7042536  23.76%   5.880%
 17  44.893  3936 4089 4123 VV 8    6203  11197617   6665675  22.49%   5.565%
 18  45.474  4123 4142 4161 VV 8    6323   2180026   1287545   4.34%   1.075%
 19  45.935  4161 4184 4206 VV 8    6344   2744010   1651227   5.57%   1.379%
 20  46.374  4206 4224 4358 VV 8    7312   8312125   4701465  15.86%   3.925%
 
 21  48.964  4358 4460 4474 PV 8    3371   4395965   1722656   5.81%   1.438%
 22  50.258  4474 4578 4747 VV 8    4826  10231646   3780871  12.75%   3.157%
 23  53.265  4747 4852 4905 VV 8    3001   5130910   1539860   5.19%   1.286%
 24  54.537  4905 4968 5091 VV 3   22974  17718734  13290270  44.83%  11.096%
 25  56.424  5091 5140 5205 VV 4   14653   6988756   4322568  14.58%   3.609%
 
 26  57.423  5205 5231 5278 VV 4    5223   3801347   1984171   6.69%   1.657%
 27  58.191  5278 5301 5447 VBA4    3511   5594528   1597400   5.39%   1.334%
