 peak  R.T. first  max last  PK   peak      raw       corr.   corr.    % of
   #   min   scan scan scan  TY  height     area      area    % max.   total
 ---  ----- ----- ---- ---- ---  -------   -------   -------  ------  -------
  1   6.013   355  545  573 BV 8    3929   2005179    899225   5.23%   1.553%
  2  10.676   815  970 1034 BV    160900  18295623  17193584 100.00%  29.688%
  3  12.530  1108 1139 1234 VB 6    9052   2597605   1899543  11.05%   3.280%
  4  18.390  1278 1673 1764 BV 3   22811   6952962   4422309  25.72%   7.636%
  5  25.521  2233 2323 2366 BV 3    4973   1526251    803067   4.67%   1.387%
 
  6  29.087  2569 2648 2693 VV 8    9613   3168227   2474341  14.39%   4.272%
  7  29.811  2693 2714 2819 VB 8    3525   2138515   1323839   7.70%   2.286%
  8  33.948  2976 3091 3135 BV 8    6420   2000459   1062827   6.18%   1.835%
  9  38.348  3295 3492 3588 BV 4   10362   4482048   2872331  16.71%   4.960%
 10  39.631  3588 3609 3685 VV 4   10939   2103241   1569905   9.13%   2.711%
 
 11  43.351  3798 3948 4114 BV 4   13292   9923993   8289205  48.21%  14.313%
 12  45.655  4114 4158 4210 VV 10    7608   1997703   1468201   8.54%   2.535%
 13  47.465  4210 4323 4364 VV 7    8387   2210059   1362060   7.92%   2.352%
 14  50.373  4364 4588 4632 PV 7    3962   2934433   1533519   8.92%   2.648%
 15  51.854  4632 4723 4760 VV 7    2151   1717567    933300   5.43%   1.612%
 
 16  53.291  4760 4854 4874 PV 7    4329   2129335   1477178   8.59%   2.551%
 17  54.849  4874 4996 5050 VV 7    5016   5117013   3859059  22.44%   6.663%
 18  55.650  5050 5069 5113 VV 7    4637   1244908    799712   4.65%   1.381%
 19  57.307  5113 5220 5323 PV 7    6692   5024025   3670822  21.35%   6.338%
